Locus_tag,gene_id,GSE60522_1,GSE60522_2,GSE60522_3,GSE114917_LP1,GSE114917_LP2,GSE114917_LP3,GSE114917_LP4,GSE54199_RNA,GSE54199_DNA,GSE40313_1,GSE40313_2,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,gbk_strand
b0882,clpA,7781,4265,11530,10668,11377,8788,5953,524237.5,204855.5,3449,5516,923264,925540,924402,clpA,,0
b0884,infA,357,348,292,982,622,522,1242,164030,28733.5,322,391,926225,926443,926334,infA,,1
b0885,aat,156,136,138,115,86,67,89,24150,62742,22,43,926728,927432,927080,aat,,1
b0886,cydC,767,663,629,311,356,258,299,86550.5,148644,93,148,927474,929195,928334,cydC,,1
b0887,cydD,436,405,376,202,166,147,219,193110,159911.5,157,207,929196,930962,930079,cydD,,1
b0888,trxB,1818,1535,1613,484,454,390,797,87479.5,76912.5,108,147,931085,932050,931567,trxB,,1
b0889,lrp,2058,1715,1936,985,1015,656,776,115347,56824.5,167,215,932595,933089,932842,lrp,,0
b0890,ftsK,1622,1374,1605,1806,1741,1383,1899,405233.5,317821.5,749,1016,933224,937213,935218,ftsK,,0
b0891,lolA,142,117,110,465,478,389,452,137976.5,53510.5,114,173,937372,937983,937677,lolA,,0
b0892,rarA,286,194,246,430,284,246,455,78681,116279.5,67,134,937994,939337,938665,rarA,,0
b0893,serS,2959,1961,2610,6081,6512,5263,4359,609846.5,119584,1607,2253,939428,940720,940074,serS,,0
b0894,dmsA,44,35,33,7529,8409,6415,4306,241216,198055.5,1275,2050,940959,943403,942181,dmsA,,0
b0895,dmsB,16,13,8,1723,2022,1498,1027,115461,57465.5,328,506,943414,944031,943722,dmsB,,0
b0896,dmsC,23,18,34,2283,2621,2243,1257,134904.5,62987.5,427,605,944033,944896,944464,dmsC,,0
b0897,ycaC,163,157,229,141,170,135,76,25227,64108,124,300,944931,945557,945244,ycaC,,1
b0898,ycaD,210,199,211,70,32,33,79,107991.5,97603.5,32,37,945871,947019,946445,ycaD,,0
b0899,ycaM,15,13,20,110,113,62,87,63986.5,150031,11,22,947229,948659,947944,ycaM,,0
b0900,ycaN,25,25,32,21,9,8,19,25374.5,105351.5,12,9,948660,949568,949114,ycaN,,1
b0901,ycaK,69,94,47,5,6,1,9,32931.5,63551,5,3,949668,950258,949963,ycaK,,0
b0902,pflA,229,199,244,597,585,374,589,133996,67219.5,274,417,950340,951080,950710,pflA,,1
b0903,pflB,22643,19096,20183,51172,57146,43754,45446,3539251,213438,2570,4444,951272,953554,952413,pflB,,1
b0904,focA,281,226,367,1662,1145,822,1317,275644,89132,313,469,953609,954466,954037,focA,,1
b0905,ycaO,1321,1191,1319,484,455,339,1068,167493,149074.5,41,107,954872,956632,955752,ycaO,,1
b0906,ycaP,49,37,69,30,42,20,31,39001.5,71786.5,16,36,956762,957454,957108,ycaP,,0
b0907,serC,6741,5653,6401,527,555,429,575,93622.5,110596,167,249,957653,958741,958197,serC,,0
b0908,aroA,1423,1120,1464,143,125,83,232,98047,116784.5,62,78,958812,960095,959453,aroA,,0
b0909,ycaL,7,21,30,13,12,14,12,6962.5,58602,4,8,960264,961028,960646,ycaL,,0
b0910,cmk,926,903,817,567,376,316,828,144264,48433.5,220,369,961201,961884,961542,cmk,,0
b0911,rpsA,53627,54453,40916,15586,15141,11228,32453,4726373,170674.5,3099,5202,961995,963668,962831,rpsA,,0
b0912,ihfB,1186,844,1315,521,458,362,443,79808,33707.5,182,274,963828,964112,963970,ihfB,,0
b0913,ycaI,25,26,23,55,32,37,34,56353,215552,58,96,964320,966584,965452,ycaI,,0
b0914,msbA,1641,1503,1708,730,607,531,1113,330152,164279,176,282,966621,968369,967495,msbA,,0
b0915,lpxK,199,196,188,288,271,216,385,61834.5,68790,70,130,968366,969352,968859,lpxK,,0
b0916,ycaQ,20,26,20,44,36,29,65,46742,113760,27,39,969389,970621,970005,ycaQ,,0
b0917,ycaR,74,46,60,20,18,16,25,10417.5,18934,33,43,970673,970855,970764,ycaR,,0
b0918,kdsB,852,919,755,577,499,423,528,70187.5,66955.5,175,275,970852,971598,971225,kdsB,,0
b0919,ycbJ,74,58,76,2935,3318,2908,857,54388,76631.5,629,982,971752,972645,972198,ycbJ,,0
b0921,smtA,172,161,165,399,373,264,341,94609,68185.5,86,113,973537,974322,973929,smtA,,0
b0922,mukF,583,506,612,224,170,152,275,107325.5,109776,142,224,974319,975641,974980,mukF,,0
b0923,mukE,333,250,298,179,193,145,233,97773,66139,61,126,975622,976326,975974,mukE,,0
b0924,mukB,4243,3411,3874,1782,1835,1451,1964,390982.5,328999.5,409,622,976326,980786,978556,mukB,,0
b0926,ycbK,772,575,667,651,608,435,538,387155,53689,201,315,983075,983623,983349,ycbK,,0
b0927,ycbL,1487,1255,1443,653,648,502,709,115134.5,59860.5,170,253,983650,984297,983973,ycbL,,0
b0928,aspC,11906,9619,11157,1309,1270,960,1484,243904,109350.5,390,533,984519,985709,985114,aspC,,1
b0929,ompF,111062,118858,119372,16865,19171,14070,13489,6965726,185948.5,1741,2324,985894,986982,986438,ompF,,1
b0930,asnS,4200,3657,3768,1714,1582,1262,2348,493588.5,140810.5,531,797,987585,988985,988285,asnS,,1
b0931,pncB,857,676,674,595,466,372,808,136372.5,117720,158,248,989154,990356,989755,pncB,,1
b0932,pepN,1858,1431,2141,1254,1496,1066,1235,217261.5,215505,568,894,990622,993234,991928,pepN,,0
b0933,ssuB,13,14,26,13,10,7,2,15886.5,60124,11,19,993277,994044,993660,ssuB,,1
b0934,ssuC,7,12,12,2,4,1,2,17937.5,62218.5,3,2,994041,994832,994436,ssuC,,1
b0935,ssuD,15,4,17,9,9,5,5,14207.5,90000.5,1,10,994843,995988,995415,ssuD,,1
b0936,ssuA,16,13,8,1,5,2,2,8698.5,80384.5,3,5,995985,996944,996464,ssuA,,1
b0937,ssuE,5,8,2,5,5,2,2,5610.5,49755.5,4,7,996937,997512,997224,ssuE,,1
b0938,elfA,11,2,1,7,8,5,11,10064,55912,17,7,997868,998407,998137,elfA,,0
b0939,elfD,0,0,1,3,1,0,3,12572,76729,9,8,998490,999191,998840,elfD,,0
b0940,elfC,20,23,11,12,14,4,16,51421.5,268766.5,13,22,999216,1001816,1000516,elfC,,0
b0941,elfG,8,4,6,12,13,13,13,16195.5,103271,11,17,1001807,1002877,1002342,elfG,,0
b0942,ycbU,11,7,11,2,2,3,4,8282.5,51298.5,2,7,1002889,1003431,1003160,ycbU,,0
b0943,ycbV,20,21,8,7,3,1,7,15220.5,59648.5,4,5,1003439,1003954,1003696,ycbV,,0
b0944,ycbF,14,14,7,16,19,16,14,17126,56271.5,11,29,1003947,1004657,1004302,ycbF,,0
b0945,pyrD,392,456,297,230,189,115,314,64187.5,109682.5,13,29,1004768,1005778,1005273,pyrD,,0
b0946,zapC,9,28,32,163,145,107,137,68232.5,49892,84,125,1005952,1006494,1006223,zapC,,0
b0947,ycbX,294,178,248,247,235,142,241,61339.5,105533,50,89,1006491,1007600,1007045,ycbX,,1
b0948,rlmL,1500,1043,1111,518,471,422,981,244294,170966.5,149,212,1007844,1009952,1008898,rlmL,,0
b0949,uup,836,753,711,393,412,328,769,209739.5,169217.5,123,198,1009964,1011871,1010917,uup,,0
b0950,pqiA,161,117,141,102,89,59,173,117651,112190,41,92,1012001,1013254,1012627,pqiA,,0
b0951,pqiB,128,158,157,187,198,113,286,116951.5,161485,75,127,1013259,1014899,1014079,pqiB,,0
b0953,rmf,153,99,203,219,223,255,140,14423.5,15675.5,2827,2628,1015715,1015882,1015798,rmf,,0
b0954,fabA,1177,1093,1257,1759,1384,1177,2155,130278,43855,190,288,1015952,1016470,1016211,fabA,,1
b0955,ycbZ,1174,943,1146,977,903,727,1329,185838.5,159109,245,452,1016539,1018299,1017419,ycbZ,,1
b0956,matP,145,109,167,145,170,125,90,23040.5,57467,80,94,1018485,1018937,1018711,matP,,0
b0957,ompA,45940,49016,56474,44377,47610,38545,45414,3106697.5,75664.5,6892,11034,1019013,1020053,1019533,ompA,,1
b0958,sulA,212,154,248,186,202,129,162,76666,59388,150,190,1020410,1020919,1020664,sulA,,1
b0959,sxy,51,30,38,63,71,63,50,52163,65286.5,50,79,1021138,1021767,1021452,sxy,,0
b0960,yccS,287,245,232,236,179,171,313,112561.5,163355,84,141,1021730,1023883,1022806,yccS,,1
b0961,yccF,272,275,265,84,73,60,134,33258.5,50361.5,13,24,1023902,1024348,1024125,yccF,,1
b0962,helD,586,383,471,380,366,362,331,84991.5,173843,218,395,1024471,1026525,1025498,helD,,0
b0963,mgsA,1678,1426,1748,2201,2443,1987,1191,94594,33902,211,215,1026557,1027015,1026786,mgsA,,1
b0964,yccT,6,7,24,16,12,14,12,11079,66744.5,17,16,1027111,1027773,1027442,yccT,,1
b0965,yccU,114,77,138,239,296,240,166,101442,30480,58,100,1027946,1028359,1028152,yccU,,0
b0966,hspQ,882,666,829,218,201,155,179,30143,22933.5,166,247,1028404,1028721,1028562,hspQ,,1
b0967,rlmI,1164,1058,944,227,220,153,467,136476.5,108182.5,58,98,1028779,1029969,1029374,rlmI,,1
b0968,yccX,27,20,9,23,33,28,23,20910,24443,24,43,1030064,1030342,1030203,yccX,,0
b0969,tusE,68,48,40,70,48,36,80,72700.5,38365.5,12,37,1030339,1030668,1030503,tusE,,1
b0970,yccA,6380,5672,6338,1351,1376,993,1395,210488.5,65379.5,390,473,1030759,1031418,1031088,yccA,,1
b0972,hyaA,1,0,2,5,5,13,5,23996,83958.5,357,616,1032139,1033257,1032698,hyaA,,0
b0973,hyaB,10,7,2,14,16,10,13,40395.5,128167,510,934,1033254,1035047,1034150,hyaB,,0
b0974,hyaC,10,7,0,3,2,4,6,33262.5,54996,197,316,1035066,1035773,1035419,hyaC,,0
b0975,hyaD,25,18,22,8,11,11,7,19298,43927.5,183,272,1035770,1036357,1036063,hyaD,,0
b0976,hyaE,1,4,7,3,3,5,2,11403,30119,124,189,1036354,1036752,1036553,hyaE,,0
b0977,hyaF,5,3,1,9,14,10,6,42214.5,63015,156,276,1036749,1037606,1037177,hyaF,,0
b0980,appA,62,51,66,32,38,17,31,33105.5,100877.5,56,93,1040617,1041915,1041266,appA,,0
b0981,etk,175,137,140,70,69,46,49,44457,227633.5,28,42,1042030,1044210,1043120,etk,,1
b0982,etp,19,21,11,9,4,0,3,7259,40926.5,3,5,1044230,1044676,1044453,etp,,1
b0983,gfcE,105,53,100,7,4,4,8,16433.5,94358.5,5,8,1044664,1045803,1045233,gfcE,,1
b0984,gfcD,40,11,31,22,20,6,20,31789,157370,11,16,1045849,1047945,1046897,gfcD,,1
b0985,gfcC,34,17,23,3,2,2,5,9521.5,57829,3,3,1047945,1048691,1048318,gfcC,,1
b0986,gfcB,6,3,6,1,2,1,2,10847.5,71386,1,1,1048688,1049332,1049010,gfcB,,1
b0987,gfcA,6,3,2,15,20,8,16,11513,23532,11,9,1049439,1049744,1049591,gfcA,,1
b0989,cspH,0,0,0,10,0,6,12,114152.5,27691,5,9,1050963,1051175,1051069,cspH,,1
b0990,cspG,0,0,1,364,199,164,534,957615,29378,576,820,1051461,1051673,1051567,cspG,,0
b0991,ymcE,2,0,1,6,7,2,9,82106,26700.5,5,18,1051847,1052077,1051962,ymcE,,0
b0992,yccM,5,11,9,264,389,334,75,63077,117561,23,23,1052289,1053362,1052825,yccM,,1
b0993,torS,65,54,54,74,77,58,54,59994,225317.5,64,81,1053434,1056178,1054806,torS,,1
b0994,torT,4,4,8,62,49,50,27,31855.5,76721,32,60,1056261,1057289,1056775,torT,,0
b0995,torR,135,106,78,48,44,27,25,20884,56855,25,32,1057262,1057954,1057608,torR,,1
b0996,torC,6,4,5,2,3,1,0,14998,107120.5,3,4,1058084,1059256,1058670,torC,,0
b0997,torA,45,23,47,22,18,19,14,29083,184405.5,18,30,1059256,1061802,1060529,torA,,0
b0998,torD,13,8,14,27,23,15,12,8128.5,49452.5,27,37,1061799,1062398,1062098,torD,,0
b0999,cbpM,138,78,130,154,154,116,82,9904,21474.5,64,127,1062550,1062855,1062702,cbpM,,1
b1000,cbpA,117,103,88,669,786,567,402,56492,68862,287,513,1062855,1063775,1063315,cbpA,,1
b1001,yccE,2,6,5,6,10,4,10,17440,130450,3,5,1064036,1065292,1064664,yccE,,0
b1002,agp,113,82,163,6872,8039,6914,3934,102768,108533.5,890,1483,1065585,1066826,1066205,agp,,0
b1003,yccJ,51,14,45,469,506,465,252,47745,24298,591,1349,1066864,1067091,1066977,yccJ,,1
b1004,wrbA,114,66,208,2355,2692,2212,1301,129121.5,44909.5,1545,2756,1067112,1067708,1067410,wrbA,,1
b1006,rutG,51,48,53,34,19,17,14,35361,104419,14,16,1068511,1069839,1069175,rutG,,1
b1007,rutF,7,11,6,3,3,0,4,3502,37896,3,2,1069860,1070354,1070107,rutF,,1
b1008,rutE,28,15,23,3,1,0,6,6222.5,43197.5,1,0,1070365,1070955,1070660,rutE,,1
b1009,rutD,4,8,2,0,0,3,0,5643.5,54952.5,1,2,1070965,1071765,1071365,rutD,,1
b1010,rutC,2,2,3,2,0,2,0,5030,26208.5,1,1,1071773,1072159,1071966,rutC,,1
b1011,rutB,5,4,3,3,4,4,3,7484,50204.5,2,2,1072171,1072863,1072517,rutB,,1
b1012,rutA,9,21,9,2,1,2,1,11871.5,87283.5,2,1,1072863,1074011,1073437,rutA,,1
b1013,rutR,24,30,32,62,46,42,55,32631.5,53706,23,31,1074242,1074880,1074561,rutR,,0
b1014,putA,285,251,331,404,923,287,376,176076.5,282127.5,390,735,1074920,1078882,1076901,putA,,1
b1015,putP,1347,1375,1241,174,297,107,241,76380.5,114345,80,148,1079305,1080813,1080059,putP,,0
b1018,efeO,1261,1284,962,10,12,7,71,59674,110729.5,12,17,1082243,1083370,1082806,efeO,,0
b1019,efeB,184,187,145,7,19,15,68,38711.5,96721,11,12,1083376,1084647,1084011,efeB,,0
b1020,phoH,1394,798,2570,19,31,15,25,19503,89556.5,25,30,1084992,1086056,1085524,phoH,,0
b1021,pgaD,2,2,4,51,56,37,78,11016,49309.5,3,11,1086106,1086519,1086312,pgaD,,1
b1022,pgaC,7,2,15,165,228,163,227,21744,143593,10,30,1086521,1087846,1087183,pgaC,,1
b1023,pgaB,9,0,3,316,373,280,365,39849,217045,48,83,1087839,1089857,1088848,pgaB,,1
b1024,pgaA,15,12,8,1563,1511,1091,1333,110397.5,268905.5,191,345,1089866,1092289,1091077,pgaA,,1
b1025,ycdT,4,4,15,208,141,91,170,267115.5,144297.5,58,105,1092876,1094234,1093555,ycdT,,0
b1029,ycdU,6,2,1,3,0,3,4,43190.5,116799.5,2,2,1095843,1096829,1096336,ycdU,,0
b1033,ghrA,892,691,842,467,510,432,330,39693.5,80433.5,70,140,1097886,1098824,1098355,ghrA,,0
b1034,ycdX,500,408,366,403,335,281,332,60986.5,66792.5,85,134,1098879,1099616,1099247,ycdX,,0
b1035,ycdY,535,391,478,282,277,208,317,76439.5,38754.5,68,92,1099640,1100194,1099917,ycdY,,0
b1036,ycdZ,116,82,91,110,110,84,136,926319,32228,23,44,1100296,1100787,1100541,ycdZ,,0
b1037,csgG,140,67,191,9,7,8,8,91089.5,85434,9,15,1100851,1101684,1101267,csgG,,1
b1038,csgF,53,18,63,0,2,0,1,7640.5,45682,0,1,1101711,1102127,1101919,csgF,,1
b1039,csgE,27,13,27,1,0,0,0,8132,44987.5,0,3,1102152,1102541,1102346,csgE,,1
b1040,csgD,130,84,191,5,5,5,7,16931,67299,7,7,1102546,1103196,1102871,csgD,,1
b1041,csgB,14,2,19,1,0,0,2,7068,44550,3,0,1103951,1104406,1104178,csgB,,0
b1042,csgA,357,226,367,5,7,3,4,8640.5,40118,3,8,1104447,1104902,1104674,csgA,,0
b1043,csgC,8,1,4,0,1,1,1,44142,35188.5,1,0,1104961,1105293,1105127,csgC,,0
b1044,ymdA,403,363,391,2,0,0,0,72714,34340.5,1,2,1105414,1105725,1105569,ymdA,,0
b1045,ymdB,58,73,75,79,90,82,58,37066,39048,57,76,1105820,1106353,1106086,ymdB,,0
b1046,clsC,138,110,118,84,102,76,95,36085,133708,78,129,1106355,1107776,1107065,clsC,,0
b1047,opgC,77,67,81,54,37,32,106,99177,115716,21,35,1107784,1108941,1108362,opgC,,1
b1048,opgG,2408,2368,2310,1263,1205,933,1384,430369.5,137820.5,458,745,1109335,1110870,1110102,opgG,,0
b1049,opgH,1345,1311,1183,1324,1499,1161,1749,435592.5,182067,402,584,1110863,1113406,1112134,opgH,,0
b1050,yceK,3,10,3,21,25,20,28,14675,22186.5,111,143,1113579,1113806,1113692,yceK,,0
b1051,msyB,236,204,366,70,66,51,64,50960,42830.5,170,430,1113807,1114181,1113994,msyB,,1
b1053,mdtG,23,23,27,96,48,40,60,33834.5,98802,50,62,1114264,1115490,1114877,mdtG,,1
b1055,yceA,1058,1025,936,88,50,46,292,82998,106573,47,75,1116807,1117859,1117333,yceA,,0
b1056,yceI,150,135,165,45,34,24,31,28550,64745.5,6,16,1117901,1118476,1118188,yceI,,1
b1057,yceJ,227,145,208,6,6,4,7,9743.5,46598,4,3,1118480,1119046,1118763,yceJ,,1
b1058,yceO,2,6,1,0,0,0,0,4397.5,14834,1,2,1119307,1119447,1119377,yceO,,1
b1059,solA,360,271,372,281,290,219,252,46067.5,90567,46,83,1119468,1120586,1120027,solA,,1
b1060,bssS,2,4,7,319,345,320,187,41179,25416,357,614,1120701,1120955,1120828,bssS,,1
b1061,dinI,1,3,0,22,25,22,29,24719,27019.5,15,24,1121242,1121487,1121364,dinI,,1
b1062,pyrC,1899,1836,1525,227,188,168,445,74236.5,72859,45,96,1121561,1122607,1122084,pyrC,,1
b1063,yceB,95,84,82,249,251,167,242,50811.5,63366,95,122,1122713,1123273,1122993,yceB,,1
b1064,grxB,472,321,450,826,890,655,504,35313.5,57154,227,396,1123407,1124054,1123730,grxB,,1
b1065,mdtH,19,10,18,55,33,38,32,24990.5,84199,46,62,1124118,1125326,1124722,mdtH,,1
b1066,rimJ,450,359,499,450,490,389,287,54353.5,53013,71,142,1125562,1126146,1125854,rimJ,,0
b1067,yceH,816,607,951,401,424,324,264,53044,53208.5,121,194,1126157,1126804,1126480,yceH,,0
b1068,yceM,235,200,285,387,400,342,234,26788,58650.5,148,218,1126806,1127729,1127267,yceM,,0
b1069,murJ,366,337,391,158,131,100,243,95806,113257,46,58,1127839,1129374,1128606,murJ,,0
b1070,flgN,863,777,705,9,12,14,5,181249.5,42694,21,30,1129414,1129830,1129622,flgN,,1
b1071,flgM,3483,3135,2685,19,13,13,17,72703,25262,17,14,1129835,1130128,1129981,flgM,,1
b1072,flgA,165,204,175,8,8,10,9,194420,52290.5,7,10,1130204,1130863,1130533,flgA,,1
b1073,flgB,1147,1098,957,15,18,10,8,323442,29131.5,0,2,1131018,1131434,1131226,flgB,,0
b1074,flgC,263,220,253,13,15,6,6,398002.5,32113,0,2,1131438,1131842,1131640,flgC,,0
b1075,flgD,3531,2847,2561,24,26,18,19,474965,49720.5,2,3,1131854,1132549,1132201,flgD,,0
b1076,flgE,4855,3862,4019,59,54,42,48,1228666.5,113141.5,7,12,1132574,1133782,1133178,flgE,,0
b1077,flgF,731,568,623,31,31,17,29,595321.5,53148.5,8,7,1133802,1134557,1134179,flgF,,0
b1078,flgG,2065,1579,1658,39,48,29,25,441948,63400.5,1,7,1134729,1135511,1135120,flgG,,0
b1079,flgH,713,557,542,12,11,14,10,152101.5,60479.5,3,2,1135564,1136262,1135913,flgH,,0
b1080,flgI,489,491,454,19,16,6,15,168503.5,84774,1,9,1136274,1137371,1136822,flgI,,0
b1081,flgJ,389,382,310,8,7,14,15,126348,71458.5,3,8,1137371,1138312,1137841,flgJ,,0
b1082,flgK,2982,2113,2440,27,15,15,28,249257,144084.5,17,19,1138378,1140021,1139199,flgK,,0
b1083,flgL,4680,3324,4132,26,32,26,21,123193.5,92949.5,18,25,1140033,1140986,1140509,flgL,,0
b1084,rne,2069,1679,1752,5445,5403,4171,5077,589315.5,240768,855,1332,1141182,1144367,1142774,rne,,1
b1085,yceQ,0,0,0,329,269,253,233,28702.5,33478,97,196,1144502,1144822,1144662,yceQ,,0
b1086,rluC,204,192,151,360,288,220,534,227215,78608.5,64,105,1144940,1145899,1145419,rluC,,0
b1087,yceF,233,144,248,182,186,136,117,70325.5,58054.5,44,89,1146011,1146595,1146303,yceF,,1
b1088,yceD,9683,10242,7998,3505,2849,2232,5903,1930955.5,57734.5,661,1208,1146794,1147315,1147054,yceD,,0
b1089,rpmF,398,365,291,2387,2206,1923,3091,382422,13489.5,213,388,1147367,1147540,1147453,rpmF,,0
b1090,plsX,1790,1505,1549,1117,1150,806,1748,619112.5,92746.5,176,296,1147621,1148691,1148156,plsX,,0
b1091,fabH,2715,2391,2318,1540,1535,1303,2385,149285.5,65906.5,370,565,1148759,1149712,1149235,fabH,,0
b1092,fabD,3664,3146,3070,1952,2036,1554,2663,294293.5,64249,414,634,1149728,1150657,1150192,fabD,,0
b1093,fabG,2503,1779,2061,5554,5522,4394,5549,1038087,58126,936,1281,1150670,1151404,1151037,fabG,,0
b1094,acpP,8499,6514,7613,7695,7939,5848,6647,1167546,29717,907,1464,1151615,1151851,1151733,acpP,,0
b1095,fabF,6814,6243,5562,4233,4257,3081,5953,628793.5,96082.5,948,1432,1151939,1153180,1152559,fabF,,0
b1096,pabC,48,46,54,64,65,27,52,60600.5,70699.5,47,65,1153300,1154109,1153704,pabC,,0
b1097,yceG,122,98,90,77,58,57,111,52719.5,88885,35,80,1154112,1155134,1154623,yceG,,0
b1098,tmk,79,83,93,179,147,108,179,40655.5,43857,39,62,1155124,1155765,1155444,tmk,,0
b1099,holB,209,204,194,183,159,135,214,40889.5,70102,43,84,1155762,1156766,1156264,holB,,0
b1100,ycfH,484,357,416,173,168,119,196,80328.5,73391,102,118,1156777,1157574,1157175,ycfH,,0
b1101,ptsG,11795,10252,10361,549,594,457,688,1262230.5,112107,236,340,1157869,1159302,1158585,ptsG,,0
b1102,fhuE,740,604,795,20,21,13,57,46514.5,205783,14,26,1159362,1161551,1160456,fhuE,,1
b1103,hinT,1310,1026,1259,420,516,435,351,17893,31082.5,91,125,1161885,1162244,1162064,hinT,,0
b1104,ycfL,137,82,109,280,271,247,244,27808,32314.5,53,100,1162247,1162624,1162435,ycfL,,0
b1105,lpoB,133,120,169,577,581,477,410,37890.5,39067.5,111,190,1162638,1163279,1162958,lpoB,,0
b1106,thiK,136,149,111,123,139,92,132,30665,55407.5,50,76,1163260,1164084,1163672,thiK,,0
b1107,nagZ,469,407,406,323,400,244,312,96310.5,80917.5,162,265,1164095,1165120,1164607,nagZ,,0
b1108,ycfP,747,589,753,1660,1809,1465,1046,129821,56211,315,558,1165143,1165685,1165414,ycfP,,0
b1109,ndh,643,554,541,1298,1097,969,2294,113497,91949,67,143,1166085,1167389,1166737,ndh,,0
b1110,ycfJ,27,25,10,29,39,28,51,45315.5,39035.5,15,29,1167599,1168138,1167868,ycfJ,,0
b1111,ycfQ,87,69,93,63,65,66,54,29843.5,54858.5,35,70,1168200,1168832,1168516,ycfQ,,1
b1112,bhsA,32,16,20,13,12,8,18,33929.5,25158,118,87,1169073,1169330,1169201,bhsA,,0
b1114,mfd,1976,1697,1589,738,784,594,803,116882.5,246909.5,179,322,1170518,1173964,1172241,mfd,,1
b1115,ycfT,5,1,0,3,6,0,3,18830,85967.5,5,6,1174092,1175165,1174628,ycfT,,1
b1116,lolC,391,263,344,418,340,240,542,90078,85710,115,152,1175427,1176626,1176026,lolC,,0
b1117,lolD,361,306,319,210,223,174,301,32237.5,45292.5,57,107,1176619,1177320,1176969,lolD,,0
b1118,lolE,336,249,282,321,331,260,420,141093,102919.5,136,232,1177320,1178564,1177942,lolE,,0
b1119,nagK,472,385,421,482,495,385,458,73566.5,61991.5,155,219,1178593,1179504,1179048,nagK,,0
b1120,cobB,320,241,244,351,390,298,385,63744.5,49623,72,121,1179631,1180359,1179995,cobB,,0
b1121,ycfZ,4,7,3,7,5,4,16,21457.5,80187,3,5,1180479,1181267,1180873,ycfZ,,1
b1122,ymfA,11,5,3,5,7,5,10,44080.5,50541,1,7,1181264,1181725,1181494,ymfA,,1
b1123,potD,3771,2877,3337,795,844,685,955,158753.5,82863,185,284,1181783,1182829,1182306,potD,,1
b1124,potC,1384,1167,1134,72,90,65,170,175597.5,69994,43,62,1182826,1183620,1183223,potC,,1
b1125,potB,1668,1170,1458,71,78,49,162,82143.5,66290.5,29,71,1183617,1184444,1184030,potB,,1
b1126,potA,371,252,320,341,242,190,633,193053.5,104026.5,72,162,1184458,1185594,1185026,potA,,1
b1127,pepT,255,140,281,2169,2490,1790,1230,282395,106776.5,296,372,1185844,1187070,1186457,pepT,,0
b1129,phoQ,388,341,450,362,341,259,303,119325.5,125726,151,212,1188316,1189776,1189046,phoQ,,1
b1130,phoP,459,487,527,355,340,293,266,86652.5,71214,110,202,1189776,1190447,1190111,phoP,,1
b1131,purB,2195,2028,1741,367,348,293,824,138631,118289,82,161,1190616,1191986,1191301,purB,,1
b1132,hflD,776,611,560,170,176,133,259,125366,40748.5,57,108,1191990,1192631,1192310,hflD,,1
b1133,mnmA,2250,2029,1863,1027,755,555,1373,215150,81779,200,370,1192667,1193773,1193220,mnmA,,1
b1134,nudJ,57,46,45,110,93,68,104,27228.5,40440,30,54,1193827,1194288,1194057,nudJ,,1
b1135,rluE,75,50,51,137,102,75,150,57472,49398,33,62,1194298,1194951,1194624,rluE,,1
b1136,icd,58909,52092,50196,8055,9113,7028,7889,525041.5,93146.5,1598,2511,1195123,1196373,1195748,icd,,0
b1160,iraM,0,0,0,0,1,0,1,18646.5,26617.5,0,0,1211680,1212003,1211841,iraM,,1
b1161,ycgX,0,4,8,10,3,2,6,11332.5,36863.5,1,6,1212703,1213107,1212905,ycgX,,1
b1162,bluR,237,140,183,211,196,152,216,193693,77955,109,195,1213328,1214059,1213693,bluR,,1
b1163,bluF,122,109,156,49,56,38,173,129852,124597,41,92,1214264,1215475,1214869,bluF,,1
b1164,ycgZ,134,125,182,0,0,0,1,51459.5,20350.5,7,2,1215789,1216025,1215907,ycgZ,,0
b1165,ymgA,27,13,15,1,1,0,1,51613,25933.5,5,0,1216068,1216340,1216204,ymgA,,0
b1166,ariR,0,2,10,0,0,0,0,15466.5,23018,0,0,1216369,1216635,1216502,ariR,,0
b1167,ymgC,2,0,2,0,1,0,1,4815,20061.5,1,0,1216748,1216996,1216872,ymgC,,0
b1168,ycgG,3,4,3,5,3,3,2,29798,151433.5,4,7,1217328,1218851,1218089,ycgG,,0
b1171,ymgD,12,15,9,8,7,9,6,56619.5,33765,2,1,1222305,1222634,1222469,ymgD,,1
b1172,ymgG,18,22,8,8,10,4,10,44165,23936.5,2,3,1222644,1222988,1222816,ymgG,,1
b1174,minE,26,26,49,419,482,341,315,128529,27772.5,63,132,1224279,1224545,1224412,minE,,1
b1175,minD,1615,1424,1627,2609,2813,1964,1984,347524.5,83296,272,453,1224549,1225361,1224955,minD,,1
b1176,minC,363,323,406,909,853,638,621,160159.5,53552,219,337,1225385,1226080,1225732,minC,,1
b1177,ycgJ,160,100,120,48,43,45,46,96083,34293,13,19,1226600,1226968,1226784,ycgJ,,0
b1178,pliG,76,43,86,71,76,77,42,25577.5,37905,30,35,1227071,1227472,1227271,pliG,,1
b1179,ycgL,23,4,13,84,66,64,75,46695,30619.5,29,39,1227714,1228007,1227860,ycgL,,0
b1180,ycgM,415,271,514,210,175,163,158,33056.5,46014,55,76,1228079,1228738,1228408,ycgM,,0
b1181,ycgN,252,241,262,30,40,31,55,28546,46481.5,23,29,1228815,1229276,1229045,ycgN,,0
b1182,hlyE,1,3,5,39,33,17,18,12136,85516.5,4,19,1229483,1230394,1229938,hlyE,,1
