Locus_tag,gene_id,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,gbk_strand,norm_exp
b1213,ychQ,1266924,1267316,1267120,ychQ,,0,25.8197601201694
b1214,ychA,1267320,1268129,1267724,ychA,,0,119.385689887121
b1215,kdsA,1268165,1269019,1268592,kdsA,,0,254.325987428495
b1216,chaA,1270749,1271849,1271299,chaA,,1,40.2820844350834
b1217,chaB,1272119,1272349,1272234,chaB,,0,10.3333431323514
b1218,chaC,1272507,1273202,1272854,chaC,,0,52.244476303459
b1219,ychN,1273246,1273599,1273422,ychN,,1,113.787880678149
b1220,ychO,1273784,1275178,1274481,ychO,,0,21.7836090954314
b1221,narL,1275179,1275829,1275504,narL,,1,71.783247481414
b1222,narX,1275822,1277618,1276720,narX,,1,90.0290176290625
b1223,narK,1277957,1279348,1278652,narK,,0,87.7639636923137
b1224,narG,1279864,1283607,1281735,narG,,0,384.756675448042
b1225,narH,1283604,1285142,1284373,narH,,0,174.495783058341
b1226,narJ,1285139,1285849,1285494,narJ,,0,76.2797158525594
b1227,narI,1285849,1286526,1286187,narI,,0,64.3707353133005
b1232,purU,1287782,1288624,1288203,purU,,1,130.416400252258
b1233,ychJ,1288674,1289132,1288903,ychJ,,1,91.8393577620943
b1234,rssA,1289245,1290150,1289697,rssA,,0,192.948011236074
b1235,rssB,1290242,1291255,1290748,rssB,,0,143.020096560542
b1236,galU,1291457,1292365,1291911,galU,,0,242.919545540809
b1237,hns,1292509,1292922,1292715,hns,,1,2008.88781476788
b1238,tdk,1293527,1294144,1293835,tdk,,0,24.1166023342882
b1241,adhE,1295446,1298121,1296783,adhE,,1,2268.64201667995
b1242,ychE,1298598,1299245,1298921,ychE,,0,31.0067724116163
b1243,oppA,1301182,1302813,1301997,oppA,,0,2714.51509214495
b1244,oppB,1302899,1303819,1303359,oppB,,0,292.757507566244
b1245,oppC,1303834,1304742,1304288,oppC,,0,416.277765363782
b1246,oppD,1304754,1305767,1305260,oppD,,0,641.7990771155
b1247,oppF,1305764,1306768,1306266,oppF,,0,445.094334757674
b1248,yciU,1306821,1307150,1306985,yciU,,1,44.900520115441
b1249,clsA,1307185,1308645,1307915,clsA,,1,191.08365676348
b1250,kch,1309016,1310269,1309642,kch,,1,69.0089059699254
b1251,yciI,1310569,1310865,1310717,yciI,,1,47.7809200973156
b1252,tonB,1311089,1311808,1311448,tonB,,0,47.5173894863871
b1253,yciA,1311848,1312246,1312047,yciA,,1,31.2889720315752
b1254,yciB,1312351,1312890,1312620,yciB,,1,51.8907175121605
b1255,yciC,1312920,1313663,1313291,yciC,,1,78.4003689559435
b1256,ompW,1314020,1314658,1314339,ompW,,0,202.291990009723
b1257,yciE,1314718,1315224,1314971,yciE,,1,56.7897544879982
b1258,yciF,1315270,1315770,1315520,yciF,,1,5.36758268736745
b1259,yciG,1315856,1316035,1315945,yciG,,1,6.41657285649667
b1260,trpA,1316416,1317222,1316819,trpA,,1,59.3925064505619
b1261,trpB,1317222,1318415,1317818,trpB,,1,163.163703153653
b1262,trpC,1318427,1319788,1319107,trpC,,1,169.302019827146
b1263,trpD,1319789,1321384,1320586,trpD,,1,135.65845355564
b1264,trpE,1321384,1322946,1322165,trpE,,1,100.290813487982
b1265,trpL,1323038,1323082,1323060,trpL,,1,3.45350260510506
b1266,yciV,1323220,1324101,1323660,yciV,,0,97.8106835033439
b1267,yciO,1324098,1324718,1324408,yciO,,0,145.608218647361
b1268,yciQ,1324746,1326641,1325693,yciQ,,0,52.042261075884
b1269,rluB,1326852,1327727,1327289,rluB,,0,127.681437926324
b1270,btuR,1327767,1328357,1328062,btuR,,1,44.0752184595622
b1271,yciK,1328354,1329112,1328733,yciK,,1,54.7847806097877
b1272,sohB,1329332,1330381,1329856,sohB,,0,188.661038435462
b1273,yciN,1330417,1330668,1330542,yciN,,1,58.5352414153374
b1274,topA,1331048,1333645,1332346,topA,,0,552.789176970943
b1275,cysB,1333855,1334829,1334342,cysB,,0,164.731766792688
b1276,acnA,1335831,1338506,1337168,acnA,,0,295.860441200534
b1277,ribA,1338570,1339160,1338865,ribA,,1,131.628896215853
b1278,pgpB,1339330,1340094,1339712,pgpB,,0,76.603313611883
b1279,yciS,1340243,1340551,1340397,yciS,,0,70.080602969765
b1280,yciM,1340558,1341727,1341142,yciM,,0,103.512454627227
b1281,pyrF,1341921,1342658,1342289,pyrF,,0,76.3045944239409
b1282,yciH,1342658,1342984,1342821,yciH,,0,29.4789135480935
b1283,osmB,1343110,1343328,1343219,osmB,,1,15.3349040438349
b1284,yciT,1343597,1344346,1343971,yciT,,1,93.0356595128251
b1285,gmr,1344757,1346742,1345749,gmr,,1,64.9191978043768
b1286,rnb,1346978,1348912,1347945,rnb,,1,258.749139478437
b1287,yciW,1348980,1350107,1349543,yciW,,1,90.7090801357456
b1288,fabI,1350251,1351039,1350645,fabI,,1,627.321113449672
b1289,ycjD,1351407,1351760,1351583,ycjD,,1,15.9013367614038
b1290,sapF,1351828,1352634,1352231,sapF,,1,35.8835324195697
b1291,sapD,1352636,1353628,1353132,sapD,,1,64.1412303108434
b1292,sapC,1353628,1354518,1354073,sapC,,1,41.3304957489939
b1293,sapB,1354505,1355470,1354987,sapB,,1,42.4775852424462
b1294,sapA,1355467,1357110,1356288,sapA,,1,94.1482463864923
b1295,ymjA,1357423,1357668,1357545,ymjA,,1,14.9651046080183
b1296,puuP,1357802,1359187,1358494,puuP,,1,27.6795934363717
b1297,puuA,1359490,1360908,1360199,puuA,,1,43.5867486268465
b1298,puuD,1361120,1361884,1361502,puuD,,0,31.8605642832413
b1299,puuR,1361911,1362468,1362189,puuR,,0,26.3389033753903
b1300,puuC,1362743,1364230,1363486,puuC,,0,17.3089664986876
b1301,puuB,1364232,1365512,1364872,puuB,,0,15.3403014589468
b1302,puuE,1365550,1366815,1366182,puuE,,0,9.16141956406489
b1303,pspF,1366935,1367912,1367423,pspF,,1,26.2672143789205
b1304,pspA,1368079,1368747,1368413,pspA,,0,120.539582696745
b1305,pspB,1368801,1369025,1368913,pspB,,0,14.8570630292392
b1306,pspC,1369025,1369384,1369204,pspC,,0,17.4894944278281
b1307,pspD,1369393,1369614,1369503,pspD,,0,7.37960369710956
b1308,pspE,1369689,1370003,1369846,pspE,,0,189.958349913168
b1309,ycjM,1370216,1371895,1371055,ycjM,,0,7.22942926622268
b1310,ycjN,1371909,1373201,1372555,ycjN,,0,3.79759220721411
b1311,ycjO,1373222,1374103,1373662,ycjO,,0,3.33342401253594
b1312,ycjP,1374090,1374932,1374511,ycjP,,0,2.0097026807992
b1313,ycjQ,1374963,1376015,1375489,ycjQ,,0,4.00729080416838
b1314,ycjR,1376034,1376822,1376428,ycjR,,0,2.97611821358895
b1315,ycjS,1376832,1377887,1377359,ycjS,,0,5.84633835147416
b1316,ycjT,1377884,1380151,1379017,ycjT,,0,10.9778633087349
b1317,ycjU,1380148,1380807,1380477,ycjU,,0,0.789518549738702
b1319,ompG,1381947,1382852,1382399,ompG,,0,1.32885207395774
b1320,ycjW,1382963,1383961,1383462,ycjW,,1,15.9659429214064
b1321,ycjX,1384117,1385514,1384815,ycjX,,0,57.2803313549381
b1322,ycjF,1385511,1386572,1386041,ycjF,,0,56.7476267704016
b1323,tyrR,1386720,1388261,1387490,tyrR,,0,285.76868833561
b1324,tpx,1388305,1388811,1388558,tpx,,1,794.063847830078
b1325,ycjG,1388930,1389895,1389412,ycjG,,0,97.6588002574182
b1326,mpaA,1389870,1390598,1390234,mpaA,,1,96.3376164589482
b1327,ycjY,1390933,1391853,1391393,ycjY,,1,10.7700941041379
b1329,mppA,1393227,1394840,1394033,mppA,,0,159.284601233105
b1330,ynaI,1394891,1395922,1395406,ynaI,,1,34.2405373462339
b1332,ynaJ,1397365,1397622,1397493,ynaJ,,0,102.207032007628
b1333,uspE,1397672,1398622,1398147,uspE,,1,1056.66394733672
b1334,fnr,1398774,1399526,1399150,fnr,,1,327.533468671592
b1335,ogt,1399721,1400236,1399978,ogt,,1,21.5916566217433
b1336,abgT,1400247,1401773,1401010,abgT,,1,9.19708849083506
b1337,abgB,1401810,1403255,1402532,abgB,,1,14.000521578291
b1338,abgA,1403255,1404565,1403910,abgA,,1,5.36655146463984
b1339,abgR,1404741,1405649,1405195,abgR,,0,41.9900528893486
b1340,smrA,1405979,1406542,1406260,smrA,,0,25.095047062135
b1341,ydaM,1406563,1407795,1407179,ydaM,,1,54.4743409014938
b1342,ydaN,1408050,1409033,1408541,ydaN,,0,73.230587956782
b1343,dbpA,1409511,1410884,1410197,dbpA,,0,46.860589411715
b1344,ttcA,1411013,1411948,1411480,ttcA,,1,95.0180972905435
b1345,intR,1412000,1413235,1412617,intR,,1,17.7953318664207
b1346,ydaQ,1413237,1413452,1413344,ydaQ,,1,0.439671945972376
b1348,ralR,1413733,1413927,1413830,ralR,,1,0.234562503401156
b1349,recT,1413984,1414793,1414388,recT,,1,8.02640730056379
b1350,recE,1414786,1417386,1416086,recE,,1,17.7631836413137
b1351,racC,1417488,1417763,1417625,racC,,1,2.05406291241652
b1352,kilR,1418008,1418229,1418118,kilR,,1,0.935089860395502
b1353,sieB,1418671,1419159,1418915,sieB,,0,5.27739165208714
b1355,ydaG,1419322,1419456,1419389,ydaG,,1,6.66449035107365
b1356,racR,1419765,1420241,1420003,racR,,1,73.8414981264762
b1357,ydaS,1420365,1420661,1420513,ydaS,,0,4.67682744162293
b1358,ydaT,1420684,1421106,1420895,ydaT,,0,4.95420364901588
b1359,ydaU,1421119,1421976,1421547,ydaU,,0,5.26698659586947
b1360,ydaV,1421983,1422729,1422356,ydaV,,0,6.08179974218368
b1363,trkG,1423782,1425239,1424510,trkG,,0,27.0673198266003
b1365,ynaK,1425377,1425640,1425508,ynaK,,0,0.66718994698755
b1372,stfR,1429049,1432411,1430730,stfR,,0,19.2540720835915
b1373,tfaR,1432411,1432986,1432698,tfaR,,0,0.340363173246357
b1374,pinR,1433084,1433674,1433379,pinR,,1,4.86058614334616
b1375,ynaE,1433991,1434224,1434107,ynaE,,1,9.99503572936826
b1376,uspF,1435185,1435619,1435402,uspF,,1,197.428577429422
b1377,ompN,1435760,1436893,1436326,ompN,,1,0.854243873860371
b1379,hslJ,1441321,1441743,1441532,hslJ,,1,66.0294885247303
b1380,ldhA,1441854,1442843,1442348,ldhA,,1,110.211452964189
b1381,ydbH,1443051,1445690,1444370,ydbH,,0,97.3273691393157
b1382,ynbE,1445687,1445872,1445779,ynbE,,0,5.82594381123431
b1383,ydbL,1445880,1446206,1446043,ydbL,,0,17.3442669868641
b1384,feaR,1446378,1447283,1446830,feaR,,1,22.8564537305477
b1385,feaB,1447519,1449018,1448268,feaB,,0,33.0612122722524
b1386,tynA,1449076,1451349,1450212,tynA,,1,10.9509135124216
b1387,paaZ,1451597,1453642,1452619,paaZ,,1,3.07990941650972
b1388,paaA,1453927,1454856,1454391,paaA,,0,3.52607325960128
b1389,paaB,1454868,1455155,1455011,paaB,,0,1.27545303364186
b1390,paaC,1455164,1455910,1455537,paaC,,0,2.04891939151984
b1391,paaD,1455925,1456422,1456173,paaD,,0,1.91910594000787
b1392,paaE,1456430,1457500,1456965,paaE,,0,3.63939704929327
b1393,paaF,1457497,1458264,1457880,paaF,,0,2.67394972098625
b1394,paaG,1458264,1459052,1458658,paaG,,0,2.5764081702656
b1395,paaH,1459054,1460481,1459767,paaH,,0,9.41306289796253
b1396,paaI,1460471,1460893,1460682,paaI,,0,1.11382953112433
b1397,paaJ,1460893,1462098,1461495,paaJ,,0,27.3165991485844
b1398,paaK,1462125,1463438,1462781,paaK,,0,32.9786799167817
b1399,paaX,1463539,1464489,1464014,paaX,,0,60.1438713064122
b1400,paaY,1464471,1465061,1464766,paaY,,0,47.5804262733373
b1406,ydbC,1474221,1475081,1474651,ydbC,,0,84.4227852092818
b1407,ydbD,1475144,1477450,1476297,ydbD,,0,8.83044632349215
b1408,ynbA,1477621,1478226,1477923,ynbA,,0,0.133053658903037
b1409,ynbB,1478226,1479122,1478674,ynbB,,0,0.0681820165295026
b1410,ynbC,1479138,1480895,1480016,ynbC,,0,9.78758145504323
b1411,ynbD,1480909,1482201,1481555,ynbD,,0,16.0732405034541
b1412,azoR,1482255,1482860,1482557,azoR,,1,33.3470721023351
b1413,hrpA,1483061,1486963,1485012,hrpA,,0,358.909083452224
b1414,ydcF,1487235,1488035,1487635,ydcF,,0,29.9190995789449
b1415,aldA,1488232,1489671,1488951,aldA,,0,234.912420087798
b1418,cybB,1490902,1491432,1491167,cybB,,0,105.220200096732
b1419,ydcA,1491677,1491850,1491763,ydcA,,0,25.7951666495207
b1420,mokB,1491962,1492129,1492045,mokB,,1,18.029311771617
b1421,trg,1492470,1494110,1493290,trg,,0,63.6855567151913
b1422,ydcI,1494148,1495071,1494609,ydcI,,1,108.576097077947
b1423,ydcJ,1495288,1496631,1495959,ydcJ,,0,81.5531110539036
b1424,opgD,1496856,1498511,1497683,opgD,,0,181.50786331733
b1426,ydcH,1498651,1498875,1498763,ydcH,,0,93.8673837504253
b1427,rimL,1498938,1499477,1499207,rimL,,0,58.2361229814535
b1428,ydcK,1499469,1500449,1499959,ydcK,,1,30.7005551892232
b1429,tehA,1500573,1501565,1501069,tehA,,0,48.9068825899504
b1430,tehB,1501562,1502155,1501858,tehB,,0,52.1015836999321
b1431,ydcL,1502457,1503125,1502791,ydcL,,0,52.5950396996233
b1432,insQ,1503717,1504865,1504291,insQ,,0,78.1086122863227
b1433,ydcO,1504905,1506080,1505492,ydcO,,1,15.9217930053772
b1434,ydcN,1506172,1506708,1506440,ydcN,,0,15.4133973339252
b1435,ydcP,1506781,1508742,1507761,ydcP,,0,177.868225207063
b1436,yncJ,1508834,1509064,1508949,yncJ,,1,7.779484322291
b1438,hicB,1509508,1509924,1509716,hicB,,0,10.9943171824609
b1439,ydcR,1510003,1511409,1510706,ydcR,,0,55.3582713259626
b1440,ydcS,1511654,1512799,1512226,ydcS,,0,73.7648645913433
b1441,ydcT,1512817,1513830,1513323,ydcT,,0,47.3423697039962
b1442,ydcU,1513831,1514772,1514301,ydcU,,0,30.8034464246838
b1443,ydcV,1514762,1515556,1515159,ydcV,,0,27.318664680178
b1444,patD,1515578,1517002,1516290,patD,,0,74.4908201208094
b1445,ydcX,1517389,1517562,1517475,ydcX,,0,5.40861437779554
b1446,ydcY,1517648,1517881,1517764,ydcY,,0,43.4731752134622
b1447,ydcZ,1517882,1518331,1518106,ydcZ,,1,28.0640775151676
b1448,mnaT,1518328,1518846,1518587,mnaT,,1,55.6404016928984
b1449,curA,1519027,1520064,1519545,curA,,0,79.8028113816901
b1450,mcbR,1520262,1520927,1520594,mcbR,,0,7.29748421743512
b1451,yncD,1520963,1523065,1522014,yncD,,1,31.2946861223448
b1452,yncE,1523307,1524368,1523837,yncE,,0,86.2418554637961
b1453,ansP,1524481,1525980,1525230,ansP,,1,21.91122331392
b1454,yncG,1526247,1526864,1526555,yncG,,0,10.6278826760279
b1455,yncH,1526940,1527152,1527046,yncH,,0,0
b1457,ydcD,1529922,1530404,1530163,ydcD,,0,4.57099159819615
b1460,ydcC,1531816,1532952,1532384,ydcC,,0,0.375323320185672
b1461,pptA,1533052,1533285,1533168,pptA,,0,11.3111899864727
b1462,yddH,1533282,1533851,1533566,yddH,,1,13.6696749836692
b1463,nhoA,1534024,1534869,1534446,nhoA,,0,18.4997070703027
b1464,yddE,1534965,1535858,1535411,yddE,,1,62.8008110312888
b1465,narV,1535937,1536617,1536277,narV,,1,14.2275119316169
b1466,narW,1536614,1537309,1536961,narW,,1,11.180481572099
b1467,narY,1537309,1538853,1538081,narY,,1,34.4625143613396
b1468,narZ,1538850,1542590,1540720,narZ,,1,62.2775980471851
b1469,narU,1542672,1544060,1543366,narU,,1,13.8585378460252
b1473,yddG,1546288,1547169,1546728,yddG,,1,16.8972459171079
b1474,fdnG,1547401,1550448,1548924,fdnG,,0,190.626052887947
b1475,fdnH,1550461,1551345,1550903,fdnH,,0,48.0286424339976
b1476,fdnI,1551338,1551991,1551664,fdnI,,0,43.933011793594
b1477,yddM,1552398,1552682,1552540,yddM,,1,27.5589505119863
b1478,adhP,1552828,1553838,1553333,adhP,,1,59.719932248975
b1479,maeA,1553972,1555669,1554820,maeA,,1,364.921733017186
b1480,sra,1555826,1555963,1555894,sra,,1,36.4233865069202
b1481,bdm,1556065,1556280,1556172,bdm,,1,1.54916696391662
b1482,osmC,1556625,1557056,1556840,osmC,,0,75.9975994601686
b1483,ddpF,1557112,1558038,1557575,ddpF,,1,17.9341521012681
b1484,ddpD,1558031,1559017,1558524,ddpD,,1,4.91588865711738
b1485,ddpC,1559014,1559910,1559462,ddpC,,1,7.44517237191212
b1486,ddpB,1559907,1560929,1560418,ddpB,,1,5.09191162931662
b1487,ddpA,1560931,1562481,1561706,ddpA,,1,10.6047744264009
b1488,ddpX,1562495,1563076,1562785,ddpX,,1,4.08354527127912
b1489,dosP,1563334,1565733,1564533,dosP,,1,23.5279660246619
b1490,dosC,1565758,1567140,1566449,dosC,,1,30.7069693398683
b1491,yddW,1567504,1568823,1568163,yddW,,1,62.2511721245781
b1492,gadC,1568954,1570489,1569721,gadC,,1,112.24060422883
b1493,gadB,1570645,1572045,1571345,gadB,,1,79.801289694518
b1494,pqqL,1572407,1575202,1573804,pqqL,,1,113.471511495808
b1495,yddB,1575247,1577619,1576433,yddB,,1,46.9266146907598
b1496,yddA,1577657,1579342,1578499,yddA,,1,17.4977030127345
b1497,ydeM,1579633,1580790,1580211,ydeM,,1,23.6761209808282
b1498,ydeN,1580842,1582524,1581683,ydeN,,1,153.569313405811
b1499,ydeO,1582926,1583687,1583306,ydeO,,1,0.340363173246357
b1500,safA,1583762,1583959,1583860,safA,,1,0
b1501,ydeP,1584207,1586486,1585346,ydeP,,1,17.2430453842076
b1502,ydeQ,1586820,1587734,1587277,ydeQ,,1,0.684462376612622
b1503,ydeR,1587793,1588296,1588044,ydeR,,1,0.469125006802313
b1504,ydeS,1588309,1588839,1588574,ydeS,,1,0.234562503401156
b1507,hipA,1590854,1592176,1591515,hipA,,1,34.8090897785307
b1508,hipB,1592176,1592442,1592309,hipB,,1,9.13923563487621
b1511,lsrK,1598617,1600209,1599413,lsrK,,1,61.6835406985682
b1512,lsrR,1600288,1601241,1600764,lsrR,,1,52.4740400067504
b1513,lsrA,1601490,1603025,1602257,lsrA,,0,38.7623916708072
b1514,lsrC,1603019,1604047,1603533,lsrC,,0,21.6195188736355
b1515,lsrD,1604047,1605039,1604543,lsrD,,0,15.3118338796095
b1516,lsrB,1605051,1606073,1605562,lsrB,,0,37.7961313264738
b1517,lsrF,1606100,1606975,1606537,lsrF,,0,43.8085621834623
b1518,lsrG,1606999,1607289,1607144,lsrG,,0,13.8119040931609
b1519,tam,1607346,1608104,1607725,tam,,0,46.5693204711136
b1520,yneE,1608108,1609022,1608565,yneE,,1,32.865187829048
b1521,uxaB,1609229,1610680,1609954,uxaB,,1,72.1633432374352
b1522,yneF,1610907,1611854,1611380,yneF,,1,34.0120991832457
b1523,yneG,1611966,1612325,1612145,yneG,,1,28.2572276587727
b1524,glsB,1612325,1613251,1612788,glsB,,1,37.9142591265813
b1525,sad,1613315,1614703,1614009,sad,,1,35.5989220639048
b1526,yneJ,1614804,1615685,1615244,yneJ,,0,16.6729334803319
b1527,yneK,1615763,1616878,1616320,yneK,,0,1.18439114660394
b1528,ydeA,1617028,1618218,1617623,ydeA,,0,17.7016163416125
b1529,marC,1618243,1618908,1618575,marC,,1,36.0733623979174
b1530,marR,1619120,1619554,1619337,marR,,0,28.9060292470729
b1531,marA,1619574,1619957,1619765,marA,,0,26.1333238703561
b1532,marB,1619989,1620207,1620098,marB,,0,5.94094686946025
b1533,eamA,1620238,1621137,1620687,eamA,,1,65.1055797690079
b1534,ydeE,1621332,1622519,1621925,ydeE,,0,22.1017514214435
b1536,ydeI,1624105,1624497,1624301,ydeI,,1,4.23909702827869
b1537,ydeJ,1624773,1625291,1625032,ydeJ,,0,6.195777572838
b1538,dcp,1625335,1627380,1626357,dcp,,1,168.79335100103
b1539,ydfG,1627517,1628263,1627890,ydfG,,0,221.312385375085
b1541,ydfZ,1629215,1629418,1629316,ydfZ,,0,16.0648462504193
b1542,ydfI,1629453,1630913,1630183,ydfI,,1,11.8361378259474
b1544,ydfK,1633072,1633305,1633188,ydfK,,0,6.98912564766588
b1545,pinQ,1633622,1634212,1633917,pinQ,,0,2.84525218662921
b1546,tfaQ,1634310,1634885,1634597,tfaQ,,1,0.350263678497173
b1547,stfQ,1634885,1635847,1635366,stfQ,,1,2.39821757842133
b1549,ydfO,1637047,1637457,1637252,ydfO,,0,1.79741119654604
b1550,gnsB,1637609,1637782,1637695,gnsB,,1,13.4757272649851
b1551,ynfN,1637954,1638109,1638031,ynfN,,1,6.4299278476725
b1552,cspI,1638455,1638667,1638561,cspI,,1,128.942909293311
b1553,rzpQ,1639030,1639527,1639278,rzpQ,,1,2.64204924752398
b1554,rrrQ,1639524,1640057,1639790,rrrQ,,1,1.27199854771684
b1555,ydfR,1640054,1640365,1640209,ydfR,,1,0.62458403418893
b1556,essQ,1640370,1640585,1640477,essQ,,1,1.18369447344771
b1557,cspB,1641339,1641554,1641446,cspB,,1,370.984376796034
b1558,cspF,1641855,1642067,1641961,cspF,,0,38.440660229666
b1559,quuQ,1642489,1643241,1642865,quuQ,,1,7.38524111384128
b1560,ydfU,1643255,1644304,1643779,ydfU,,1,4.05536405760002
b1561,rem,1644651,1644902,1644776,rem,,1,4.24633140540253
b1562,hokD,1645119,1645274,1645196,hokD,,1,39.0645492415444
b1563,relE,1645346,1645633,1645489,relE,,1,43.3052111025253
b1564,relB,1645633,1645872,1645752,relB,,1,53.1351085662358
b1565,ydfV,1645897,1646202,1646049,ydfV,,0,7.41394392728486
b1566,flxA,1646405,1646737,1646571,flxA,,0,14.1338266429165
b1569,dicC,1647620,1647850,1647735,dicC,,1,0.307038551760559
b1570,dicA,1647934,1648341,1648137,dicA,,0,80.0314876812262
b1571,ydfA,1648508,1648663,1648585,ydfA,,0,2.72161910049961
b1572,ydfB,1648665,1648793,1648729,ydfB,,0,4.0096269125972
b1573,ydfC,1648823,1649041,1648932,ydfC,,0,4.15672268115129
b1575,dicB,1649609,1649797,1649703,dicB,,0,0
b1576,ydfD,1649794,1649985,1649889,ydfD,,0,0.469125006802313
b1580,rspB,1652896,1653915,1653405,rspB,,1,8.30645237966638
b1581,rspA,1653927,1655141,1654534,rspA,,1,8.68786420033484
b1582,ynfA,1655347,1655673,1655510,ynfA,,1,12.3637705077123
b1583,ynfB,1655808,1656149,1655978,ynfB,,0,92.5961196827781
b1584,speG,1656184,1656744,1656464,speG,,0,114.717125801539
b1585,ynfC,1656747,1657457,1657102,ynfC,,1,39.8124261960233
b1586,ynfD,1657565,1657870,1657717,ynfD,,0,33.7524866991848
b1587,ynfE,1658069,1660495,1659282,ynfE,,0,180.776252452823
b1588,ynfF,1660556,1662979,1661767,ynfF,,0,280.888742542857
b1589,ynfG,1662990,1663607,1663298,ynfG,,0,52.7598541998203
b1590,ynfH,1663609,1664463,1664036,ynfH,,0,108.996565623608
b1591,dmsD,1664506,1665120,1664813,dmsD,,0,59.1691729852138
b1592,clcB,1665315,1666571,1665943,clcB,,0,50.4380009948937
b1593,ynfK,1666524,1667219,1666871,ynfK,,1,138.506497302982
b1594,mlc,1667344,1668564,1667954,mlc,,1,82.8569592121339
b1595,ynfL,1668699,1669592,1669145,ynfL,,1,11.5209652753638
b1596,ynfM,1669699,1670952,1670325,ynfM,,0,72.8369638505306
b1597,asr,1671376,1671684,1671530,asr,,0,3.88264039721216
b1598,ydgD,1671960,1672781,1672370,ydgD,,0,55.7027066411606
b1599,mdtI,1672820,1673149,1672984,mdtI,,1,10.4555723900155
b1600,mdtJ,1673136,1673501,1673318,mdtJ,,1,12.8777480789824
b1601,tqsA,1673913,1674947,1674430,tqsA,,0,28.3712745949932
b1602,pntB,1674972,1676360,1675666,pntB,,1,309.543080597022
b1603,pntA,1676371,1677903,1677137,pntA,,1,385.93385753346
b1604,ydgH,1678427,1679371,1678899,ydgH,,0,159.12330556528
b1605,ydgI,1679557,1680939,1680248,ydgI,,0,21.0086551779557
b1606,folM,1680976,1681698,1681337,folM,,0,31.8596875795402
b1607,ydgC,1681695,1682030,1681862,ydgC,,1,16.7624680649345
b1608,rstA,1682159,1682878,1682518,rstA,,0,57.2977041652525
b1609,rstB,1682882,1684183,1683532,rstB,,0,53.8100943282414
b1610,tus,1684259,1685188,1684723,tus,,0,28.334058962986
b1611,fumC,1685185,1686588,1685886,fumC,,1,108.827521751785
b1612,fumA,1686731,1688377,1687554,fumA,,1,431.425904157322
b1613,manA,1688576,1689751,1689163,manA,,0,185.200516646625
b1614,ydgA,1689852,1691360,1690606,ydgA,,0,498.183078485963
b1615,uidC,1691586,1692851,1692218,uidC,,1,3.86659016129079
b1616,uidB,1692890,1694263,1693576,uidB,,1,4.02076101835376
b1617,uidA,1694260,1696071,1695165,uidA,,1,12.1914364097551
b1618,uidR,1696462,1697052,1696757,uidR,,1,113.055170498989
b1619,hdhA,1697273,1698040,1697656,hdhA,,1,124.797249577568
b1620,malI,1698152,1699180,1698666,malI,,1,38.3808524752513
b1621,malX,1699355,1700947,1700151,malX,,0,55.9591416058605
b1622,malY,1700957,1702129,1701543,malY,,0,76.4042936125261
b1623,add,1702233,1703234,1702733,add,,0,178.376094053359
b1624,ydgJ,1703268,1704308,1703788,ydgJ,,1,103.55343038799
b1625,cnu,1704949,1705164,1705056,cnu,,0,16.8661419614829
b1626,ydgK,1705250,1705690,1705470,ydgK,,0,48.3756799095431
b1627,rsxA,1705767,1706348,1706057,rsxA,,0,26.5824878824876
b1628,rsxB,1706348,1706926,1706637,rsxB,,0,51.6716605675328
b1629,rsxC,1706919,1709141,1708030,rsxC,,0,74.078258863665
b1630,rsxD,1709142,1710200,1709671,rsxD,,0,26.3746338513518
b1631,rsxG,1710204,1710824,1710514,rsxG,,0,16.4015485246972
b1632,rsxE,1710828,1711523,1711175,rsxE,,0,27.0255846943091
b1633,nth,1711523,1712158,1711840,nth,,0,21.0623695057644
b1634,dtpA,1712769,1714271,1713520,dtpA,,0,214.70983619339
b1635,gstA,1714377,1714982,1714679,gstA,,0,110.349024107571
b1636,pdxY,1715026,1715889,1715457,pdxY,,1,81.4845914294264
b1637,tyrS,1715948,1717222,1716585,tyrS,,1,362.22061618641
b1638,pdxH,1717351,1718007,1717679,pdxH,,1,74.5544182681604
b1639,mliC,1718066,1718395,1718230,mliC,,1,10.2932759016865
b1640,anmK,1718493,1719602,1719047,anmK,,1,78.8635754173451
b1641,slyB,1719876,1720343,1720109,slyB,,0,532.577690268806
b1642,slyA,1720390,1720824,1720607,slyA,,1,216.60541470822
b1643,ydhI,1721025,1721261,1721143,ydhI,,0,12.4022620009448
b1644,ydhJ,1721264,1722121,1721692,ydhJ,,0,13.2831188343869
b1645,ydhK,1722121,1724133,1723127,ydhK,,0,47.0821150929453
b1646,sodC,1724134,1724655,1724394,sodC,,1,53.6022740090461
b1647,ydhF,1724736,1725632,1725184,ydhF,,1,112.906153840781
b1648,ydhL,1725681,1725920,1725800,ydhL,,1,6.700019363468
b1649,nemR,1726023,1726622,1726322,nemR,,0,20.5132552387865
b1650,nemA,1726659,1727756,1727207,nemA,,0,75.2150979513248
b1651,gloA,1727837,1728244,1728040,gloA,,0,110.228989564324
b1652,rnt,1728347,1728994,1728670,rnt,,0,46.8245670705426
b1653,lhr,1729087,1733703,1731395,lhr,,0,118.057609455286
b1654,grxD,1733754,1734101,1733927,grxD,,1,168.717897603764
b1656,sodB,1735378,1735959,1735668,sodB,,0,986.621256735634
