Locus_tag,GSE73673_6,GSE73673_7,GSE73673_8,gene_id,GSE85914,gbk_locus_tag,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,gbk_strand
b0833,44,18,13,yliE,4,BW25113_RS04325,868435,870783,869609,,BW25113_0833,0
b0834,10,2,6,yliF,0,BW25113_RS04330,870791,872119,871455,,BW25113_0834,0
b0835,11,7,8,rimO,42,BW25113_RS04335,872166,873491,872828,rimO,BW25113_0835,1
b0836,7,1,5,bssR,435,BW25113_RS04340,873704,874087,873895,bssR,BW25113_0836,0
b0837,204,135,118,yliI,30,BW25113_RS04345,874198,875313,874755,,BW25113_0837,0
b0838,8,5,8,gstB,69,BW25113_RS04350,875310,875936,875623,,BW25113_0838,1
b0839,100,52,67,dacC,94,BW25113_RS04355,876183,877385,876784,,BW25113_0839,0
b0840,57,26,30,deoR,97,BW25113_RS04360,877432,878190,877811,,BW25113_0840,1
b0841,37,14,15,ybjG,17,BW25113_RS04365,878248,878844,878546,,BW25113_0841,1
b0842,11,3,9,mdfA,17,BW25113_RS04370,879129,880361,879745,,BW25113_0842,0
b0843,4,3,2,ybjH,59,BW25113_RS04375,880402,880686,880544,,BW25113_0843,1
b0844,13,6,9,ybjI,44,BW25113_RS04380,880772,881587,881179,,BW25113_0844,1
b0845,34,14,23,ybjJ,15,BW25113_RS04385,881587,882795,882191,,BW25113_0845,1
b0846,4,6,1,rcdA,9,BW25113_RS04390,882879,883415,883147,,BW25113_0846,0
b0847,39,17,10,ybjL,92,BW25113_RS04395,883590,885275,884432,,BW25113_0847,1
b0848,7,8,9,ybjM,12,BW25113_RS04400,885545,885922,885733,,BW25113_0848,0
b0849,35,13,14,grxA,9,BW25113_RS04405,885952,886209,886080,,BW25113_0849,1
b0850,14,6,10,ybjC,65,BW25113_RS04410,886369,886656,886512,,BW25113_0850,0
b0851,11,6,5,nfsA,52,BW25113_RS04415,886640,887362,887001,,BW25113_0851,0
b0852,50,26,28,rimK,8,BW25113_RS04420,887423,888325,887874,,BW25113_0852,0
b0853,7,6,3,ybjN,107,BW25113_RS04425,888413,888889,888651,,BW25113_0853,0
b0854,27,21,25,potF,198,BW25113_RS04435,889240,890352,889796,,BW25113_0854,0
b0855,10,17,16,potG,55,BW25113_RS04440,890447,891580,891013,potG,BW25113_0855,0
b0856,4,2,4,potH,6,BW25113_RS04445,891590,892543,892066,,BW25113_0856,0
b0857,7,4,4,potI,15,BW25113_RS04450,892540,893385,892962,,BW25113_0857,0
b0858,2,1,3,ybjO,12,BW25113_RS04455,893445,893933,893689,,BW25113_0858,0
b0859,15,5,8,rlmC,10,BW25113_RS04460,893974,895101,894537,rumB,BW25113_0859,0
b0860,22,14,10,artJ,389,BW25113_RS04465,895300,896031,895665,,BW25113_0860,1
b0861,101,82,71,artM,21,BW25113_RS04470,896322,896990,896656,artM,BW25113_0861,1
b0862,22,14,11,artQ,71,BW25113_RS04475,896990,897706,897348,,BW25113_0862,1
b0863,39,19,34,artI,80,BW25113_RS04480,897713,898444,898078,,BW25113_0863,1
b0864,118,70,76,artP,141,BW25113_RS04485,898462,899190,898826,,BW25113_0864,1
b0865,54,23,39,ybjP,159,BW25113_RS04490,899408,899923,899665,,BW25113_0865,1
b0866,36,19,24,ybjQ,80,BW25113_RS04495,900049,900372,900210,,BW25113_0866,0
b0867,76,45,49,amiD,85,BW25113_RS04500,900369,901199,900784,,BW25113_0867,0
b0868,52,28,26,ybjS,23,BW25113_RS04505,901196,902209,901702,,BW25113_0868,1
b0869,36,21,19,ybjT,67,BW25113_RS04510,902308,903738,903023,,BW25113_0869,1
b0870,22,16,19,ltaE,196,BW25113_RS04515,903749,904750,904249,,BW25113_0870,1
b0871,259,159,165,poxB,863,BW25113_RS04520,904787,906505,905646,,BW25113_0871,1
b0872,169,97,104,hcr,1,BW25113_RS04525,906638,907606,907122,,BW25113_0872,1
b0873,7,6,5,hcp,1,BW25113_RS04530,907618,909270,908444,,BW25113_0873,1
b0874,5,0,3,ybjE,26,BW25113_RS04535,909414,910313,909863,,BW25113_0874,1
b0875,9,1,3,aqpZ,2,BW25113_RS04540,910808,911503,911155,,BW25113_0875,1
b0876,24,9,10,ybjD,25,BW25113_RS04550,911929,913587,912758,,BW25113_0876,0
b0877,22,9,9,ybjX,92,BW25113_RS04555,913584,914576,914080,,BW25113_0877,1
b0878,32,19,19,macA,73,BW25113_RS04560,914691,915806,915248,,BW25113_0878,0
b0879,48,21,27,macB,18,BW25113_RS04565,915803,917749,916776,,BW25113_0879,0
b0880,12,1,1,cspD,57,BW25113_RS04570,917822,918046,917934,,BW25113_0880,1
b0881,145,85,77,clpS,486,BW25113_RS04575,918369,918689,918529,,BW25113_0881,0
b0882,725,385,468,clpA,1048,BW25113_RS04580,918720,920996,919858,,BW25113_0882,0
b0884,63,52,45,infA,202,BW25113_RS04590,921681,921899,921790,,BW25113_0884,1
b0885,86,33,52,aat,108,BW25113_RS04595,922184,922888,922536,,BW25113_0885,1
b0886,64,36,37,cydC,39,BW25113_RS04600,922930,924651,923790,,BW25113_0886,1
b0887,54,24,33,cydD,20,BW25113_RS04605,924652,926418,925535,,BW25113_0887,1
b0888,49,26,20,trxB,180,BW25113_RS04610,926541,927506,927023,,BW25113_0888,1
b0889,24,17,17,lrp,131,BW25113_RS04615,928051,928545,928298,,BW25113_0889,0
b0890,651,363,393,ftsK,177,BW25113_RS04620,928680,932669,930674,,BW25113_0890,0
b0891,53,26,26,lolA,414,BW25113_RS04625,932828,933439,933133,lolA,BW25113_0891,0
b0892,151,73,68,rarA,128,BW25113_RS04630,933450,934793,934121,,BW25113_0892,0
b0893,286,133,134,serS,796,BW25113_RS04635,934884,936176,935530,,BW25113_0893,0
b0894,195,87,123,dmsA,12,BW25113_RS04640,936415,938859,937637,,BW25113_0894,0
b0895,3,2,3,dmsB,4,BW25113_RS04645,938870,939487,939178,,BW25113_0895,0
b0896,10,2,3,dmsC,5,BW25113_RS04650,939489,940352,939920,,BW25113_0896,0
b0897,4,6,1,ycaC,1947,BW25113_RS04655,940387,941013,940700,,BW25113_0897,1
b0898,90,54,83,ycaD,22,BW25113_RS04660,941327,942475,941901,,BW25113_0898,0
b0899,15,5,6,ycaM,1,BW25113_RS04665,942685,944115,943400,,BW25113_0899,0
b0900,2,3,4,ycaN,8,BW25113_RS04670,944116,945024,944570,,BW25113_0900,1
b0901,5,1,2,ycaK,0,BW25113_RS04675,945124,945714,945419,,BW25113_0901,0
b0902,2,2,4,pflA,48,BW25113_RS04680,945796,946536,946166,pflA,BW25113_0902,1
b0903,9011,4973,5578,pflB,3204,BW25113_RS04685,946728,949880,948304,,BW25113_0903,1
b0904,4654,2380,2850,focA,1487,BW25113_RS04685,946728,949880,948304,,BW25113_0903,1
b0905,351,158,197,ycaO,34,BW25113_RS04695,950328,952088,951208,,BW25113_0905,1
b0906,17,9,11,ycaP,52,BW25113_RS04700,952218,952910,952564,,BW25113_0906,0
b0907,201,111,111,serC,391,BW25113_RS04705,953109,954197,953653,,BW25113_0907,0
b0908,452,217,266,aroA,249,BW25113_RS04710,954268,955551,954909,,BW25113_0908,0
b0909,164,71,94,ycaL,27,BW25113_RS04715,955720,956484,956102,,BW25113_0909,0
b0910,4,1,1,cmk,245,BW25113_RS04720,956657,957340,956998,,BW25113_0910,0
b0911,970,553,597,rpsA,1034,BW25113_RS04725,957451,959124,958287,,BW25113_0911,0
b0912,342,186,202,ihfB,17829,BW25113_RS04730,959284,959568,959426,,BW25113_0912,0
b0913,405,223,251,ycaI,9,BW25113_RS04735,959776,962040,960908,,BW25113_0913,0
b0914,52,24,30,msbA,55,BW25113_RS04740,962077,963825,962951,,BW25113_0914,0
b0915,48,21,31,lpxK,17,BW25113_RS04745,963822,964808,964315,,BW25113_0915,0
b0916,25,12,11,ycaQ,11,BW25113_RS04750,964845,966077,965461,,BW25113_0916,0
b0917,1,0,0,ycaR,80,BW25113_RS04755,966129,966311,966220,,BW25113_0917,0
b0918,26,10,11,kdsB,39,BW25113_RS04760,966308,967054,966681,,BW25113_0918,0
b0919,48,40,22,ycbJ,36,BW25113_RS04765,967208,968101,967654,,BW25113_0919,0
b0920,36,28,20,ycbC,7,BW25113_RS04770,968078,968857,968467,,BW25113_0920,1
b0921,6,4,2,smtA,46,BW25113_RS04775,968993,969778,969385,,BW25113_0921,0
b0922,69,22,36,mukF,39,BW25113_RS04780,969775,971097,970436,,BW25113_0922,0
b0923,23,17,20,mukE,78,BW25113_RS04785,971078,971782,971430,,BW25113_0923,0
b0924,245,154,126,mukB,67,BW25113_RS04790,971782,976242,974012,,BW25113_0924,0
b0925,113,75,91,ldtD,467,BW25113_RS04795,976503,978350,977426,,BW25113_0925,0
b0926,28,21,24,ycbK,641,BW25113_RS04800,978531,979079,978805,,BW25113_0926,0
b0927,166,79,80,ycbL,104,BW25113_RS04805,979106,979753,979429,,BW25113_0927,0
b0928,271,153,155,aspC,363,BW25113_RS04810,979975,981165,980570,,BW25113_0928,1
b0929,676,261,310,ompF,4095,BW25113_RS04820,981350,982438,981894,,BW25113_0929,1
b0930,520,207,261,asnS,127,BW25113_RS04825,983041,984441,983741,,BW25113_0930,1
b0931,272,140,124,pncB,99,BW25113_RS04830,984610,985812,985211,,BW25113_0931,1
b0932,353,162,230,pepN,339,BW25113_RS04835,986078,988690,987384,,BW25113_0932,0
b0933,110,49,47,ssuB,2,BW25113_RS04840,988733,989500,989116,,BW25113_0933,1
b0934,8,3,7,ssuC,0,BW25113_RS04845,989497,990288,989892,ssuC,BW25113_0934,1
b0935,6,2,1,ssuD,3,BW25113_RS04850,990299,991444,990871,,BW25113_0935,1
b0936,7,0,2,ssuA,2,BW25113_RS04855,991441,992400,991920,,BW25113_0936,1
b0937,2,0,0,ssuE,1,BW25113_RS04860,992393,992968,992680,,BW25113_0937,1
b0938,3,0,2,elfA,1,BW25113_RS04865,993324,993863,993593,,BW25113_0938,0
b0939,2,0,2,elfD,0,BW25113_RS04870,993946,994647,994296,,BW25113_0939,0
b0940,14,9,0,elfC,4,BW25113_RS04875,994672,997272,995972,,BW25113_0940,0
b0941,3,0,0,elfG,14,BW25113_RS04880,997263,998333,997798,,BW25113_0941,0
b0942,5,0,2,ycbU,2,BW25113_RS04885,998345,998887,998616,,BW25113_0942,0
b0943,2,1,3,ycbV,2,BW25113_RS04890,998895,999410,999152,,BW25113_0943,0
b0944,4,2,3,ycbF,3,BW25113_RS04895,999403,1000113,999758,,BW25113_0944,0
b0945,16,9,5,pyrD,126,BW25113_RS04900,1000224,1001234,1000729,,BW25113_0945,0
b0946,5,6,2,zapC,87,BW25113_RS04905,1001408,1001950,1001679,,BW25113_0946,0
b0947,51,26,33,ycbX,148,BW25113_RS04910,1001947,1003056,1002501,,BW25113_0947,1
b0948,71,34,34,rlmL,73,BW25113_RS04915,1003300,1005408,1004354,,BW25113_0948,0
b0949,27,18,28,uup,94,BW25113_RS04920,1005420,1007327,1006373,,BW25113_0949,0
b0950,47,24,24,pqiA,14,BW25113_RS04925,1007457,1008710,1008083,,BW25113_0950,0
b0951,25,16,21,pqiB,24,BW25113_RS04930,1008715,1010355,1009535,,BW25113_0951,0
b0952,12,7,7,pqiC,18,BW25113_RS04935,1010352,1010915,1010633,,BW25113_0952,0
b0953,6,0,3,rmf,131,BW25113_RS04940,1011171,1011338,1011254,,BW25113_0953,0
b0954,517,214,324,fabA,71,BW25113_RS04945,1011408,1011926,1011667,,BW25113_0954,1
b0955,1784,1248,1321,ycbZ,98,BW25113_RS04950,1011995,1013755,1012875,,BW25113_0955,1
b0956,18,4,8,matP,34,BW25113_RS04955,1013941,1014393,1014167,,BW25113_0956,0
b0957,1432,696,818,ompA,26149,BW25113_RS04960,1014469,1015509,1014989,,BW25113_0957,1
b0958,4137,1771,2454,sulA,116,BW25113_RS04970,1015866,1016375,1016120,,BW25113_0958,1
b0959,31,21,10,sxy,12,BW25113_RS04975,1016594,1017223,1016908,,BW25113_0959,0
b0960,34,30,23,yccS,65,BW25113_RS04980,1017186,1019339,1018262,,BW25113_0960,1
b0961,7,4,6,yccF,20,BW25113_RS04985,1019358,1019804,1019581,,BW25113_0961,1
b0962,63,38,33,helD,47,BW25113_RS04990,1019927,1021981,1020954,helD,BW25113_0962,0
b0963,30,19,14,mgsA,393,BW25113_RS04995,1022013,1022471,1022242,,BW25113_0963,1
b0964,80,38,56,yccT,36,BW25113_RS05000,1022567,1023229,1022898,,BW25113_0964,1
b0965,7,6,2,yccU,79,BW25113_RS05010,1023402,1023815,1023608,,BW25113_0965,0
b0966,11,2,4,hspQ,108,BW25113_RS05015,1023860,1024177,1024018,,BW25113_0966,1
b0967,267,130,153,rlmI,82,BW25113_RS05020,1024235,1025425,1024830,,BW25113_0967,1
b0968,3,9,3,yccX,142,BW25113_RS05025,1025520,1025798,1025659,,BW25113_0968,0
b0969,7,1,3,tusE,16,BW25113_RS05030,1025795,1026124,1025959,,BW25113_0969,1
b0970,35,16,15,yccA,1982,BW25113_RS05035,1026215,1026874,1026544,,BW25113_0970,1
b0972,58,30,47,hyaA,3,BW25113_RS05045,1027595,1028713,1028154,,BW25113_0972,0
b0973,108,129,81,hyaB,2,BW25113_RS05050,1028710,1030503,1029606,,BW25113_0973,0
b0974,21,31,15,hyaC,2,BW25113_RS05055,1030522,1031229,1030875,,BW25113_0974,0
b0975,30,14,15,hyaD,10,BW25113_RS05060,1031226,1031813,1031519,,BW25113_0975,0
b0976,16,11,9,hyaE,1,BW25113_RS05065,1031810,1032208,1032009,,BW25113_0976,0
b0977,22,28,22,hyaF,1,BW25113_RS05070,1032205,1033062,1032633,,BW25113_0977,0
b0978,136,85,98,cbdA,9,BW25113_RS05075,1033196,1034740,1033968,,BW25113_0978,0
b0979,263,179,182,cbdB,8,BW25113_RS05080,1034752,1035888,1035320,,BW25113_0979,0
b0980,228,172,147,appA,21,BW25113_RS05090,1036073,1037371,1036722,,BW25113_0980,0
b0981,102,83,74,etk,21,BW25113_RS05095,1037486,1039666,1038576,,BW25113_0981,1
b0982,4,5,0,etp,6,BW25113_RS05100,1039686,1040132,1039909,,BW25113_0982,1
b0983,4,3,6,gfcE,6,BW25113_RS05105,1040120,1041259,1040689,,BW25113_0983,1
b0984,3,1,2,gfcD,2,BW25113_RS05110,1041305,1043401,1042353,,BW25113_0984,1
b0985,0,1,4,gfcC,2,BW25113_RS05115,1043401,1044147,1043774,,BW25113_0985,1
b0986,0,0,0,gfcB,12,BW25113_RS05120,1044144,1044788,1044466,,BW25113_0986,1
b0987,0,1,0,gfcA,54,BW25113_RS05125,1044895,1045200,1045047,,BW25113_0987,1
b0989,0,0,0,cspH,1,BW25113_RS05140,1046419,1046631,1046525,,BW25113_0989,1
b0990,3,1,0,cspG,36,BW25113_RS05145,1046917,1047129,1047023,,BW25113_0990,0
b0991,1,0,1,ymcE,206,BW25113_RS05150,1047303,1047533,1047418,,BW25113_0991,0
b0992,16,9,9,yccM,1,BW25113_RS05160,1047745,1048818,1048281,,BW25113_0992,1
b0993,14,2,9,torS,8,BW25113_RS05165,1048890,1051634,1050262,,BW25113_0993,1
b0994,3,0,2,torT,10,BW25113_RS05170,1051717,1052745,1052231,,BW25113_0994,0
b0995,6,3,3,torR,10,BW25113_RS05175,1052718,1053410,1053064,,BW25113_0995,1
b0996,10,6,3,torC,0,BW25113_RS05180,1053540,1054712,1054126,,BW25113_0996,0
b0997,5,0,3,torA,2,BW25113_RS05185,1054712,1057258,1055985,,BW25113_0997,0
b0998,1,1,1,torD,1,BW25113_RS05190,1057255,1057854,1057554,,BW25113_0998,0
b0999,2,2,1,cbpM,354,BW25113_RS05195,1058006,1058311,1058158,,BW25113_0999,1
b1000,151,96,87,cbpA,698,BW25113_RS05200,1058311,1059231,1058771,,BW25113_1000,1
b1001,199,133,125,yccE,0,BW25113_RS05205,1059492,1060748,1060120,,BW25113_1001,0
b1002,27,16,25,agp,138,BW25113_RS05210,1061041,1062282,1061661,,BW25113_1002,0
b1003,16,9,10,yccJ,668,BW25113_RS05215,1062320,1062547,1062433,,BW25113_1003,1
b1004,120,97,94,wrbA,2157,BW25113_RS05220,1062568,1063164,1062866,,BW25113_1004,1
b1006,70,29,45,rutG,5,BW25113_RS05235,1063967,1065295,1064631,,BW25113_1006,1
b1007,3,0,1,rutF,6,BW25113_RS05240,1065316,1065810,1065563,,BW25113_1007,1
b1008,0,2,0,rutE,4,BW25113_RS05245,1065821,1066411,1066116,,BW25113_1008,1
b1009,3,1,0,rutD,2,BW25113_RS05250,1066421,1067221,1066821,,BW25113_1009,1
b1010,0,0,0,rutC,1,BW25113_RS05255,1067229,1067615,1067422,,BW25113_1010,1
b1011,5,1,1,rutB,0,BW25113_RS05260,1067627,1068319,1067973,,BW25113_1011,1
b1012,4,0,1,rutA,0,BW25113_RS05265,1068319,1069467,1068893,,BW25113_1012,1
b1013,1,1,1,rutR,18,BW25113_RS05270,1069698,1070336,1070017,,BW25113_1013,0
b1014,39,25,12,putA,57,BW25113_RS05275,1070376,1074338,1072357,putA,BW25113_1014,1
b1015,32,13,8,putP,21,BW25113_RS05285,1074761,1076269,1075515,,BW25113_1015,0
b1018,18,15,11,efeO,67,BW25113_RS05300,1077699,1078826,1078262,,BW25113_1018,0
b1019,29,23,26,efeB,184,BW25113_RS05305,1078832,1080103,1079467,,BW25113_1019,0
b1020,12,6,6,phoH,574,BW25113_RS05315,1080448,1081512,1080980,,,0
b1021,0,2,3,pgaD,52,BW25113_RS05320,1081562,1081975,1081768,,BW25113_1021,1
b1022,7,1,2,pgaC,3,BW25113_RS05325,1081977,1083302,1082639,,BW25113_1022,1
b1023,6,3,1,pgaB,2,BW25113_RS05330,1083295,1085313,1084304,pgaB,BW25113_1023,1
b1024,9,1,3,pgaA,37,BW25113_RS05335,1085322,1087745,1086533,,BW25113_1024,1
b1025,10,8,5,ycdT,17,BW25113_RS05340,1088332,1089690,1089011,,BW25113_1025,0
b1026,5,4,0,insF1,10,BW25113_RS05345,1089731,1090893,1090312,,BW25113_1026,1
b1029,0,1,0,ycdU,3,BW25113_RS05360,1091299,1092285,1091792,,BW25113_1029,0
b1033,15,5,9,ghrA,350,BW25113_RS05375,1093342,1094280,1093811,,BW25113_1033,0
b1034,51,23,20,ycdX,391,BW25113_RS05380,1094335,1095072,1094703,,BW25113_1034,0
b1035,50,25,34,ycdY,23,BW25113_RS05385,1095096,1095650,1095373,,BW25113_1035,0
b1036,37,21,23,ycdZ,25,BW25113_RS05390,1095752,1096243,1095997,,BW25113_1036,0
b1037,30,12,19,csgG,77,BW25113_RS05395,1096307,1097140,1096723,,BW25113_1037,1
b1038,9,9,6,csgF,346,BW25113_RS05400,1097167,1097583,1097375,,BW25113_1038,1
b1039,17,4,9,csgE,296,BW25113_RS05405,1097608,1097997,1097802,,BW25113_1039,1
b1040,27,10,21,csgD,205,BW25113_RS05410,1098002,1098652,1098327,,BW25113_1040,1
b1041,12,3,4,csgB,7,BW25113_RS05420,1099407,1099862,1099634,csgB,BW25113_1041,0
b1042,0,0,0,csgA,11,BW25113_RS05425,1099903,1100358,1100130,csgA,BW25113_1042,0
b1043,3,2,1,csgC,7,BW25113_RS05430,1100417,1100749,1100583,csgC,BW25113_1043,0
b1044,7,5,1,ymdA,12,BW25113_RS05435,1100870,1101181,1101025,,BW25113_1044,0
b1045,3,0,1,ymdB,90,BW25113_RS05440,1101276,1101809,1101542,,BW25113_1045,0
b1046,73,44,44,clsC,59,BW25113_RS05445,1101811,1103232,1102521,,BW25113_1046,0
b1047,24,11,9,opgC,12,BW25113_RS05450,1103240,1104397,1103818,,BW25113_1047,1
b1048,102,52,64,opgG,135,BW25113_RS05465,1104791,1106326,1105558,mdoG,BW25113_1048,0
b1049,238,124,137,opgH,45,BW25113_RS05470,1106319,1108862,1107590,,BW25113_1049,0
b1050,4,5,10,yceK,35,BW25113_RS05475,1109035,1109262,1109148,,BW25113_1050,0
b1051,13,15,15,msyB,971,BW25113_RS05480,1109263,1109637,1109450,,BW25113_1051,1
b1053,316,194,176,mdtG,20,BW25113_RS05490,1109720,1110946,1110333,,BW25113_1053,1
b1054,13,9,5,lpxL,59,BW25113_RS05495,1111118,1112038,1111578,,BW25113_1054,1
b1055,16,5,4,yceA,83,BW25113_RS05500,1112263,1113315,1112789,,BW25113_1055,0
b1056,7,6,2,yceI,121,BW25113_RS05505,1113357,1113932,1113644,,BW25113_1056,1
b1057,17,6,8,yceJ,93,BW25113_RS05510,1113936,1114502,1114219,,BW25113_1057,1
b1058,1,1,3,yceO,3,BW25113_RS05515,1114763,1114903,1114833,,BW25113_1058,1
b1059,23,12,15,solA,373,BW25113_RS05520,1114924,1116042,1115483,,BW25113_1059,1
b1060,23,7,10,bssS,694,BW25113_RS05525,1116157,1116411,1116284,bssS,BW25113_1060,1
b1061,110,40,59,dinI,243,BW25113_RS05530,1116698,1116943,1116820,,BW25113_1061,1
b1062,82,70,36,pyrC,240,BW25113_RS05535,1117017,1118063,1117540,,BW25113_1062,1
b1063,44,44,40,yceB,211,BW25113_RS05540,1118169,1118729,1118449,,BW25113_1063,1
b1064,46,18,27,grxB,1564,BW25113_RS05545,1118863,1119510,1119186,,BW25113_1064,1
b1065,251,139,149,mdtH,6,BW25113_RS05550,1119574,1120782,1120178,,BW25113_1065,1
b1066,3,4,0,rimJ,225,BW25113_RS05555,1121018,1121602,1121310,,BW25113_1066,0
b1067,42,24,30,yceH,54,BW25113_RS05560,1121613,1122260,1121936,,BW25113_1067,0
b1068,95,41,45,yceM,127,BW25113_RS05565,1122262,1123185,1122723,,BW25113_1068,0
b1069,65,22,35,murJ,36,BW25113_RS05570,1123295,1124830,1124062,,BW25113_1069,0
b1070,3,1,1,flgN,25,BW25113_RS05575,1124870,1125286,1125078,,BW25113_1070,1
b1071,5,0,1,flgM,64,BW25113_RS05580,1125291,1125584,1125437,,BW25113_1071,1
b1072,16,4,6,flgA,16,BW25113_RS05585,1125660,1126319,1125989,,BW25113_1072,1
b1073,4,0,2,flgB,31,BW25113_RS05590,1126474,1126890,1126682,flgB,BW25113_1073,0
b1074,4,0,0,flgC,16,BW25113_RS05595,1126894,1127298,1127096,,BW25113_1074,0
b1075,6,0,2,flgD,15,BW25113_RS05600,1127310,1128005,1127657,flgD,BW25113_1075,0
b1076,10,2,4,flgE,9,BW25113_RS05605,1128030,1129238,1128634,flgE,BW25113_1076,0
b1077,11,0,3,flgF,1,BW25113_RS05610,1129258,1130013,1129635,flgF,BW25113_1077,0
b1078,8,1,5,flgG,9,BW25113_RS05615,1130185,1130967,1130576,,BW25113_1078,0
b1079,9,0,2,flgH,1,BW25113_RS05620,1131020,1131718,1131369,,BW25113_1079,0
b1080,6,2,2,flgI,4,BW25113_RS05625,1131730,1132827,1132278,flgI,BW25113_1080,0
b1081,3,0,0,flgJ,12,BW25113_RS05630,1132827,1133768,1133297,,BW25113_1081,0
b1082,6,2,5,flgK,5,BW25113_RS05635,1133834,1135477,1134655,,BW25113_1082,0
b1083,12,5,2,flgL,22,BW25113_RS05640,1135489,1136442,1135965,flgL,BW25113_1083,0
b1084,298,155,192,rne,402,BW25113_RS05645,1136638,1139823,1138230,,BW25113_1084,1
b1085,55,15,24,yceQ,13,BW25113_RS05650,1139958,1140278,1140118,,BW25113_1085,0
b1086,164,73,65,rluC,5,BW25113_RS05655,1140396,1141355,1140875,,BW25113_1086,0
b1087,10,7,6,yceF,135,BW25113_RS05660,1141467,1142051,1141759,,BW25113_1087,1
b1088,58,25,45,yceD,652,BW25113_RS05665,1142250,1142771,1142510,,BW25113_1088,0
b1089,75,24,21,rpmF,602,BW25113_RS05670,1142823,1142996,1142909,,BW25113_1089,0
b1090,1106,555,591,plsX,181,BW25113_RS05675,1143077,1144147,1143612,,BW25113_1090,0
b1091,134,61,65,fabH,161,BW25113_RS05680,1144215,1145168,1144691,,BW25113_1091,0
b1092,107,75,69,fabD,286,BW25113_RS05685,1145184,1146113,1145648,,BW25113_1092,0
b1093,206,114,128,fabG,620,BW25113_RS05690,1146126,1146860,1146493,fabG,BW25113_1093,0
b1094,46,27,35,acpP,4573,BW25113_RS05695,1147071,1147307,1147189,,BW25113_1094,0
b1095,1580,862,910,fabF,347,BW25113_RS05700,1147395,1148636,1148015,,BW25113_1095,0
b1096,112,47,55,pabC,15,BW25113_RS05705,1148756,1149565,1149160,,BW25113_1096,0
b1097,32,8,14,yceG,18,BW25113_RS05710,1149568,1150590,1150079,,BW25113_1097,0
b1098,10,1,5,tmk,84,BW25113_RS05715,1150580,1151221,1150900,,BW25113_1098,0
b1099,40,18,15,holB,62,BW25113_RS05720,1151218,1152222,1151720,,BW25113_1099,0
b1100,22,8,15,ycfH,320,BW25113_RS05725,1152233,1153030,1152631,,BW25113_1100,0
b1101,334,175,208,ptsG,785,BW25113_RS05730,1153325,1154758,1154041,,BW25113_1101,0
b1102,509,251,272,fhuE,303,BW25113_RS05735,1154818,1157007,1155912,,BW25113_1102,1
b1103,24,9,7,hinT,370,BW25113_RS05740,1157341,1157700,1157520,,BW25113_1103,0
b1104,20,4,2,ycfL,325,BW25113_RS05745,1157703,1158080,1157891,,BW25113_1104,0
b1105,63,38,44,lpoB,535,BW25113_RS05750,1158094,1158735,1158414,,BW25113_1105,0
b1106,98,44,55,thiK,20,BW25113_RS05755,1158716,1159540,1159128,,BW25113_1106,0
b1107,42,18,12,nagZ,71,BW25113_RS05760,1159551,1160576,1160063,,BW25113_1107,0
b1108,27,13,21,ycfP,255,BW25113_RS05765,1160599,1161141,1160870,,BW25113_1108,0
b1109,205,115,119,ndh,660,BW25113_RS05770,1161541,1162845,1162193,,BW25113_1109,0
b1110,186,73,87,ycfJ,13,BW25113_RS05775,1163055,1163594,1163324,,BW25113_1110,0
b1111,14,7,8,ycfQ,104,BW25113_RS05780,1163656,1164288,1163972,,BW25113_1111,1
b1112,6,12,5,bhsA,9,BW25113_RS05785,1164529,1164786,1164657,,BW25113_1112,0
b1113,21,19,14,ldtC,47,BW25113_RS05790,1164868,1165830,1165349,,BW25113_1113,1
b1114,133,78,72,mfd,146,BW25113_RS05795,1165974,1169420,1167697,,BW25113_1114,1
b1115,41,19,28,ycfT,1,BW25113_RS05800,1169548,1170621,1170084,,BW25113_1115,1
b1116,15,11,3,lolC,46,BW25113_RS05805,1170883,1172082,1171482,,BW25113_1116,0
b1117,26,15,14,lolD,36,BW25113_RS05810,1172075,1172776,1172425,lolD,BW25113_1117,0
b1118,52,24,16,lolE,58,BW25113_RS05815,1172776,1174020,1173398,,BW25113_1118,0
b1119,52,24,28,nagK,64,BW25113_RS05820,1174049,1174960,1174504,,BW25113_1119,0
b1120,59,42,24,cobB,35,BW25113_RS05825,1174976,1175815,1175395,,BW25113_1120,0
b1121,44,25,25,ycfZ,1,BW25113_RS05830,1175935,1176723,1176329,,BW25113_1121,1
b1122,1,0,0,ymfA,2,BW25113_RS05835,1176720,1177181,1176950,,BW25113_1122,1
b1123,44,20,28,potD,197,BW25113_RS05840,1177239,1178285,1177762,,BW25113_1123,1
b1124,166,92,90,potC,332,BW25113_RS05845,1178282,1179076,1178679,,BW25113_1124,1
b1125,18,9,9,potB,21,BW25113_RS05850,1179073,1179930,1179501,,BW25113_1125,1
b1126,29,13,16,potA,96,BW25113_RS05855,1179914,1181050,1180482,,BW25113_1126,1
b1127,73,31,36,pepT,116,BW25113_RS05865,1181300,1182526,1181913,,BW25113_1127,0
b1128,103,53,54,roxA,115,BW25113_RS05870,1182575,1183696,1183135,,BW25113_1128,1
b1129,83,43,59,phoQ,59,BW25113_RS05875,1183772,1185232,1184502,,BW25113_1129,1
b1130,45,14,22,phoP,732,BW25113_RS05880,1185232,1185903,1185567,,BW25113_1130,1
