Locus_tag,gene_id,GSE98890_1,GSE98890_2,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_locus_tag,gbk_strand
ECDH10B_0894,fsaA,22,98,916793,917455,917124,fsa,ECDH10B_RS04590,0
ECDH10B_0895,moeB,157,539,917531,918280,917905,moeB,ECDH10B_RS04595,1
ECDH10B_0896,moeA,296,1101,918280,919515,918897,moeA,ECDH10B_RS04600,1
ECDH10B_0897,iaaA,136,448,919719,920684,920201,iaaA,ECDH10B_RS04605,0
ECDH10B_0898,gsiA,87,377,920671,922542,921606,gsiA,ECDH10B_RS04610,0
ECDH10B_0899,gsiB,67,281,922562,924100,923331,gsiB,ECDH10B_RS04615,0
ECDH10B_0900,gsiC,22,78,924118,925038,924578,gsiC,ECDH10B_RS04620,0
ECDH10B_0901,gsiD,12,19,925041,925952,925496,gsiD,ECDH10B_RS04625,0
ECDH10B_0902,yliE,32,36,926130,928478,927304,,ECDH10B_RS04630,0
ECDH10B_0903,yliF,10,24,928486,929814,929150,,ECDH10B_RS04635,0
ECDH10B_0904,rimO,326,549,929861,931186,930523,rimO,ECDH10B_RS04640,1
ECDH10B_0905,bssR,214,3800,931399,931782,931590,bssR,ECDH10B_RS04645,0
ECDH10B_0906,yliI,38,186,931893,933008,932450,,ECDH10B_RS04650,0
ECDH10B_0907,yliJ,246,1011,933005,933631,933318,,ECDH10B_RS04655,1
ECDH10B_0908,dacC,278,901,933878,935080,934479,dacC,ECDH10B_RS04660,0
ECDH10B_0909,deoR,107,311,935127,935885,935506,deoR,ECDH10B_RS04665,1
ECDH10B_0910,ybjG,50,197,935943,936539,936241,ybjG,ECDH10B_RS04670,1
ECDH10B_0911,cmr,84,128,936824,938056,937440,mdfA,ECDH10B_RS04675,0
ECDH10B_0912,ybjH,5,25,938097,938381,938239,,ECDH10B_RS04680,1
ECDH10B_0913,ybjI,43,113,938467,939282,938874,ybjI,ECDH10B_RS04685,1
ECDH10B_0914,ybjJ,63,143,939282,940490,939886,,ECDH10B_RS04690,1
ECDH10B_0915,ybjK,33,172,940574,941110,940842,,ECDH10B_RS04695,0
ECDH10B_0917,ybjL,161,429,941285,942970,942127,,ECDH10B_RS04700,1
ECDH10B_0918,ybjM,23,95,943240,943617,943428,,ECDH10B_RS04705,0
ECDH10B_0919,grxA,13,38,943647,943904,943775,grxA,ECDH10B_RS04710,1
ECDH10B_0920,ybjC,38,94,944064,944351,944207,,ECDH10B_RS04715,0
ECDH10B_0921,nfsA,92,309,944335,945057,944696,nfsA,ECDH10B_RS04720,0
ECDH10B_0922,rimK,105,290,945118,946020,945569,rimK,ECDH10B_RS04725,0
ECDH10B_0923,ybjN,202,756,946108,946584,946346,,ECDH10B_RS04730,0
ECDH10B_0924,potF,74,187,946935,948047,947491,potF,ECDH10B_RS04740,0
ECDH10B_0925,potG,56,60,948142,949275,948708,potG,ECDH10B_RS04745,0
ECDH10B_0926,potH,21,32,949285,950238,949761,potH,ECDH10B_RS04750,0
ECDH10B_0927,potI,42,63,950235,951080,950657,potI,ECDH10B_RS04755,0
ECDH10B_0928,ybjO,16,35,951140,951628,951384,,ECDH10B_RS04760,0
ECDH10B_0929,rumB,73,141,951669,952796,952232,rlmC,ECDH10B_RS04765,0
ECDH10B_0930,artJ,52,274,952995,953726,953360,,ECDH10B_RS04770,1
ECDH10B_0931,artM,153,327,954017,954685,954351,artM,ECDH10B_RS04775,1
ECDH10B_0932,artQ,135,245,954685,955401,955043,artQ,ECDH10B_RS04780,1
ECDH10B_0933,artI,255,969,955408,956139,955773,artJ,ECDH10B_RS04785,1
ECDH10B_0934,artP,218,555,956157,956885,956521,artP,ECDH10B_RS04790,1
ECDH10B_0935,ybjP,85,384,957103,957618,957360,,ECDH10B_RS04795,1
ECDH10B_0936,ybjQ,56,130,957744,958067,957905,,ECDH10B_RS04800,0
ECDH10B_0937,ybjR,143,383,958064,958894,958479,,ECDH10B_RS04805,0
ECDH10B_0938,ybjS,113,211,958891,959904,959397,,ECDH10B_RS04810,1
ECDH10B_0939,ybjT,120,337,960003,961433,960718,,ECDH10B_RS04815,1
ECDH10B_0940,ltaE,310,1019,961444,962445,961944,ltaE,ECDH10B_RS04820,1
ECDH10B_0941,poxB,160,407,962482,964200,963341,poxB,ECDH10B_RS04825,1
ECDH10B_0942,hcr,18,157,964333,965301,964817,hcr,ECDH10B_RS04830,1
ECDH10B_0943,hcp,5,51,965313,966965,966139,hcp,ECDH10B_RS04835,1
ECDH10B_0944,ybjE,66,86,967109,968008,967558,lysO,ECDH10B_RS04840,1
ECDH10B_0945,aqpZ,25,116,968503,969198,968850,aqpZ,ECDH10B_RS04845,1
ECDH10B_0946,ybjD,159,706,969624,971282,970453,,ECDH10B_RS04855,0
ECDH10B_0947,ybjX,325,721,971279,972235,971757,,ECDH10B_RS04860,1
ECDH10B_0948,macA,109,319,972386,973501,972943,macA,ECDH10B_RS04865,0
ECDH10B_0949,macB,86,327,973498,975444,974471,macB,ECDH10B_RS04870,0
ECDH10B_0950,cspD,120,1066,975517,975741,975629,cspD,ECDH10B_RS04875,1
ECDH10B_0951,clpS,114,442,976064,976384,976224,clpS,ECDH10B_RS04880,0
ECDH10B_0952,clpA,2271,14440,976415,978691,977553,clpA,ECDH10B_RS04885,0
ECDH10B_0953,serW,13,28,979035,979122,979078,,ECDH10B_RS04890,1
ECDH10B_0954,infA,1036,2159,979376,979594,979485,infA,ECDH10B_RS04895,1
ECDH10B_0955,aat,70,224,979879,980583,980231,aat,ECDH10B_RS04900,1
ECDH10B_0956,cydC,267,1249,980625,982346,981485,cydC,ECDH10B_RS04905,1
ECDH10B_0957,cydD,405,1227,982347,984113,983230,cydD,ECDH10B_RS04910,1
ECDH10B_0958,trxB,983,2503,984236,985201,984718,trxB,ECDH10B_RS04915,1
ECDH10B_0959,lrp,988,3963,985746,986240,985993,lrp,ECDH10B_RS04920,0
ECDH10B_0960,ftsK,1074,3297,986375,990364,988369,ftsK,ECDH10B_RS04925,0
ECDH10B_0961,lolA,192,650,990523,991134,990828,lolA,ECDH10B_RS04930,0
ECDH10B_0962,ycaJ,199,369,991145,992488,991816,,ECDH10B_RS04935,0
ECDH10B_0963,serS,3341,13353,992579,993871,993225,serS,ECDH10B_RS04940,0
ECDH10B_0964,dmsA,359,4351,994110,996554,995332,dmsA,ECDH10B_RS04945,0
ECDH10B_0965,dmsB,15,463,996565,997182,996873,dmsB,ECDH10B_RS04950,0
ECDH10B_0966,dmsC,35,817,997184,998047,997615,,ECDH10B_RS04955,0
ECDH10B_0967,ycaC,84,314,998082,998708,998395,,ECDH10B_RS04960,1
ECDH10B_0968,ycaD,101,162,999022,1000170,999596,,ECDH10B_RS04965,0
ECDH10B_0969,ycaM,23,64,1000380,1001810,1001095,,ECDH10B_RS04970,0
ECDH10B_0970,ycaN,9,57,1001811,1002719,1002265,,ECDH10B_RS04975,1
ECDH10B_0971,ycaK,4,25,1002819,1003409,1003114,,ECDH10B_RS04980,0
ECDH10B_0972,pflA,347,2557,1003491,1004231,1003861,pflA,ECDH10B_RS04985,1
ECDH10B_0973,pflB,8807,87729,1004423,1006705,1005564,pflB,ECDH10B_RS04990,1
ECDH10B_0974,focA,1184,5462,1006760,1007617,1007188,focA,ECDH10B_RS25915,1
ECDH10B_0975,ycaO,1622,2900,1008023,1009783,1008903,,ECDH10B_RS05000,1
ECDH10B_0976,ycaP,35,96,1009913,1010605,1010259,,ECDH10B_RS05005,0
ECDH10B_0977,serC,1059,4099,1010804,1011892,1011348,serC,ECDH10B_RS05010,0
ECDH10B_0978,aroA,431,774,1011963,1013246,1012604,aroA,ECDH10B_RS05015,0
ECDH10B_0979,ycaL,9,23,1013415,1014179,1013797,,ECDH10B_RS05020,0
ECDH10B_0980,cmk,420,807,1014352,1015035,1014693,cmk,ECDH10B_RS05025,0
ECDH10B_0981,rpsA,33868,59564,1015146,1016819,1015982,rpsA,ECDH10B_RS05030,0
ECDH10B_0982,ihfB,419,2180,1016979,1017263,1017121,ihfB,ECDH10B_RS05035,0
ECDH10B_0983,ycaI,30,89,1017471,1019735,1018603,,ECDH10B_RS05040,0
ECDH10B_0984,msbA,770,1244,1019772,1021520,1020646,msbA,ECDH10B_RS05045,0
ECDH10B_0985,lpxK,205,370,1021517,1022503,1022010,lpxK,ECDH10B_RS05050,0
ECDH10B_0986,ycaQ,68,90,1022540,1023772,1023156,ycaQ,ECDH10B_RS05055,0
ECDH10B_0987,ycaR,13,20,1023824,1024006,1023915,,ECDH10B_RS05060,0
ECDH10B_0988,kdsB,600,2406,1024003,1024749,1024376,kdsB,ECDH10B_RS05065,0
ECDH10B_0989,ycbJ,115,1044,1024903,1025796,1025349,,ECDH10B_RS05070,0
ECDH10B_0990,ycbC,26,103,1025773,1026552,1026162,elyC,ECDH10B_RS05075,1
ECDH10B_0991,smtA,292,517,1026688,1027473,1027080,cmoM,ECDH10B_RS05080,0
ECDH10B_0992,mukF,333,837,1027470,1028792,1028131,mukF,ECDH10B_RS05085,0
ECDH10B_0993,mukE,188,504,1028773,1029477,1029125,mukE,ECDH10B_RS05090,0
ECDH10B_0994,mukB,2017,4729,1029477,1033937,1031707,mukB,ECDH10B_RS05095,0
ECDH10B_0995,ycbB,215,1017,1034198,1036045,1035121,ldtD,ECDH10B_RS05100,0
ECDH10B_0996,ycbK,378,1375,1036226,1036774,1036500,,ECDH10B_RS05105,0
ECDH10B_0997,ycbL,556,1184,1036801,1037448,1037124,gloC,ECDH10B_RS05110,0
ECDH10B_0998,aspC,2489,9380,1037670,1038860,1038265,,ECDH10B_RS05115,1
ECDH10B_0999,ompF,9973,33544,1039045,1040133,1039589,ompF,ECDH10B_RS05125,1
ECDH10B_1000,asnC,2015,4046,1040736,1042136,1041436,asnS,ECDH10B_RS05130,1
ECDH10B_1001,pncB,1006,2410,1042305,1043507,1042906,pncB,ECDH10B_RS05135,1
ECDH10B_1002,pepN,1380,6042,1043773,1046385,1045079,pepN,ECDH10B_RS05140,0
ECDH10B_1003,ssuB,15,26,1046428,1047195,1046811,ssuB,ECDH10B_RS05145,1
ECDH10B_1004,ssuC,3,2,1047192,1047983,1047587,ssuC,ECDH10B_RS05150,1
ECDH10B_1005,ssuD,5,8,1047994,1049139,1048566,ssuD,ECDH10B_RS05155,1
ECDH10B_1006,ssuA,1,2,1049136,1050095,1049615,,ECDH10B_RS05160,1
ECDH10B_1007,ssuE,0,3,1050088,1050663,1050375,ssuE,ECDH10B_RS05165,1
ECDH10B_1008,ycbQ,4,22,1051019,1051558,1051288,,ECDH10B_RS05170,0
ECDH10B_1009,ycbR,0,2,1051641,1052342,1051991,,ECDH10B_RS05175,0
ECDH10B_1010,ycbS,14,17,1052367,1054967,1053667,,ECDH10B_RS05180,0
ECDH10B_1011,ycbT,4,30,1054958,1056028,1055493,,ECDH10B_RS05185,0
ECDH10B_1012,ycbU,0,6,1056040,1056582,1056311,,ECDH10B_RS05190,0
ECDH10B_1013,ycbV,1,2,1056590,1057105,1056847,,ECDH10B_RS05195,0
ECDH10B_1014,ycbF,6,25,1057071,1057808,1057439,,ECDH10B_RS05200,0
ECDH10B_1015,pyrD,177,423,1057919,1058929,1058424,pyrD,ECDH10B_RS05205,0
ECDH10B_1016,ycbW,79,428,1059103,1059645,1059374,zapC,ECDH10B_RS05210,0
ECDH10B_1017,ycbX,186,516,1059642,1060751,1060196,ycbX,ECDH10B_RS05215,1
ECDH10B_1018,rlmL,645,1218,1060995,1063103,1062049,rlmKL,ECDH10B_RS05220,0
ECDH10B_1019,uup,754,1071,1063115,1065022,1064068,,ECDH10B_RS05225,0
ECDH10B_1020,pqiA,154,313,1065152,1066405,1065778,pqiA,ECDH10B_RS05230,0
ECDH10B_1021,pqiB,331,754,1066410,1068050,1067230,pqiB,ECDH10B_RS05235,0
ECDH10B_1022,ymbA,105,261,1068047,1068610,1068328,pqiC,ECDH10B_RS05240,0
ECDH10B_1023,rmf,50,366,1068866,1069033,1068949,rmf,ECDH10B_RS05245,0
ECDH10B_1024,fabA,1751,3145,1069103,1069621,1069362,fabA,ECDH10B_RS05250,1
ECDH10B_1025,ycbZ,632,1321,1069690,1071450,1070570,,ECDH10B_RS05255,1
ECDH10B_1026,ycbG,75,387,1071636,1072088,1071862,matP,ECDH10B_RS05260,0
ECDH10B_1027,ompA,37850,128418,1072164,1073204,1072684,ompA,ECDH10B_RS05265,1
ECDH10B_1028,sulA,84,217,1073561,1074070,1073815,sulA,ECDH10B_RS05275,1
ECDH10B_1029,sxy,23,114,1074289,1074918,1074603,sxy,ECDH10B_RS05280,0
ECDH10B_1030,yccS,191,376,1074881,1077043,1075962,yccS,ECDH10B_RS05285,1
ECDH10B_1031,yccF,43,94,1077053,1077499,1077276,,ECDH10B_RS05290,1
ECDH10B_1032,helD,288,984,1077622,1079676,1078649,helD,ECDH10B_RS05295,0
ECDH10B_1033,mgsA,393,2465,1079708,1080166,1079937,mgsA,ECDH10B_RS05300,1
ECDH10B_1034,yccT,11,39,1080262,1080924,1080593,,ECDH10B_RS05305,1
ECDH10B_1035,yccU,215,609,1081097,1081510,1081303,,ECDH10B_RS05315,0
ECDH10B_1036,hspQ,63,868,1081555,1081872,1081713,hspQ,ECDH10B_RS05320,1
ECDH10B_1037,yccW,346,571,1081930,1083120,1082525,rlmI,ECDH10B_RS05325,1
ECDH10B_1038,yccX,20,80,1083215,1083493,1083354,yccX,ECDH10B_RS05330,0
ECDH10B_1039,yccK,106,181,1083490,1083819,1083654,tusE,ECDH10B_RS05335,1
ECDH10B_1040,yccA,1999,8288,1083910,1084569,1084239,yccA,ECDH10B_RS05340,1
ECDH10B_1041,serT,2,17,1084776,1084863,1084819,,ECDH10B_RS05345,1
ECDH10B_1042,hyaA,3,20,1085290,1086408,1085849,hyaA,ECDH10B_RS05350,0
ECDH10B_1043,hyaB,1,18,1086405,1088198,1087301,hyaB,ECDH10B_RS05355,0
ECDH10B_1044,hyaC,1,3,1088217,1088924,1088570,hyaC,ECDH10B_RS05360,0
ECDH10B_1045,hyaD,1,7,1088921,1089508,1089214,,ECDH10B_RS05365,0
ECDH10B_1046,hyaE,1,3,1089505,1089903,1089704,hyaE,ECDH10B_RS05370,0
ECDH10B_1047,hyaF,3,8,1089900,1090757,1090328,,ECDH10B_RS05375,0
ECDH10B_1048,appC,59,124,1090891,1092435,1091663,appC,ECDH10B_RS05380,0
ECDH10B_1049,appB,48,119,1092447,1093583,1093015,appB,ECDH10B_RS05385,0
ECDH10B_1050,appA,25,145,1093768,1095066,1094417,,ECDH10B_RS05395,0
ECDH10B_1051,etk,41,148,1095181,1097361,1096271,etk,ECDH10B_RS05400,1
ECDH10B_1052,etp,2,7,1097381,1097827,1097604,etp,ECDH10B_RS05405,1
ECDH10B_1053,gfcE,10,19,1097815,1098954,1098384,,ECDH10B_RS05410,1
ECDH10B_1054,gfcD,5,22,1099000,1101096,1100048,,ECDH10B_RS05415,1
ECDH10B_1055,gfcC,0,4,1101096,1101842,1101469,,ECDH10B_RS05420,1
ECDH10B_1056,gfcB,0,3,1101839,1102483,1102161,gfcB,ECDH10B_RS05425,1
ECDH10B_1057,gfcA,16,58,1102590,1102895,1102742,,ECDH10B_RS05430,1
ECDH10B_1059,insB-4,1,9,1102984,1103681,1103332,,ECDH10B_RS05440,0
ECDH10B_1060,cspH,4,21,1104114,1104326,1104220,cspH,ECDH10B_RS05445,1
ECDH10B_1061,cspG,184,734,1104612,1104824,1104718,cspG,ECDH10B_RS05450,0
ECDH10B_1062,ymcE,1,7,1104998,1105228,1105113,ymcE,ECDH10B_RS05455,0
ECDH10B_1063,gnsA,7,20,1105218,1105391,1105304,,ECDH10B_RS05460,0
ECDH10B_1064,yccM,15,96,1105440,1106513,1105976,,ECDH10B_RS05465,1
ECDH10B_1065,torS,25,59,1106585,1109329,1107957,torS,ECDH10B_RS05470,1
ECDH10B_1066,torT,11,75,1109412,1110440,1109926,torT,ECDH10B_RS05475,0
ECDH10B_1067,torR,39,164,1110413,1111105,1110759,torR,ECDH10B_RS05480,1
ECDH10B_1068,torC,2,4,1111235,1112407,1111821,torC,ECDH10B_RS05485,0
ECDH10B_1069,torA,13,41,1112407,1114953,1113680,torA,ECDH10B_RS05490,0
ECDH10B_1070,torD,6,25,1114950,1115549,1115249,torD,ECDH10B_RS05495,0
ECDH10B_1071,cbpM,20,120,1115701,1116006,1115853,cbpM,ECDH10B_RS05500,1
ECDH10B_1072,cbpA,78,445,1116006,1116926,1116466,cbpA,ECDH10B_RS05505,1
ECDH10B_1073,yccE,6,26,1117187,1118443,1117815,,ECDH10B_RS05510,0
ECDH10B_1074,agp,423,2462,1118736,1119977,1119356,agp,ECDH10B_RS05515,0
ECDH10B_1075,yccJ,16,65,1120015,1120242,1120128,,ECDH10B_RS05520,1
ECDH10B_1076,wrbA,138,1000,1120263,1120859,1120561,wrbA,ECDH10B_RS05525,1
ECDH10B_1077,ymdF,16,75,1121232,1121405,1121318,,ECDH10B_RS05535,0
ECDH10B_1078,rutG,11,25,1121662,1122990,1122326,rutG,ECDH10B_RS05540,1
ECDH10B_1079,rutF,0,2,1123011,1123505,1123258,rutF,ECDH10B_RS05545,1
ECDH10B_1080,rutE,0,3,1123516,1124106,1123811,,ECDH10B_RS05550,1
ECDH10B_1081,rutD,0,7,1124116,1124916,1124516,rutD,ECDH10B_RS05555,1
ECDH10B_1082,rutC,0,1,1124924,1125310,1125117,rutC,ECDH10B_RS05560,1
ECDH10B_1083,rutB,0,5,1125322,1126014,1125668,rutB,ECDH10B_RS05565,1
ECDH10B_1084,rutA,0,2,1126014,1127105,1126559,rutA,ECDH10B_RS05570,1
ECDH10B_1085,rutR,107,221,1127393,1128031,1127712,rutR,ECDH10B_RS05575,0
ECDH10B_1086,putA,502,1201,1128071,1132033,1130052,putA,ECDH10B_RS05580,1
ECDH10B_1087,putP,386,435,1132456,1133964,1133210,putP,ECDH10B_RS05590,0
ECDH10B_1089,efeU,60,50,1134507,1135336,1134921,,ECDH10B_RS05600,0
ECDH10B_1091,efeO,163,223,1135394,1136521,1135957,,ECDH10B_RS05605,0
ECDH10B_1092,efeB,111,119,1136527,1137798,1137162,efeB,ECDH10B_RS05610,0
ECDH10B_1093,phoH,62,183,1138143,1139207,1138675,phoH,ECDH10B_RS05620,0
ECDH10B_1094,pgaD,4,25,1139257,1139670,1139463,pgaD,ECDH10B_RS05625,1
ECDH10B_1095,pgaC,5,7,1139672,1140997,1140334,pgaC,ECDH10B_RS05630,1
ECDH10B_1096,pgaB,5,9,1140990,1143008,1141999,pgaB,ECDH10B_RS05635,1
ECDH10B_1097,pgaA,19,80,1143017,1145440,1144228,pgaA,ECDH10B_RS05640,1
ECDH10B_1100,insF-4,2,5,1148762,1149628,1149195,,ECDH10B_RS05665,1
ECDH10B_1101,insE-4,0,2,1149625,1149924,1149774,,ECDH10B_RS26205,1
ECDH10B_1102,ymdE,2,1,1150010,1150333,1150171,,ECDH10B_RS05675,0
ECDH10B_1103,ycdU,3,8,1150330,1151316,1150823,,ECDH10B_RS05680,0
ECDH10B_1104,serX,0,6,1152233,1152320,1152276,,ECDH10B_RS05690,1
ECDH10B_1105,ycdW,115,339,1152554,1153492,1153023,ghrA,ECDH10B_RS05695,0
ECDH10B_1106,ycdX,22,41,1153547,1154284,1153915,,ECDH10B_RS05700,0
ECDH10B_1107,ycdY,21,74,1154308,1154862,1154585,,ECDH10B_RS05705,0
ECDH10B_1108,ycdZ,148,679,1154964,1155455,1155209,,ECDH10B_RS05710,0
ECDH10B_1109,csgG,8,13,1155519,1156352,1155935,csgG,ECDH10B_RS05715,1
ECDH10B_1110,csgF,0,0,1156379,1156795,1156587,csgF,ECDH10B_RS05720,1
ECDH10B_1111,csgE,0,1,1156820,1157209,1157014,csgE,ECDH10B_RS05725,1
ECDH10B_1112,csgD,0,4,1157214,1157864,1157539,csgD,ECDH10B_RS05730,1
ECDH10B_1113,csgB,0,1,1158619,1159074,1158846,csgB,ECDH10B_RS05740,0
ECDH10B_1114,csgA,4,12,1159115,1159570,1159342,,ECDH10B_RS05745,0
ECDH10B_1115,csgC,0,0,1159629,1159961,1159795,csgC,ECDH10B_RS05750,0
ECDH10B_1116,ymdA,0,6,1160082,1160393,1160237,,ECDH10B_RS05755,0
ECDH10B_1117,ymdB,36,140,1160488,1161021,1160754,ymdB,ECDH10B_RS05760,0
ECDH10B_1118,ymdC,49,132,1160963,1162444,1161703,,ECDH10B_RS05765,0
ECDH10B_1119,mdoC,24,55,1162452,1163609,1163030,mdoC,ECDH10B_RS05770,1
ECDH10B_1120,mdoG,927,2993,1164003,1165538,1164770,mdoG,ECDH10B_RS05785,0
ECDH10B_1121,mdoH,1313,2592,1165531,1168074,1166802,mdoH,ECDH10B_RS05790,0
ECDH10B_1122,yceK,5,15,1168247,1168474,1168360,,ECDH10B_RS05795,0
ECDH10B_1123,msyB,81,257,1168475,1168849,1168662,,ECDH10B_RS05800,1
ECDH10B_1124,mdtG,40,147,1168932,1170158,1169545,mdtG,ECDH10B_RS05810,1
ECDH10B_1125,lpxL,195,575,1170330,1171250,1170790,,ECDH10B_RS05815,1
ECDH10B_1126,yceA,221,327,1171475,1172527,1172001,,ECDH10B_RS05820,0
ECDH10B_1127,yceI,46,164,1172569,1173144,1172856,,ECDH10B_RS05825,1
ECDH10B_1128,yceJ,7,21,1173148,1173714,1173431,,ECDH10B_RS05830,1
ECDH10B_1129,yceO,0,1,1173975,1174088,1174031,,ECDH10B_RS05835,1
ECDH10B_1130,solA,231,843,1174136,1175254,1174695,solA,ECDH10B_RS05840,1
ECDH10B_1131,bssS,53,968,1175369,1175623,1175496,bssS,ECDH10B_RS05845,1
ECDH10B_1132,dinI,20,52,1175910,1176155,1176032,dinI,ECDH10B_RS05850,1
ECDH10B_1133,pyrC,307,1142,1176229,1177275,1176752,pyrC,ECDH10B_RS05855,1
ECDH10B_1134,yceB,131,654,1177381,1177941,1177661,,ECDH10B_RS05860,1
ECDH10B_1135,grxB,193,1355,1178075,1178722,1178398,grxB,ECDH10B_RS05865,1
ECDH10B_1136,mdtH,48,150,1178786,1179994,1179390,mdtH,ECDH10B_RS05870,1
ECDH10B_1137,rimJ,105,600,1180230,1180814,1180522,rimJ,ECDH10B_RS05875,0
ECDH10B_1138,yceH,96,419,1180825,1181472,1181148,,ECDH10B_RS05880,0
ECDH10B_1139,mviM,81,401,1181474,1182397,1181935,,ECDH10B_RS05885,0
ECDH10B_1140,yceN,128,312,1182507,1184042,1183274,murJ,ECDH10B_RS05890,0
ECDH10B_1141,flgN,6,31,1184082,1184498,1184290,flgN,ECDH10B_RS05895,1
ECDH10B_1142,flgM,24,54,1184503,1184796,1184649,flgM,ECDH10B_RS05900,1
ECDH10B_1143,flgA,5,15,1184872,1185531,1185201,flgA,ECDH10B_RS05905,1
ECDH10B_1144,flgB,1,3,1185686,1186102,1185894,flgB,ECDH10B_RS05910,0
ECDH10B_1145,flgC,0,3,1186106,1186510,1186308,flgC,ECDH10B_RS05915,0
ECDH10B_1146,flgD,0,7,1186522,1187217,1186869,flgD,ECDH10B_RS05920,0
ECDH10B_1147,flgE,7,18,1187242,1188450,1187846,,ECDH10B_RS05925,0
ECDH10B_1148,flgF,4,10,1188470,1189225,1188847,,ECDH10B_RS05930,0
ECDH10B_1149,flgG,5,12,1189397,1190179,1189788,flgG,ECDH10B_RS05935,0
ECDH10B_1150,flgH,3,3,1190232,1190930,1190581,flgH,ECDH10B_RS05940,0
ECDH10B_1151,flgI,5,4,1190942,1192039,1191490,,ECDH10B_RS05945,0
ECDH10B_1152,flgJ,2,7,1192039,1192980,1192509,flgJ,ECDH10B_RS05950,0
ECDH10B_1153,flgK,7,47,1193046,1194689,1193867,flgK,ECDH10B_RS05955,0
ECDH10B_1154,flgL,9,48,1194701,1195654,1195177,flgL,ECDH10B_RS05960,0
ECDH10B_1155,rne,4061,8842,1195850,1199035,1197442,rne,ECDH10B_RS05965,1
ECDH10B_1157,rluC,264,369,1199608,1200567,1200087,rluC,ECDH10B_RS05975,0
ECDH10B_1158,yceF,150,452,1200679,1201263,1200971,yceF,ECDH10B_RS05980,1
ECDH10B_1160,yceD,1770,3605,1201462,1201983,1201722,yceD,ECDH10B_RS05985,0
ECDH10B_1161,rpmF,290,1126,1202035,1202208,1202121,rpmF,ECDH10B_RS05990,0
ECDH10B_1162,plsX,515,551,1202289,1203359,1202824,plsX,ECDH10B_RS05995,0
ECDH10B_1163,fabH,858,1628,1203427,1204380,1203903,,ECDH10B_RS06000,0
ECDH10B_1164,fabD,1415,3647,1204396,1205325,1204860,fabD,ECDH10B_RS06005,0
ECDH10B_1165,fabG,3625,7530,1205338,1206072,1205705,fabG,ECDH10B_RS06010,0
ECDH10B_1166,acpP,4406,17722,1206283,1206519,1206401,acpP,ECDH10B_RS06015,0
ECDH10B_1167,fabF,4663,11700,1206607,1207848,1207227,fabF,ECDH10B_RS06020,0
ECDH10B_1168,pabC,94,217,1207968,1208777,1208372,pabC,ECDH10B_RS06025,0
ECDH10B_1169,yceG,114,198,1208780,1209802,1209291,yceG,ECDH10B_RS06030,0
ECDH10B_1170,tmk,49,111,1209792,1210433,1210112,,ECDH10B_RS06035,0
ECDH10B_1171,holB,201,250,1210430,1211434,1210932,holB,ECDH10B_RS06040,0
ECDH10B_1172,ycfH,242,549,1211445,1212242,1211843,,ECDH10B_RS06045,0
ECDH10B_1173,ptsG,1392,4562,1212537,1213970,1213253,ptsG,ECDH10B_RS06050,0
ECDH10B_1174,fhuE,104,205,1214030,1216219,1215124,fhuE,ECDH10B_RS06055,1
ECDH10B_1175,hinT,109,440,1216553,1216912,1216732,hinT,ECDH10B_RS06060,0
ECDH10B_1176,ycfL,53,187,1216915,1217292,1217103,,ECDH10B_RS06065,0
ECDH10B_1177,ycfM,190,750,1217306,1217947,1217626,lpoB,ECDH10B_RS06070,0
ECDH10B_1178,thiK,75,153,1217928,1218752,1218340,thiK,ECDH10B_RS06075,0
ECDH10B_1179,nagZ,268,816,1218763,1219788,1219275,nagZ,ECDH10B_RS06080,0
ECDH10B_1180,ycfP,302,1844,1219811,1220353,1220082,,ECDH10B_RS06085,0
ECDH10B_1181,ndh,1081,4080,1220753,1222057,1221405,,ECDH10B_RS06090,0
ECDH10B_1182,ycfJ,75,187,1222267,1222806,1222536,,ECDH10B_RS06095,0
ECDH10B_1183,ycfQ,87,437,1222868,1223500,1223184,comR,ECDH10B_RS06100,1
ECDH10B_1184,ycfR,23,84,1223741,1223998,1223869,bhsA,ECDH10B_RS06105,0
ECDH10B_1185,ycfS,250,669,1224080,1225042,1224561,ldtC,ECDH10B_RS06110,1
ECDH10B_1186,mfd,542,2475,1225186,1228632,1226909,mfd,ECDH10B_RS06115,1
ECDH10B_1187,ycfT,3,7,1228760,1229833,1229296,,ECDH10B_RS06120,1
ECDH10B_1188,lolC,315,643,1230095,1231294,1230694,lolC,ECDH10B_RS06125,0
ECDH10B_1189,lolD,102,280,1231287,1231988,1231637,lolD,ECDH10B_RS06130,0
ECDH10B_1190,lolE,382,628,1231988,1233232,1232610,lolE,ECDH10B_RS06135,0
ECDH10B_1191,nagK,246,633,1233261,1234172,1233716,nagK,ECDH10B_RS06140,0
ECDH10B_1192,cobB,246,696,1234188,1235027,1234607,cobB,ECDH10B_RS06145,0
ECDH10B_1193,ycfZ,5,6,1235147,1235935,1235541,,ECDH10B_RS06150,1
ECDH10B_1194,ymfA,5,7,1235932,1236393,1236162,,ECDH10B_RS06155,1
ECDH10B_1195,potD,882,2585,1236451,1237497,1236974,potD,ECDH10B_RS06160,1
ECDH10B_1196,potC,146,186,1237494,1238288,1237891,potC,ECDH10B_RS06165,1
ECDH10B_1197,potB,100,177,1238285,1239142,1238713,potB,ECDH10B_RS06170,1
