"","locus_tag","gene","lengthnt","start","end","strand","product","Nakamura","Lawrence","hns","conservation"
"688","b0538 -","","561","565195","565755","+","putative sensory","","","1","2"
"689","","","","","","","transduction regulator","","","",""
"690","b0540 -","","309","566056","566364","+","transposase insE for","","1","1","9"
"691","","","","","","","insertion sequence IS3","","","",""
"692","b0541 tra5_2","","867","566361","567227","+","transposase insF for","1","1","1","15"
"693","","","","","","","insertion sequence IS3","","","",""
"694","b0542 -","","138","567333","567470","+","orf, hypothetical protein","1","1","1","5"
"695","b0543 emrE","","333","567538","567870","+","methylviologen","1","1","1","19"
"696","b0544 ybcK","","1527","568125","569651","+","orf, hypothetical protein","1","1","1","8"
"697","b0545 ybcL","","552","570116","570667","+","orf, hypothetical protein","1","1","1","16"
"698","b0546 ybcM","","798","570677","571474","+","putative ARAC-type","1","1","1","15"
"699","","","","","","","regulatory protein","","","",""
"700","b0547 ybcN","","456","571689","572144","+","orf, hypothetical protein","1","1","1","6"
"701","b0548 ninE","","171","572144","572314","+","similar to phage 82 and","1","1","1","4"
"702","","","","","","","lambda proteins","","","",""
"703","b0549 ybcO","","291","572307","572597","+","orf, hypothetical protein","1","1","1","9"
"704","b0550 rus","","363","572594","572956","+","endodeoxyribonuclease","","1","1","7"
"705","","","","","","","RUS (Holliday junction","","","",""
"706","","","","","","","resolvase)","","","",""
"707","b0551 ybcQ","","384","573179","573562","+","orf, hypothetical protein","1","1","1","15"
"708","b0552 trs5_2","","1017","573960","574976","-","IS5 transposase","1","1","1","2"
"709","b0553 nmpC","","1128","574981","576108","-","outer membrane porin","","1","1","21"
"710","","","","","","","protein; locus of qsr","","","",""
"711","","","","","","","prophage","","","",""
"712","b0554 ybcR","","216","576621","576836","+","orf, hypothetical protein","","1","1","10"
"713","b0555 ybcS","","498","576836","577333","+","bacteriophage lambda","1","1","1","19"
"714","","","","","","","lysozyme homolog","","","",""
"715","b0556","ybcT","462","577330","577791","+","bacteriophage lambda","","1","1","15"
"716","","","","","","","endopeptidase homolog","","","",""
"717","b0557","ybcU","294","577823","578116","-","bacteriophage lambda","1","1","1","6"
"718","","","","","","","Bor protein homolog","","","",""
"719","b0558","ybcV","453","578407","578859","-","putative an envelop","1","1","1","11"
"720","","","","","","","protein","","","",""
"721","b0559","ybcW","207","579103","579309","+","orf, hypothetical protein","1","1","1","4"
"722","b0560","nohB","546","580057","580602","+","bacteriophage DNA","","1","1","8"
"723","","","","","","","packaging protein","","","",""
"724","b0561","ybcX","744","580577","581320","+","orf, hypothetical protein","1","1","1","11"
"725","b0562","ybcY","585","581375","581959","-","orf, hypothetical protein","1","1","1","17"
"726","b0563","ylcE","186","582098","582283","+","orf, hypothetical protein","","","1","16"
"727","b0564","appY","750","582904","583653","+","regulatory protein","1","1","1","2"
"728","","","","","","","affecting appA and","","","",""
"729","b0565","ompT","954","583903","584856","-","outer membrane protein","1","1","1","18"
"730","","","","","","","3b (a), protease VII","","","",""
"731","b0566","envY","762","585370","586131","-","envelope protein;","1","1","","7"
"732","","","","","","","thermoregulation of","","","",""
"733","","","","","","","porin biosynthesis","","","",""
"734","b0567","ybcH","891","586314","587204","-","orf, hypothetical protein","","","","9"
"735","b0568","nfrA","2973","587205","590177","-","bacteriophage N4","","","","6"
"736","","","","","","","receptor, outer","","","",""
"737","","","","","","","membrane protein","","","",""
"738","b0569","nfrB","2238","590164","592401","-","bacteriophage N4","","","","7"
"739","","","","","","","receptor, subunit, inner","","","",""
"740","","","","","","","membrane protein","","","",""
"741","b0570","cusS","1443","592551","593993","-","sensor kinase of copper","","","","19"
"742","","","","","","","sensing two-component","","","",""
"743","","","","","","","system","","","",""
"744","b0571","cusR","684","593983","594666","-","response regulator of","","","","20"
"745","","","","","","","copper sensing system","","","",""
"746","b0572","cusC","1374","594823","596196","+","putative outer","","","","16"
"747","","","","","","","membrane protein","","","",""
"748","","","","","","","involved in copper","","","",""
"749","b0573","ylcC","333","596354","596686","+","orf, hypothetical protein","","","","9"
"750","b0574","cusB","1224","596702","597925","+","possible component of","","","","8"
"751","","","","","","","copper transport","","","",""
"752","b0575","cusA","3144","597937","601080","+","putative copper","","","","11"
"753","","","","","","","transport protein","","","",""
"754","b0576","pheP","1377","601182","602558","+","phenylalanine-specific","","","","15"
"755","","","","","","","transport system","","","",""
"756","b0577","ybdG","1248","602639","603886","-","putative transport","","","","20"
"757","b0578","nfnB","654","603994","604647","-","oxygen-insensitive","","","","14"
"758","","","","","","","NAD(P)H","","","",""
"759","b0579","ybdF","369","604741","605109","-","orf, hypothetical protein","1","","","16"
"760","b0580","ybdJ","249","605174","605422","-","orf, hypothetical protein","","","","14"
"761","b0581","ybdK","1119","605488","606606","-","orf, hypothetical protein","","","","15"
"762","b4415","hokE","153","607059","607211","+","small toxic membrane","","","","5"
"763","","","","","","","polypeptide","","","",""
"764","b0582","yi81_2","1113","607288","608400","+","IS186 hypothetical","1","1","","5"
"765","b0583","entD","630","608682","609311","-","enterochelin","1","","","21"
"766","","","","","","","synthetase, component","","","",""
"767","b0584","fepA","2241","609477","611717","-","outer membrane","","","","16"
"768","","","","","","","receptor for ferric","","","",""
"769","","","","","","","enterobactin","","","",""
"770","","","","","","","(enterochelin) and","","","",""
"771","b0585","fes","1125","612038","613162","+","enterochelin esterase","","","","16"
"772","b0586","entF","3882","613380","617261","+","ATP-dependent serine","","","","21"
"773","","","","","","","activating enzyme (may","","","",""
"774","","","","","","","be part of enterobactin","","","",""
"775","","","","","","","synthase as component","","","",""
"776","","","","","","","F)","","","",""
"777","b0587","fepE","1134","617477","618610","+","ferric enterobactin","1","","1","16"
"778","","","","","","","(enterochelin) transport","","","",""
"779","b0588","fepC","816","618607","619422","-","ATP-binding","","","","21"
"780","","","","","","","component of ferric","","","",""
"781","","","","","","","enterobactin transport","","","",""
"782","b0589","fepG","993","619419","620411","-","ferric enterobactin","","","","21"
"783","","","","","","","transport protein","","","",""
"784","b0590","fepD","1005","620408","621412","-","ferric enterobactin","","","","20"
"785","","","","","","","(enterochelin) transport","","","",""
"786","b0591","ybdA","1251","621523","622773","+","putative transport","","","","16"
"787","b0592","fepB","957","622777","623733","-","ferric enterobactin","","","","19"
"788","","","","","","","(enterochelin) binding","","","",""
"789","","","","","","","protein; periplasmic","","","",""
"790","","","","","","","component","","","",""
"791","b0593","entC","1176","624108","625283","+","isochorismate","","","","14"
"792","","","","","","","hydroxymutase 2,","","","",""
"793","","","","","","","enterochelin","","","",""
"794","b0594","entE","1611","625293","626903","+","2,3-dihydroxybenzoate-","","","","21"
"795","","","","","","","AMP ligase","","","",""
"796","b0595","entB","858","626917","627774","+","2,3-dihydro-2,3-","","","","17"
"797","","","","","","","dihydroxybenzoate","","","",""
"798","","","","","","","synthetase,","","","",""
"799","","","","","","","isochroismatase","","","",""
"800","b0596","entA","747","627774","628520","+","2,3-dihydro-2,3-","","","","17"
"801","","","","","","","dihydroxybenzoate","","","",""
"802","","","","","","","dehydrogenase,","","","",""
"803","","","","","","","enterochelin","","","",""
"804","b0597","ybdB","414","628523","628936","+","orf, hypothetical protein","","","","15"
"805","b0598","cstA","2106","629117","631222","+","carbon starvation","","","","20"
"806","b0599","ybdH","1089","631612","632700","-","putative oxidoreductase","","","","20"
"807","b0600","ybdL","1161","632809","633969","+","putative","","","","16"
"808","b0601","ybdM","630","633970","634599","-","orf, hypothetical protein","","","","15"
"809","b0602","ybdN","1221","634572","635792","-","orf, hypothetical protein","1","","1","12"
"810","b0603","ybdO","903","635939","636841","-","putative transcriptional","1","1","1","11"
"811","","","","","","","regulator LYSR-type","","","",""
"812","b0604","dsbG","807","637050","637856","-","thiol:disulfide","","","","14"
"813","","","","","","","interchange protein","","","",""
"814","b0605","ahpC","564","638168","638731","+","alkyl hydroperoxide","","","","16"
"815","","","","","","","reductase, C22 subunit;","","","",""
"816","","","","","","","detoxification of","","","",""
"817","","","","","","","hydroperoxides","","","",""
"818","b0606","ahpF","1596","638946","640541","+","alkyl hydroperoxide","","","","16"
"819","","","","","","","reductase, F52a","","","",""
"820","","","","","","","subunit; detoxification","","","",""
"821","","","","","","","of hydroperoxides","","","",""
"822","b0607","ybdQ","429","640662","641090","-","orf, hypothetical protein","","","","17"
"823","b0608","ybdR","1239","641311","642549","+","putative oxidoreductase","1","","","11"
"824","b0610","rnk","411","642780","643190","-","regulator of nucleoside","","","","20"
"825","","","","","","","diphosphate kinase","","","",""
"826","b0611","rna","807","643420","644226","-","RNase I, cleaves","1","","","13"
"827","","","","","","","phosphodiester bond","","","",""
"828","","","","","","","between any two","","","",""
"829","","","","","","","nucleotides","","","",""
"830","b0612","citT","1464","644340","645803","-","citrate carrier","","","","12"
"831","b0613","citG","879","645854","646732","-","orf, hypothetical protein","","","","14"
"832","b0614","ybdU","552","646707","647258","-","orf, hypothetical protein","","","","14"
"833","b0615","citF","1533","647262","648794","-","citrate lyase alpha","","","","14"
"834","b0616","citE","924","648805","649728","-","citrate lyase beta chain","","","","19"
"835","","","","","","","(acyl lyase subunit)","","","",""
"836","b0617","citD","297","649710","650006","-","citrate lyase acyl carrier","","","","13"
"837","","","","","","","protein (gamma chain)","","","",""
"838","b0618","citC","1146","650021","651166","-","citrate lyase synthetase","","","1","14"
"839","","","","","","","(citrate (pro-3S)-lyase","","","",""
"840","","","","","","","ligase","","","",""
"841","b0619","citA","1659","651458","653116","+","putative sensor-type","","","1","12"
"842","","","","","","","protein","","","",""
"843","b0620","citB","681","653085","653765","+","sequence similarity to","","","","13"
"844","","","","","","","Shigella regulator","","","",""
"845","b0621","dcuC","1386","653806","655191","-","transport of","","","1","15"
"846","b0622","crcA","561","655780","656340","+","orf, hypothetical protein","1","","1","20"
"847","b0623","cspE","210","656515","656724","+","cold shock protein","","","1","21"
"848","b0624","crcB","384","656778","657161","-","orf, hypothetical protein","1","","","21"
"849","b0625","ybeH","228","657254","657481","+","orf, hypothetical protein","","","","14"
"850","b0626","ybeM","564","657478","658041","+","putative amidase","","","","19"
"851","b0627","tatE","204","658170","658373","+","component of Sec-","","","","20"
"852","","","","","","","independent","","","",""
"853","b0628","lipA","966","658474","659439","-","lipoate synthesis, sulfur","","","","21"
"854","","","","","","","insertion?","","","",""
"855","b0629","ybeF","801","659648","660448","-","putative transcriptional","1","","1","14"
"856","","","","","","","regulator LYSR-type","","","",""
"857","b0630","lipB","576","660860","661435","-","protein of lipoate","1","","","21"
"858","","","","","","","biosynthesis","","","",""
"859","b0631","ybeD","264","661602","661865","-","orf, hypothetical protein","","","","21"
"860","b0632 dacA","","1212","661975","663186","-","D-alanyl-D-alanine","","","","21"
"861","","","","","","","carboxypeptidase,","","","",""
"862","","","","","","","fraction A; penicillin-","","","",""
"863","","","","","","","binding protein 5","","","",""
"864","b0633 rlpA","","1089","663325","664413","-","a minor lipoprotein","","","","21"
"865","b0634 mrdB","","1113","664424","665536","-","rod shape-determining","","","","21"
"866","","","","","","","membrane protein;","","","",""
"867","","","","","","","sensitivity to radiation","","","",""
"868","","","","","","","and drugs","","","",""
"869","b0635 mrdA","","1902","665539","667440","-","cell elongation, e","","","","21"
"870","","","","","","","phase; peptidoglycan","","","",""
"871","","","","","","","synthetase; penicillin-","","","",""
"872","b0636 ybeA","","468","667471","667938","-","orf, hypothetical protein","","","","21"
"873","b0637 ybeB","","210","667942","668151","-","orf, hypothetical protein","","","","21"
"874","b0638 phpB","","612","668519","669130","-","homolog of Salmonella","","","","14"
"875","","","","","","","cobC, a","","","",""
"876","","","","","","","phosphohistidine","","","",""
"877","b0639 nadD","","642","669154","669795","-","NAMN","","","","21"
"878","b0640 holA","","1032","669797","670828","-","DNA polymerase III,","","","","21"
"879","","","","","","","delta subunit","","","",""
"880","b0641 rlpB","","582","670828","671409","-","a minor lipoprotein","","","","21"
"881","b0642 leuS","","2583","671424","674006","-","leucine tRNA","","","","21"
"882","b0643 ybeL","","483","674241","674723","+","putative alpha helical","","","","20"
"883","","","","","","","protein","","","",""
"884","b0644 ybeQ","","984","674793","675776","-","orf, hypothetical protein","1","","1","21"
"885","b0645 ybeR","","708","675934","676641","+","orf, hypothetical protein","1","1","1","10"
"886","b0646 ybeS","","1428","676638","678065","+","putative enzyme of","1","1","1","10"
"887","","","","","","","polynucleotide","","","",""
"888","","","","","","","modification","","","",""
"889","b0647 ybeT","","555","678075","678629","-","orf, hypothetical protein","1","1","1","21"
"890","b0648 ybeU","","708","678731","679438","+","putative tRNA ligase","1","","1","9"
"891","b0649 ybeV","","1452","679435","680886","+","orf, hypothetical protein","","","","10"
"892","b0650 hscC","","1671","680946","682616","-","chaperone protein","","","1","9"
"893","b0651 rihA","","936","682700","683635","-","pyrimidine specific","","","","16"
"894","","","","","","","nucleoside hydrolase","","","",""
"895","b0652 gltL","","726","683753","684478","-","ATP-binding protein of","","","","20"
"896","","","","","","","glutamate/aspartate","","","",""
"897","","","","","","","transport system","","","",""
"898","b0653 gltK","","675","684478","685152","-","glutamate/aspartate","","","","21"
"899","","","","","","","transport system","","","",""
"900","","","","","","","permease","","","",""
"901","b0654 gltJ","","741","685152","685892","-","glutamate/aspartate","","","","20"
"902","","","","","","","transport system","","","",""
"903","","","","","","","permease","","","",""
"904","b0655 gltI","","909","686062","686970","-","glutamate/aspartate","","","","21"
"905","","","","","","","periplasmic binding","","","",""
"906","","","","","","","protein","","","",""
"907","b0656 trs5_3","","1017","687220","688236","-","IS5 transposase","1","1","","2"
"908","b0657 lnt","","1539","688566","690104","-","apolipoprotein N-","","","","21"
"909","","","","","","","acyltransferase, copper","","","",""
"910","","","","","","","homeostasis protein,","","","",""
"911","","","","","","","inner membrane","","","",""
"912","b0658 ybeX","","879","690129","691007","-","putative transport","","","","21"
"913","b0659 ybeY","","468","691097","691564","-","orf, hypothetical protein","","","","21"
"914","b0660 ybeZ","","1080","691561","692640","-","putative ATP-binding","","","","21"
"915","","","","","","","protein in pho regulon","","","",""
"916","b0661 yleA","","1425","692754","694178","-","orf, hypothetical protein","","","","21"
"917","b0662 ubiF","","1176","694324","695499","+","2-octoprenyl-3-methyl-","","","","21"
"918","","","","","","","6-methoxy-1,4-","","","",""
"919","","","","","","","benzoquinone","","","",""
"920","","","","","","","hydroxylase","","","",""
"921","tRNA-Gln1tRNA-Gln","","75","695653","695727","-","tRNA-Gln","","","",""
"922","tRNA-Gln2tRNA-Gln","","75","695765","695839","-","tRNA-Gln","","","",""
"923","tRNA-Met1tRNA-Met","","77","695887","695963","-","tRNA-Met","","","",""
"924","tRNA-Gln3tRNA-Gln","","75","695979","696053","-","tRNA-Gln","","","",""
"925","tRNA-Gln3tRNA-Gln","","75","696088","696162","-","tRNA-Gln","","","",""
"926","tRNA-Leu tRNA-Leu","","85","696186","696270","-","tRNA-Leu","","","",""
"927","tRNA-Met tRNA-Met","","77","696280","696356","-","tRNA-Met","","","",""
"928","b0674 asnB","","1665","696736","698400","-","asparagine synthetase","","","","20"
"929","b0675 nagD","","753","698797","699549","-","N-acetylglucosamine","","","","16"
"930","b0676","nagC","1221","699597","700817","-","transcriptional","","","","21"
"931","","","","","","","repressor of nag (N-","","","",""
"932","","","","","","","acetylglucosamine)","","","",""
"933","","","","","","","operon","","","",""
"934","b0677","nagA","1149","700826","701974","-","N-acetylglucosamine-6-","","","","21"
"935","","","","","","","phosphate deacetylase","","","",""
"936","b0678","nagB","801","702034","702834","-","glucosamine-6-","","","","21"
"937","","","","","","","phosphate deaminase","","","",""
"938","b0679","nagE","1947","703167","705113","+","PTS system, N-","","","","21"
"939","","","","","","","acetylglucosamine-","","","",""
"940","","","","","","","specific enzyme IIABC","","","",""
"941","b0680","glnS","1665","705316","706980","+","glutamine tRNA","","","","21"
"942","","","","","","","synthetase","","","",""
"943","b0681","ybfM","1407","707557","708963","+","orf, hypothetical protein","","","1","18"
"944","b0682","ybfN","327","709013","709339","+","orf, hypothetical protein","","","","14"
"945","b0683","fur","447","709423","709869","-","negative regulator","1","","","21"
"946","b0684","fldA","531","710158","710688","-","flavodoxin 1","","","","21"
"947","b0685","ybfE","363","710828","711190","-","orf, hypothetical protein","","","","21"
"948","b0686","ybfF","765","711261","712025","-","orf, hypothetical protein","","","","21"
"949","b0687","seqA","546","712210","712755","+","negative modulator of","1","","","21"
"950","","","","","","","initiation of replication","","","",""
"951","b0688","pgm","1641","712781","714421","+","phosphoglucomutase","","","","21"
"952","b0689","ybfP","495","714635","715129","+","putative pectinase","1","1","1","3"
"953","b0690","ybfG","363","715170","715532","-","orf, hypothetical protein","1","1","1","3"
"954","b0691","ybfH","318","715611","715928","-","orf, hypothetical protein","1","1","1","2"
"955","b0692","potE","1320","716169","717488","-","putrescine transport","","","","13"
"956","","","","","","","protein","","","",""
"957","b0693","speF","2199","717485","719683","-","ornithine decarboxylase","","","1","10"
"958","","","","","","","isozyme, inducible","","","",""
"959","b0694","kdpE","678","720279","720956","-","regulator of kdp operon","","","","19"
"960","","","","","","","(transcriptional effector)","","","",""
"961","b0695","kdpD","2685","720953","723637","-","sensor for high-affinity","","","","18"
"962","","","","","","","potassium transport","","","",""
"963","","","","","","","system","","","",""
"964","b0696","kdpC","573","723630","724202","-","high-affinity potassium","","","","19"
"965","","","","","","","transport system","","","",""
"966","b0697","kdpB","2049","724211","726259","-","ATPase of high-affinity","","","","18"
"967","","","","","","","potassium transport","","","",""
"968","","","","","","","system, B chain","","","",""
"969","b0698","kdpA","1674","726282","727955","-","ATPase of high-affinity","","","","20"
"970","","","","","","","potassium transport","","","",""
"971","","","","","","","system, A chain","","","",""
"972","b0699","ybfA","207","728357","728563","+","orf, hypothetical protein","","","1","20"
"973","b0700","rhsC","4194","728806","732999","+","rhsC protein in rhs","1","1","","18"
"974","","","","","","","element","","","",""
"975","b0702","ybfB","327","732999","733325","+","orf, hypothetical protein","1","1","1","3"
"976","b0703","ybfO","1434","733443","734876","+","orf, hypothetical protein","1","1","1",""
"977","b0704","ybfC","570","734873","735442","+","orf, hypothetical protein","1","1","1","4"
"978","b0705","ybfL","858","736327","737184","+","putative receptor","","","1","7"
"979","b0706","ybfD","762","737315","738076","+","putative DNA ligase","1","1","1","7"
"980","b0707","ybgA","510","738224","738733","+","orf, hypothetical protein","","","1","20"
"981","b0708","phrB","1419","738730","740148","+","deoxyribodipyrimidine","","","","20"
"982","","","","","","","photolyase","","","",""
"983","","","","","","","(photoreactivation)","","","",""
"984","b0709","ybgH","1482","740298","741779","-","putative transport","","","","14"
"985","b0710","ybgI","744","742050","742793","+","orf, hypothetical protein","","","","21"
"986","b0711","ybgJ","657","742816","743472","+","putative carboxylase","","","","19"
"987","b0712","ybgK","933","743466","744398","+","putative carboxylase","","","","19"
"988","b0713","ybgL","735","744388","745122","+","putative lactam","","","","21"
"989","","","","","","","utilization protein","","","",""
"990","b0714","nei","792","745158","745949","+","endonuclease VIII and","","","","16"
"991","","","","","","","DNA N-glycosylase with","","","",""
"992","","","","","","","an AP lyase activity","","","",""
"993","b0715","abrB","1092","745946","747037","-","putative transport","","","","16"
"994","b0716","ybgO","1089","747144","748232","-","orf, hypothetical protein","1","","","17"
"995","b0717","ybgP","729","748202","748930","-","putative chaperone","","","","12"
"996","b0718","ybgQ","2457","748945","751401","-","putative outer","","","1","15"
"997","","","","","","","membrane protein","","","",""
"998","b0719","ybgD","567","751452","752018","-","putative fimbrial-like","1","1","1","19"
"999","","","","","","","protein","","","",""
"1000","b0720","gltA","1284","752408","753691","-","citrate synthase","","","1","21"
"1001","b0721","sdhC","390","754400","754789","+","succinate","1","","","21"
"1002","","","","","","","dehydrogenase,","","","",""
"1003","b0756","galM","1041","787020","788060","-","galactose-1-epimerase","","","","18"
"1004","","","","","","","(mutarotase)","","","",""
"1005","b0757","galK","1149","788054","789202","-","galactokinase","","","","21"
"1006","b0758","galT","1047","789206","790252","-","galactose-1-phosphate","","","","21"
"1007","","","","","","","uridylyltransferase","","","",""
"1008","b0759","galE","1017","790262","791278","-","UDP-galactose-4-","","","","21"
"1009","","","","","","","epimerase","","","",""
"1010","b0760","modF","1473","791539","793011","-","ATP-binding","","","","21"
"1011","","","","","","","component of","","","",""
"1012","","","","","","","molybdate transport","","","",""
"1013","b0761","modE","789","793079","793867","-","molybdate uptake","","","","21"
"1014","","","","","","","regulatory protein","","","",""
"1015","b0762","ybhT","150","793996","794145","+","orf, hypothetical protein","","1","","20"
"1016","b0763","modA","774","794312","795085","+","molybdate-binding","","","","21"
"1017","","","","","","","periplasmic protein;","","","",""
"1018","","","","","","","permease","","","",""
"1019","b0764","modB","690","795085","795774","+","molybdate transport","","","","21"
"1020","","","","","","","permease protein","","","",""
"1021","b0765","modC","1059","795777","796835","+","ATP-binding","","","","21"
"1022","","","","","","","component of","","","",""
"1023","b0766","ybhA","819","796836","797654","-","putative phosphatase","","","","19"
"1024","b0767","ybhE","996","797809","798804","+","putative isomerase","","","","21"
"1025","b0768","ybhD","1017","798845","799861","-","putative transcriptional","1","","1","8"
"1026","","","","","","","regulator LYSR-type","","","",""
"1027","b0769","ybhH","1053","799982","801034","+","orf, hypothetical protein","","1","1","7"
"1028","b0770","ybhI","1434","801110","802543","+","putative membrane","","","1","17"
"1029","","","","","","","pump protein","","","",""
"1030","b0771","ybhJ","2286","802702","804987","+","putative enzyme","","","1","9"
"1031","b0772","ybhC","1284","805221","806504","-","putative pectinesterase","","","","19"
"1032","b0773","ybhB","477","806656","807132","-","orf, hypothetical protein","","","","16"
"1033","b0774","bioA","1290","807191","808480","-","7,8-diaminopelargonic","","","","21"
"1034","","","","","","","acid synthetase","","","",""
"1035","b0775","bioB","1041","808567","809607","+","biotin synthesis, sulfur","","","","21"
"1036","","","","","","","insertion?","","","",""
"1037","b0776","bioF","1155","809604","810758","+","8-amino-7-","","","","21"
"1038","","","","","","","oxononanoate synthase","","","",""
"1039","b0777","bioC","756","810745","811500","+","biotin biosynthesis;","","","","21"
"1040","","","","","","","reaction prior to","","","",""
"1041","","","","","","","pimeloyl CoA","","","",""
"1042","b0778","bioD","678","811493","812170","+","dethiobiotin synthetase","","","","21"
"1043","b0779","uvrB","2022","812749","814770","+","DNA repair; excision","","","","21"
"1044","","","","","","","nuclease subunit B","","","",""
"1045","b0780","ybhK","909","814962","815870","-","putative structural","","","","21"
"1046","b0781","moaA","990","816267","817256","+","molybdopterin","","","","21"
"1047","","","","","","","biosynthesis, protein A","","","",""
"1048","b0782","moaB","513","817278","817790","+","molybdopterin","","","","16"
"1049","","","","","","","biosynthesis, protein B","","","",""
"1050","b0783","moaC","486","817793","818278","+","molybdopterin","","","","21"
"1051","","","","","","","biosynthesis, protein C","","","",""
"1052","b0784","moaD","246","818271","818516","+","molybdopterin","","","","21"
"1053","","","","","","","biosynthesis","","","",""
"1054","b0785","moaE","453","818518","818970","+","molybdopterin","","","","21"
"1055","","","","","","","converting factor,","","","",""
"1056","b0786","ybhL","705","819107","819811","+","orf, hypothetical protein","","1","","19"
"1057","b0787","ybhM","714","820016","820729","+","orf, hypothetical protein","1","1","1","13"
"1058","b0788","ybhN","957","820765","821721","-","orf, hypothetical protein","","","","14"
"1059","b0789","ybhO","1242","821721","822962","-","cardiolipin synthase","","","","14"
"1060","","","","","","","activity","","","",""
"1061","b0790","ybhP","762","822959","823720","-","orf, hypothetical protein","","","","14"
"1062","b0791","ybhQ","411","823853","824263","+","orf, hypothetical protein","","","","15"
"1063","b0792","ybhR","1107","824225","825331","-","orf, hypothetical protein","","1","","19"
"1064","b0793","ybhS","1134","825342","826475","-","orf, hypothetical protein","","1","","19"
"1065","b0794","ybhF","1752","826468","828219","-","putative ATP-binding","","1","","18"
"1066","","","","","","","component of a","","","",""
"1067","","","","","","","transport system","","","",""
"1068","b0795","ybhG","999","828197","829195","-","putative membrane","","","","19"
"1069","","","","","","","protein","","","",""
"1070","b0796","ybiH","684","829195","829878","-","putative transcriptional","1","","","19"
"1071","","","","","","","regulator","","","",""
"1072","b0797","rhlE","1365","830095","831459","+","putative ATP-","","","","19"
"1073","","","","","","","dependent RNA","","","",""
"1074","b0798","ybiA","483","831691","832173","-","orf, hypothetical protein","","","","7"
"1075","b0799","dinG","2151","832293","834443","+","probably ATP-","","","","19"
"1076","","","","","","","dependent helicase","","","",""
"1077","b0800","ybiB","963","834471","835433","+","putative enzyme","","","","18"
"1078","b0801","ybiC","1086","835574","836659","+","putative dehydrogenase","","","","16"
"1079","b0802","ybiJ","261","836888","837148","-","orf, hypothetical protein","","","","21"
"1080","b0803","ybiI","267","837413","837679","-","orf, hypothetical protein","","","","20"
"1081","b0804","ybiX","714","837753","838466","-","putative enzyme","","","","10"
"1082","b0805","ybiL","2283","838472","840754","-","putative outer","","","","6"
"1083","","","","","","","membrane receptor for","","","",""
"1084","b0806","ybiM","405","841019","841423","-","orf, hypothetical protein","1","","","21"
"1085","b0807","ybiN","1008","841474","842481","+","orf, hypothetical protein","","","","17"
"1086","b0808","ybiO","2361","842478","844838","-","putative transport","","","","13"
"1087","b0809","glnQ","723","844964","845686","-","ATP-binding","","","","20"
"1088","","","","","","","component of glutamine","","","",""
"1089","","","","","","","high-affinity transport","","","",""
"1090","b0810","glnP","660","845683","846342","-","glutamine high-affinity","","","","20"
"1091","","","","","","","transport system;","","","",""
"1092","","","","","","","membrane component","","","",""
"1093","b0811","glnH","747","846481","847227","-","periplasmic glutamine-","","","","20"
"1094","","","","","","","binding protein;","","","",""
"1095","b0812","dps","504","847631","848134","-","global regulator,","","","1","20"
"1096","","","","","","","starvation conditions","","","",""
"1097","b0813","ybiF","888","848433","849320","-","putative","","","1","19"
"1098","","","","","","","transmembrane subunit","","","",""
"1099","b0814","ompX","516","849673","850188","+","outer membrane protein","","","","20"
"1100","b0815","ybiP","1584","850237","851820","-","putative enzyme","","","","16"
"1101","b0816","-","270","851894","852163","+","orf, hypothetical protein","1","","","2"
"1102","b0817","mntR","468","852406","852873","+","transcriptional regulator","","","","15"
"1103","","","","","","","MntR","","","",""
"1104","b0818","ybiR","1119","852870","853988","+","orf, hypothetical protein","","","","15"
"1105","b0819","ybiS","921","854047","854967","-","orf, hypothetical protein","","","","16"
"1106","b0820","ybiT","1593","855186","856778","+","putative ATP-binding","","","","21"
"1107","","","","","","","component of a","","","",""
"1108","","","","","","","transport system","","","",""
"1109","b0821","ybiU","1266","857019","858284","-","orf, hypothetical protein","","","","18"
"1110","b0822","ybiV","816","858436","859251","-","orf, hypothetical protein","","","","16"
"1111","b0823","ybiW","2433","859397","861829","-","putative formate","","","","16"
"1112","","","","","","","acetyltransferase 3","","","",""
"1113","b0824","ybiY","927","861835","862761","-","putative pyruvate","","","","16"
"1114","","","","","","","formate-lyase 3","","","",""
"1115","b0825","fsa","735","862793","863527","+","fructose-6-phosphate","","","","20"
"1116","","","","","","","aldolase","","","",""
"1117","b0826","moeB","750","863603","864352","-","molybdopterin","","","","21"
"1118","","","","","","","biosynthesis","","","",""
"1119","b0827","moeA","1236","864352","865587","-","molybdopterin","","","","21"
"1120","","","","","","","biosynthesis","","","",""
"1121","b0828","ybiK","966","865791","866756","+","putative asparaginase","","","","16"
"1122","b0829","yliA","1839","866776","868614","+","putative ATP-binding","","","","16"
"1123","","","","","","","component of a","","","",""
"1124","","","","","","","transport system","","","",""
"1125","b0830","yliB","1539","868634","870172","+","putative transport","","","","16"
"1126","b0831","yliC","921","870190","871110","+","putative transport","","","","16"
"1127","","","","","","","system permease","","","",""
"1128","b0832","yliD","912","871113","872024","+","putative transport","","","","16"
"1129","","","","","","","system permease","","","",""
"1130","b0833","yliE","2349","872202","874550","+","orf, hypothetical protein","1","1","1","6"
"1131","b0834","yliF","1329","874558","875886","+","orf, hypothetical protein","1","1","1","9"
"1132","b0835","yliG","1326","875933","877258","-","orf, hypothetical protein","","","","15"
"1133","b0836","yliH","384","877471","877854","+","putative receptor","1","","","13"
