Gene name,Coordinates,,Orientation,Description
yccE,1063259,1064515,+,Function unknown
agp,1064808,1066049,+,"Periplasmic glucose-1-phosphatase, acidic"
yccJ,1066087,1066314,-,Function unknown
wrbA,1066335,1066931,-,Affects association between Trp repressor and operators in stationary phase
ymdF,1067304,1067477,+,Function unknown
ycdG,1067734,1069062,-,Function unknown
ycdH,1069083,1069577,-,Function unknown
ycdI,1069588,1070178,-,Function unknown
ycdJ,1070188,1070988,-,Function unknown
ycdK,1070996,1071382,-,Function unknown
ycdL,1071394,1072086,-,Function unknown
ycdM,1072086,1073234,-,Function unknown
ycdC,1073465,1074103,+,Function unknown
putA,1074143,1078105,-,Proline dehydrogenase
putP,1078528,1080036,+,"Proline/Na+, Li+ symport protein"
ycdN,1080579,1081408,+,Function unknown
ycdO,1081466,1082593,+,Function unknown
ycdB,1082599,1083870,+,Function unknown
phoH,1084215,1085279,+,"Member of pho regulon, P starvation induced"
ycdP,1085329,1085742,-,Function unknown
ycdQ,1085744,1087069,-,Function unknown
ycdR,1087062,1089080,-,Function unknown
ycdS,1089089,1091512,-,Function unknown
ycdT,1092099,1093457,+,Function unknown
ymdE,1094728,1095069,+,Function unknown
ycdU,1095066,1096052,+,Function unknown
serX,1096788,1096875,-,Serine tRNA5
ycdW,1097070,1098047,+,Function unknown
ycdX,1098102,1098839,+,Function unknown
ycdY,1098863,1099417,+,Function unknown
ycdZ,1099519,1100010,+,Function unknown
csgG,1100074,1100907,-,Possible assembly or transport protein for curli; novel lipoprotein
csgF,1100934,1101350,-,Possible assembly or transport protein for curli
csgE,1101375,1101764,-,Possible secretion or assembly protein for bacterial fibers
csgD,1101769,1102419,-,csgD insertions eliminate sigma S-dependent transcription from csgBA promoter
csgB,1103174,1103629,+,"Curlin nucleator protein, homology with major curlin, CsgA"
csgA,1103670,1104125,+,"Curlin, sigma S (stationary phase) dependent, cryptic"
csgC,1104184,1104516,+,"Possible secretion or assembly protein for bacterial fibers, potential periplasmic protein"
ymdA,1104637,1104948,+,Function unknown
ymdB,1105043,1105576,+,Function unknown
ymdC,1105578,1106999,+,Function unknown
ymdD,1107007,1108164,-,Function unknown
mdoG,1108558,1110093,+,Periplasmic oligosaccharide synthesis
mdoH,1110086,1112629,+,Membrane glycosyltransferase
yceK,1112802,1113029,+,Function unknown
msyB,1113030,1113404,-,In multicopy restores growth and protein export functions of secY and secA mutants
yceE,1113487,1114713,-,Function unknown
htrB,1114885,1115805,-,"Not under heat shock regulation; membrane protein affecting cell division, growth, and high-temperature survival"
yceA,1116030,1117082,+,Function unknown
yceI,1117124,1117699,-,Function unknown
yceJ,1117703,1118269,-,Function unknown
yceO,1118530,1118670,-,Function unknown
solA,1118691,1119809,-,"Homology with sarcosine oxidases, but stronger activity with methyltryptophan than with sarcosine"
yceP,1119924,1120178,-,Function unknown
dinI,1120465,1120710,-,Multicopy suppresses phenotype of cold-sensitive dinD filamentous mutation; inhibits RecA-mediated UmuC self-cleavage
pyrC,1120784,1121830,-,Dihydro-orotase
yceB,1121936,1122496,-,Function unknown
grxB,1122630,1123277,-,Glutaredoxin 2
yceL,1123341,1124549,-,Function unknown
rimJ,1124785,1125369,+,Modification of 30S ribosomal subunit protein S5; acetylation of N-terminal alanine
yceH,1125380,1126027,+,Function unknown
mviM,1126029,1126952,+,Homolog to Salmonella virulence gene
mviN,1127062,1128597,+,Homolog to Salmonella virulence gene
flgN,1128637,1129053,-,FlgN flagellar synthesis protein
flgM,1129058,1129351,-,Anti-sigma F factor (FliA); regulator of FlhD
flgA,1129427,1130086,-,Flagellar synthesis; flagellar regulon member
flgB,1130241,1130657,+,Flagellar synthesis; flagellar regulon member
flgC,1130661,1131065,+,Flagellar synthesis; flagellar regulon member; basal body protein
flgD,1131077,1131772,+,Flagellar synthesis; flagellar regulon member; basal body rod modification
flgE,1131797,1133005,+,Flagellar hook subunit protein; flagellar regulon member
flgF,1133025,1133780,+,Flagellar synthesis; flagellar regulon member; basal body rod protein
flgG,1133952,1134734,+,Flagellar synthesis; flagellar regulon member; basal body rod protein
flgH,1134787,1135485,+,"Flagellar synthesis, basal body L-ring protein"
flgI,1135497,1136594,+,Flagellar regulon member; basal body P-ring protein
flgJ,1136594,1137535,+,Flagellar synthesis; flagellar regulon member
flgK,1137601,1139244,+,Flagellar synthesis; flagellar regulon member; hook-associated protein I
flgL,1139256,1140209,+,Flagellar synthesis; flagellar regulon member; hook-associated protein
rne,1140405,1143590,-,"RNase E; enzyme complex for RNA processing, mRNA turnover and 5S RNA maturation"
rluC,1144163,1145122,+,Responsible for pseudouridine at three positions in 23S RNA
yceF,1145234,1145818,-,Function unknown
yceD,1146017,1146538,+,Function unknown
rpmF,1146590,1146763,+,50S ribosomal subunit protein L32
plsX,1146874,1147914,+,Glycerol P auxotrophy in plsB background
fabH,1147982,1148935,+,ACP synthase III
fabD,1148951,1149880,+,Malonyl-CoA-acyl carrier protein transacylase
fabG,1149893,1150627,+,3-Ketoacyl-ACP reductase
acpP,1150838,1151074,+,ACP (acyl carrier protein)
fabF,1151162,1152403,+,Beta-ketoacyl-acyl carrier protein synthase II
pabC,1152523,1153332,+,Sulfonamide resistance; aminodeoxychorismate lyase
yceG,1153335,1154357,+,Function unknown
tmk,1154347,1154988,+,Deoxythymidine kinase
holB,1154985,1155989,+,"DNA polymerase III, delta'-subunit"
ycfH,1156000,1156797,+,Function unknown
ptsG,1157092,1158525,+,Glucosephophotransferase enzyme II
fhuE,1158585,1160774,-,Outer membrane receptor for ferric-rhodotorulic acid
ycfF,1161108,1161467,+,Function unknown
ycfL,1161470,1161847,+,Function unknown
ycfM,1161861,1162502,+,Function unknown
ycfN,1162483,1163307,+,Function unknown
ycfO,1163318,1164343,+,Function unknown
ycfP,1164366,1164908,+,Function unknown
ndh,1165308,1166612,+,Respiratory NADH dehydrogenase
ycfJ,1166822,1167361,+,Function unknown
ycfQ,1167423,1168055,-,Function unknown
ycfR,1168296,1168553,+,Function unknown
ycfS,1168635,1169597,-,Function unknown
mfd,1169741,1173187,-,Transcription repair coupling factor
ycfT,1173315,1174388,-,Function unknown
ycfU,1174650,1175849,+,Function unknown
ycfV,1175842,1176543,+,Function unknown
ycfW,1176543,1177787,+,Function unknown
ycfX,1177816,1178727,+,Function unknown
cobB,1178743,1179582,+,Partial cobalamin biosynthesis pathway present in E. coli (potential)
ycfZ,1179702,1180490,-,Function unknown
ymfA,1180487,1180948,-,Function unknown
potD,1181006,1182052,-,Spermidine-binding membrane protein
potC,1182049,1182843,-,"Membrane protein, channel-forming, for spermidine uptake"
potB,1182840,1183667,-,"Membrane protein, channel-forming, for spermidine uptake"
potA,1183681,1184817,-,ATP-binding membrane protein; putrescine/spermidine-ornithine transporter
pepT,1185067,1186293,+,Putative peptidase T
ycfD,1186342,1187463,-,Function unknown
phoQ,1187539,1188999,-,In Salmonella two-component regulatory system with phoP
phoP,1188999,1189670,-,"In Salmonella, a sensor in the two-component regulatory system, with phoQ"
purB,1189839,1191209,-,Adenylosuccinate lyase
ycfC,1191213,1191854,-,Function unknown
trmU,1191890,1192996,-,Antisuppressor; tRNA base-modifying enzyme; 2-thiouridine synthesis
ymfB,1193050,1193511,-,Function unknown
ymfC,1193521,1194174,-,Function unknown
icd,1194346,1195596,+,"Isocitrate dehydrogenase, NADP+-specific"
ymfD,1196090,1196755,-,Function unknown
ymfE,1196756,1197460,-,Function unknown
lit,1197918,1198811,+,Locus within defective prophage e14; expression of T4 late genes
intE,1198902,1200029,-,Integrase gene within defective prophage e14
ymfG,1200010,1200255,-,Function unknown
ymfI,1200720,1201061,+,Function unknown
ymfK,1201482,1202156,-,Function unknown
ymfL,1202479,1203048,+,Function unknown
ymfM,1203045,1203383,+,Function unknown
ymfN,1203393,1204760,+,Function unknown
ymfR,1204772,1204954,+,Function unknown
ymfO,1204954,1205365,+,Function unknown
ymfP,1205366,1206145,+,Function unknown
ymfQ,1206136,1206720,+,Function unknown
ycfK,1206724,1207353,+,Function unknown
ymfS,1207355,1207768,+,Function unknown
tfaE,1207740,1208342,-,Phage lambda tail fiber gene homolog in prophage e14
stfE,1208342,1208842,-,Phage lambda stf gene homolog in prophage e14
pinE,1208908,1209462,+,DNA invertase; site-specific recombination; locus in defective prophage e14
mcrA,1209569,1210402,+,Restriction of DNA at 5-methylcytosine residues; within defective prophage e14
icdC,1210636,1210797,+,"Isocitrate dehydrogenase, NADP+-specific, chromosomal fragment"
elbA,1210903,1211226,-,Involved in isoprenoid biosynthesis
ycgX,1211926,1212330,-,Function unknown
ycgE,1212551,1213282,-,Function unknown
ycgF,1213487,1214698,-,Function unknown
ycgZ,1215012,1215248,+,Function unknown
ymgA,1215291,1215563,+,Function unknown
ymgB,1215592,1215858,+,Function unknown
ymgC,1215971,1216219,+,Function unknown
ycgG,1216509,1218074,+,Function unknown
ymgF,1218206,1218424,+,Function unknown
ycgH,1218824,1221471,+,Function unknown
ymgD,1221528,1221857,-,Function unknown
ycgI,1222688,1223130,+,Function unknown; pseudogene
minE,1223502,1223768,-,Reverses inhibition by MinC of FtsZ ring
minD,1223772,1224584,-,Affects cell division and growth; membrane ATPase that activates MinC
minC,1224608,1225303,-,Inhibition of FtsZ ring at division site
ycgJ,1225823,1226191,+,Function unknown
ycgK,1226294,1226695,-,Function unknown
ycgL,1226904,1227230,+,Function unknown
ycgM,1227302,1227961,+,Function unknown
ycgN,1228038,1228499,+,Function unknown
hlyE,1228706,1229617,-,"Latent hemolysin expressed in presence of Salmonella or E. coli slyA, Actinobacillus glyX or fnr mutant"
umuD,1229990,1230409,+,Inducible mutagenesis; error-prone repair; processed to UmuD'; UmuDC single-stranded binding protein with RecA-coated DNA; SOS
umuC,1230409,1231677,+,"UV induction of mutations, error-prone repair; forms complex with UmuD and UmuD'"
dsbB,1231723,1232253,-,Protein disulfide isomerase (PDI) or PDI-like protein; DTT-sensitive phenotype; periplasm/inner membrane
nhaB,1232399,1233940,-,Regulator of intracellular pH
fadR,1234161,1234880,+,"Negative regulatory gene for fad regulon, positive regulator of fabA; regulates aceBAK, glyoxylate shunt"
ycgB,1234932,1236464,-,Function unknown
dadA,1236794,1238092,+,D-amino acid dehydrogenase subunit
dadX,1238102,1239172,+,Alanine racemase
ycgO,1239558,1241294,-,Function unknown
ycgQ,1241389,1242303,-,Function unknown
emtA,1242403,1243014,+,"Membrane-bound transglycosylase, lipoprotein involved in limited murein hydrolysis"
ycgR,1243016,1243750,-,Function unknown
ymgE,1243951,1244205,+,Function unknown
ycgY,1244383,1244823,+,Function unknown
treA,1244902,1246599,-,"Trehalase, periplasmic"
ycgC,1246919,1248340,-,Function unknown
ycgS,1248348,1248980,-,Function unknown
ycgT,1248991,1250091,-,Function unknown
ycgU,1250289,1252208,+,Function unknown
ycgV,1252308,1255175,-,Function unknown
ychF,1255944,1257035,-,Function unknown
pth,1257152,1257736,-,Peptidyl-tRNA hydrolase; required for phage lambda growth
ychH,1258014,1258292,+,Function unknown
ychM,1258347,1260026,-,Function unknown
prs,1260151,1261098,-,Phosphoribosylpyrophosphate synthetase
ychB,1261249,1262100,-,Function unknown
hemM,1262100,1262723,-,Glutamyl-tRNA dehydrogenase? novel outer membrane lipoprotein?
hemA,1262937,1264193,+,Neomycin sensitivity; hemin biosynthesis; glutamyl tRNA dehydrogenase
prfA,1264235,1265317,+,Peptide chain release factor 1
hemK,1265317,1266150,+,Heme biosynthesis
ychQ,1266147,1266539,+,Function unknown
ychA,1266543,1267352,+,Function unknown
kdsA,1267388,1268242,+,3-Deoxy-D-manno-octulosonic acid 8-P synthetase
chaA,1269972,1271072,-,Ca2+/H+ antiporter
chaB,1271342,1271572,+,Accessory and regulatory protein for chaA
chaC,1271730,1272425,+,Accessory and regulatory protein for chaA
ychN,1272469,1272822,-,Function unknown
ychO,1273148,1274401,+,Function unknown
narL,1274402,1275052,-,Regulatory protein for nitrate/nitrite response
narX,1275045,1276841,-,Nitrate sensor-transmitter protein; functional redundance with narQ
narK,1277180,1278571,+,Nitrate/nitrite antiporter
narG,1279087,1282830,+,Nitrate reductase alpha-subunit
narH,1282827,1284365,+,Nitrate reductase beta-subunit
narJ,1284362,1285072,+,Nitrate reductase delta-subunit; chaperone
narI,1285072,1285749,+,"Cytochrome bNR, structural gene; gamma-subunit"
tpr,1286310,1286399,-,"Protamine-like protein, apparently transcribed with tyrT"
tyrV,1286467,1286551,-,Tyrosine tRNA1; tandemly duplicated
tyrT,1286761,1286845,-,Tyrosine tRNA1; tandemly duplicated
purU,1287005,1287847,-,Formyltetrahydrofolate hydrolase
ychJ,1287897,1288355,-,Function unknown
rssA,1288429,1289373,+,"Two-component response regulator, affecting sigma S-dependent proteins"
rssB,1289465,1290478,+,"Two-component response regulator, affecting sigma S-dependent proteins"
galU,1290680,1291588,+,Glucose-1-P uridylyltransferase (UDP-glucose pyrophosphorylase)
hns,1291732,1292145,-,"DNA-binding protein, histone-like; diverse mutant phenotypes affecting transcription, transposition, inversion, cryptic-gene expression; involved in chromosome organization"
tdk,1292750,1293367,+,Deoxythymidine kinase
ychG,1293794,1294545,-,Function unknown
adhE,1294669,1297344,-,"Alcohol dehydrogenase, acetaldehyde dehydrogenase, CoA-linked allyl alcohol resistance; deactivase for PFL"
ychE,1297821,1298468,+,Function unknown
oppA,1299206,1300837,+,Oligopeptide permease
oppB,1300923,1301843,+,Oligopeptide transport
oppC,1301858,1302766,+,Oligopeptide transport
oppD,1302778,1303791,+,Oligopeptide transport
oppF,1303788,1304792,+,Oligopeptide transport; ATP hydrolysis
yciU,1304845,1305174,-,Function unknown
cls,1305209,1306669,-,Cardiolipin synthase; mutants dihydroxybutylphosphonate resistant; novobiocin sensitivity
kch,1307040,1308293,-,Homology to potassium channel proteins
yciI,1308593,1308889,-,Function unknown
tonB,1309113,1309832,+,"Sensitivity to T1, phi80, and colicins; uptake of chelated Fe and cyanocobalamin; energy transducer"
yciA,1309872,1310270,-,Function unknown
yciB,1310375,1310914,-,Function unknown
yciC,1310944,1311687,-,Function unknown
yciD,1312044,1312682,+,Function unknown
yciE,1312742,1313248,-,Function unknown
yciF,1313294,1313794,-,Function unknown
yciG,1313880,1314059,-,Function unknown
trpA,1314440,1315246,-,Tryptophan synthase subunit A
trpB,1315246,1316439,-,Tryptophan synthase subunit B
trpC,1316451,1317809,-,"Bifunctional enzyme N-(5-phosphoribosyl)anthranilate isomerase, indole-3-glycerolphosphate synthetase"
trpD,1317813,1319408,-,"Bifunctional enzyme anthranilate synthase component II, phosphoribosyl anthranilate transferase"
trpE,1319408,1320970,-,Anthranilate synthase component I
trpL,1321062,1321106,-,Regulatory leader peptide for trp operon
trpH,1321244,1322125,+,TrpR-controlled gene divergent from trp operon
yciO,1322122,1322742,+,Function unknown
yciQ,1322770,1324665,+,Function unknown
yciL,1324876,1325751,+,Function unknown
btuR,1325791,1326381,-,Regulatory gene affecting btuB
yciK,1326378,1327136,-,Function unknown
sohB,1327356,1328405,+,"Suppressor of hyr; homology with inner membrane protease IV, which digests cleaved signal peptides"
yciN,1328441,1328692,-,Function unknown
topA,1329072,1331669,+,"Topoisomerase I, omega protein I"
cysB,1331879,1332853,+,Positive regulator for cys regulon
yciX,1333184,1333482,+,Function unknown
acnA,1333855,1336530,+,Aconitase A
ribA,1336594,1337184,-,Riboflavin biosynthesis; GTP-cyclohydrolase II
pgpB,1337354,1338118,+,"Phosphatidylglycerophosphate phosphatase, membrane bound, nonessential"
yciS,1338267,1338575,+,Function unknown
yciM,1338582,1339751,+,Function unknown
pyrF,1339945,1340682,+,Orotidine-5'-phosphate decarboxylase
yciH,1340682,1341008,+,Function unknown
osmB,1341134,1341352,-,OsmB lipoprotein
yciT,1341621,1342370,-,Function unknown
yciR,1342781,1344766,-,Function unknown
rnb,1345002,1346936,-,RNase II; mRNA degradation
yciW,1347004,1348131,-,Function unknown
fabI,1348275,1349063,-,"Enoyl-ACP reductase, NADH dependent"
ycjD,1349431,1349784,-,Function unknown
sapF,1349852,1350658,-,Peptide transport system ATP-binding protein
sapD,1350660,1351652,-,Affects potassium transport; peptide transport system ATP-binding protein
sapC,1351652,1352542,-,Peptide transport system permease
sapB,1352529,1353494,-,Peptide transport system permease
sapA,1353491,1355134,-,Peptide transport system periplasmic protein
ymjA,1355447,1355692,-,Function unknown
ycjJ,1355826,1357211,-,Function unknown
ycjK,1357514,1358932,-,Function unknown
ycjL,1359144,1359908,+,Function unknown
ycjC,1359935,1360492,+,Function unknown
aldH,1360767,1362254,+,"Putative aldehyde dehydrogenase, by homology; transcribed in operon with goaG"
ordL,1362256,1363536,+,Putative oxidoreductase
goaG,1363574,1364839,+,Putative GABA or ornithine aminotransferase
pspF,1364959,1365936,-,Transcriptional sigma 54-dependent activator of psp
pspA,1366103,1366771,+,Negative regulatory gene for stress sigma 54 dependent phage-shock-protein operon
pspB,1366825,1367049,+,"Regulatory gene, with PspC activates expression of psp operon"
pspC,1367049,1367408,+,"Positive regulatory gene, cooperatively with PspB"
pspD,1367417,1367638,+,Putative protein in psp operon
pspE,1367713,1368027,+,"Expressed in response to stress as part of psp operon, but also transcribed independently"
ycjM,1368240,1369919,+,Function unknown
ycjN,1369933,1371225,+,Function unknown
ycjO,1371246,1372127,+,Function unknown
ycjP,1372114,1372956,+,Function unknown
ycjQ,1372987,1374039,+,Function unknown
ycjR,1374049,1374846,+,Function unknown
ycjS,1374856,1375911,+,Function unknown
ycjT,1375908,1378175,+,Function unknown
ycjU,1378172,1378831,+,Function unknown
ycjV,1378845,1379813,+,Function unknown
ompG,1379971,1380876,+,Novel porin
ycjW,1380987,1381985,-,Function unknown
ycjX,1382141,1383538,+,Function unknown
ycjF,1383535,1384596,+,Function unknown
tyrR,1384744,1386285,+,"TyrR regulon repressor; regulates aroF, aroG, tyrA, and aromatic amino acid transport; autoregulation of tyrR not mediated by tyrosine"
tpx,1386329,1386835,-,Thioredoxin-linked thiol peroxidase
ycjG,1386954,1387919,+,Function unknown
ycjI,1387894,1388682,-,Function unknown
ycjY,1388957,1389889,-,Function unknown
ycjZ,1390015,1390914,+,Function unknown
mppA,1391230,1392864,+,Murein tripeptide (L-Ala-gamma-D-Glut-m-DAP) permease
ynaI,1392915,1393946,-,Function unknown
ynaJ,1395389,1395646,+,Function unknown
ydaA,1395696,1396646,-,Function unknown
fnr,1396798,1397550,-,"Regulatory gene for nitrite and nitrate reductases, hydrogenase, fumarate reductase"
ogt,1397745,1398260,-,"O6-methylguanine-DNA methyltransferase, constitutive"
abgT,1398271,1399803,-,Para-aminobenzoyl-glutamate utilization; cryptic gene
abgB,1399834,1401279,-,Gene in putative abgABT operon; function unknown
abgA,1401279,1402589,-,Gene in putative abgABT operon; function unknown
abgR,1402765,1403673,+,Putative regulator of abgABT operon
ydaL,1404003,1404566,+,Function unknown
ydaM,1404587,1405819,-,Function unknown
ydaN,1406074,1407057,+,Function unknown
dbpA,1407535,1408908,+,"Binds DNA, RNA, only hydrolyses ATP in presence of 23S rRNA"
ydaO,1409037,1409972,-,Function unknown
intR,1410024,1411259,-,Integrase gene within defective prophage Rac
ydaQ,1411261,1411476,-,Function unknown
ydaC,1411555,1411764,-,Function unknown
lar,1411757,1411951,-,Restriction alleviation gne in Rac prophage
recT,1412008,1412817,-,Locus in defective prophage rac; activated by sbcA mutation; DNA-annealing protein
recE,1412810,1415410,-,Recombination and repair; in prophage rac locus; degrades one strand 5'-3' in duplex DNA; exonuclease VIII
racC,1415512,1415787,-,Element of defective prophage Rac
ydaE,1415862,1416032,-,Function unknown
kil,1416032,1416253,-,Responsible for the killing function of the Rac prophage during zygotic induction
sieB,1416695,1417183,+,Homolog to lambda sieB gene in Rac prophage
ydaF,1417180,1417335,-,Function unknown
ydaG,1417346,1417480,-,Function unknown
racR,1417789,1418265,-,Element of defective prophage Rac; repressor
ydaS,1418389,1418685,+,Function unknown
ydaT,1418708,1419130,+,Function unknown
ydaU,1419143,1420000,+,Function unknown
ydaV,1420007,1420753,+,Function unknown
ydaW,1420725,1421224,+,Function unknown
rzpR,1421225,1421668,+,Defective homolog to lambda Rz gene in prophage Rac
rzoR,1421424,1421609,+,Homolog to lambda Rz1 lipoprotein in prophage Rac
trkG,1421806,1423263,+,"Major constitutive K+ transport system; membrane protein, perhaps inactive during anaerobic growth"
ynaK,1423401,1423664,+,Function unknown
ydaY,1423645,1424004,+,Function unknown
ynaA,1424478,1425506,+,Function unknown
lomR,1425419,1427008,+,"Defective lom gene in Rac prophage, interrupted by IS5Y"
stfR,1427073,1430435,+,Phage lambda stf gene homolog in prophage Rac
tfaR,1430435,1431010,+,Phage lambda tail fiber gene homolog in prophage Rac
pinR,1431108,1431698,-,DNA invertase; site-specific recombination; locus in defective prophage Rac
ynaE,1432015,1432281,-,Function unknown
ynaF,1433209,1433643,-,Function unknown
ompN,1433784,1434917,-,New outer membrane porin
ydbK,1435284,1438808,-,Function unknown
ydbJ,1439082,1439348,+,Function unknown
hslJ,1439345,1439767,-,Heat-inducible; regulatory gene
ldhA,1439878,1440867,-,Lactate dehydrogenase
ydbH,1441075,1443714,+,Function unknown
ynbE,1443711,1443896,+,Function unknown
ydbL,1443904,1444230,+,Function unknown
feaR,1444402,1445307,-,Regulates expression of tynA and padA
feaB,1445543,1447042,+,Catabolism of phenylethylamine
tynA,1447100,1449373,-,Tyramine oxidase
maoC,1449621,1451666,-,Putative dehydrogenase adjacent to tynA/maoA gene
paaA,1451951,1452880,+,Phenylacetic acid degradation
paaB,1452892,1453179,+,Phenylacetic acid degradation
paaC,1453188,1453934,+,Phenylacetic acid degradation
paaD,1453943,1454446,+,Phenylacetic acid degradation
paaE,1454454,1455524,+,Phenylacetic acid degradation
paaF,1455521,1456288,+,Phenylacetic acid degradation
paaG,1456288,1457076,+,Phenylacetic acid degradation
paaH,1457078,1458505,+,Phenylacetic acid degradation
paaI,1458495,1458917,+,Phenylacetic acid degradation
paaJ,1458917,1460122,+,Phenylacetic acid degradation
paaK,1460149,1461462,+,Phenylacetic acid degradation
paaX,1461563,1462513,+,Phenylacetic acid degradation
paaY,1462495,1463085,+,Phenylacetic acid degradation
ydbA,1463416,1472037,+,Function unknown; interrupted by IS2D and IS30C
ydbC,1472245,1473105,+,Function unknown
ydbD,1473168,1475474,+,Function unknown
ynbA,1475645,1476250,+,Function unknown
ynbB,1476250,1477146,+,Function unknown
ynbC,1477162,1478919,+,Function unknown
ynbD,1478933,1480225,+,Function unknown
acpD,1480279,1480884,-,ACP phosphodiesterase
hrpA,1481085,1484987,+,RNA helicase-like; similarity to eukaryotic DEAH family
ydcF,1485259,1486059,+,Function unknown
aldA,1486256,1487695,+,"Aldehyde dehydrogenase, NAD linked"
gapC,1487737,1488737,-,Glyceraldehyde 3-phosphate dehydrogenase C
cybB,1488926,1489456,+,Cytochrome b561
ydcA,1489701,1489874,+,Function unknown
ydcB,1489946,1490095,-,Function unknown
trg,1490494,1492134,+,"Methyl-accepting chemotaxis protein III, ribose acceptor, flagellar regulon"
ydcI,1492172,1493095,-,Function unknown
ydcJ,1493312,1494655,+,Function unknown
ydcG,1494910,1496535,+,Function unknown
ydcH,1496732,1496899,+,Function unknown
rimL,1496962,1497501,+,Modification of 50S ribosomal subunit protein L7/L12; acetylation of N-terminal serine
ydcK,1497493,1498473,-,Function unknown
tehA,1498597,1499589,+,Multidrug resistance; K+-tellurite ethidium and proflavin transport; membrane protein
tehB,1499586,1500179,+,Multidrug resistance; K+-tellurite ethidium and proflavin transport
ydcL,1500481,1501149,+,Function unknown
yncK,1501167,1501658,-,Function unknown
ydcM,1501681,1502889,+,Function unknown
ydcO,1502929,1504104,-,Function unknown
ydcN,1504196,1504732,+,Function unknown
ydcP,1504805,1506766,+,Function unknown
yncJ,1506858,1507088,-,Function unknown
ydcQ,1507511,1507948,+,Function unknown
ydcR,1508027,1509433,+,Function unknown
ydcS,1509678,1510823,+,Function unknown
ydcT,1510841,1511854,+,Function unknown
ydcU,1511855,1512796,+,Function unknown
ydcV,1512786,1513580,+,Function unknown
ydcW,1513602,1515026,+,Function unknown
ydcX,1515413,1515586,+,Function unknown
ydcY,1515672,1515905,+,Function unknown
ydcZ,1515906,1516355,-,Function unknown
yncA,1516352,1516870,-,Function unknown
yncB,1517027,1518088,+,Function unknown
yncC,1518286,1518951,+,Function unknown
yncD,1518987,1521089,-,Function unknown
yncE,1521331,1522392,+,Function unknown
ansP,1522505,1524004,-,Putative L-Asparagine permease
yncG,1524271,1524888,+,Function unknown
yncH,1524964,1525176,+,Function unknown
rhsE,1525926,1527962,+,Encoded within repeats that are hotspots for chromosomal duplication formation; Function of protein is unknown
ydcD,1527946,1528428,+,Function unknown
yncI,1528610,1529600,+,Function unknown
ydcC,1529840,1530976,+,Function unknown
ydcE,1531076,1531309,+,Function unknown
yddH,1531306,1531875,-,Function unknown
nhoA,1532048,1532893,+,"Putative N-hydroxyarylamine O-acetyltransferase, Salmonella homolog"
yddE,1532989,1533882,-,Function unknown
narV,1533961,1534641,-,"Cryptic nitrate reductase II, gamma-subunit"
narW,1534638,1535333,-,"Cryptic nitrate reductase II, delta-subunit"
narY,1535333,1536877,-,"Cryptic NR II, beta-subunit"
narZ,1536874,1540614,-,"Cryptic NR II, alpha-subunit"
narU,1540696,1542084,-,"Nitrate sensor-trasmitter protein, anaerobic respiratory path"
yddJ,1542408,1542743,-,Function unknown
yddK,1542782,1543771,-,Function unknown
yddL,1543774,1544052,-,Function unknown
yddG,1544312,1545136,-,Function unknown
fdnG,1545425,1548472,+,Formate dehydrogenase-N major subunit
fdnH,1548485,1549369,+,Formate dehydrogenase-N Fe-S subunit
fdnI,1549362,1550015,+,Formate dehydrogenase-N cytochrome subunit
yddM,1550422,1550706,-,Function unknown
adhP,1550852,1551862,-,Alcohol dehydrogenase whose preferred substrate is 1-propanol
sfcA,1551996,1553693,-,"Putative malic enzyme, NAD linked"
yddX,1554089,1554304,-,Function unknown
osmC,1554649,1555080,+,Osmotically inducible protein C; nonessential gene
yddO,1555136,1556062,-,Function unknown
yddP,1556055,1557041,-,Function unknown
yddQ,1557038,1557934,-,Function unknown
yddR,1557931,1558953,-,Function unknown
yddS,1558955,1560505,-,Function unknown
yddT,1560519,1561100,-,Function unknown
yddU,1561358,1563757,-,Function unknown
yddV,1563782,1565164,-,Function unknown
yddW,1565528,1566847,-,Function unknown
xasA,1566978,1568513,-,"Glutamate-dependent enzyme, may function in protection against cytoplasmic acidification"
gadB,1568669,1570069,-,Glutamate decarboxylase
pqqL,1570431,1573226,-,Redox cofactor for pyrroloquinoline quinone synthesis (cryptic in K-12)
yddB,1573271,1575643,-,Function unknown
yddA,1575681,1577366,-,Function unknown
ydeM,1577657,1578814,-,Function unknown
ydeN,1578866,1580548,-,Function unknown
ydeO,1580950,1581711,-,Function unknown
ydeP,1582231,1584510,-,Function unknown
ydeQ,1584844,1585758,-,Function unknown
ydeR,1585817,1586320,-,Function unknown
ydeS,1586333,1586863,-,Function unknown
ydeT,1586877,1588103,-,Function unknown
yneL,1588358,1588560,-,Function unknown
hipA,1588878,1590200,-,Probable role in cell division
hipB,1590200,1590466,-,Probable role in cell division
ydeU,1590689,1592089,-,Function unknown
ydeK,1592133,1596110,-,Function unknown
ydeV,1596641,1598233,-,Function unknown
ydeW,1598312,1599265,-,Function unknown
ego,1599514,1601049,+,Essential for aerobic growth
ydeY,1601043,1602071,+,Function unknown
ydeZ,1602071,1603063,+,Function unknown
yneA,1603075,1604097,+,Function unknown
yneB,1604124,1604999,+,Function unknown
yneC,1605023,1605313,+,Function unknown
yneD,1605370,1606128,+,Function unknown
yneE,1606132,1607046,-,Function unknown
uxaB,1607253,1608704,-,Altronate oxidoreductase; exu regulon galacturonate
yneF,1608931,1609878,-,Function unknown
yneG,1609990,1610349,-,Function unknown
