ID,K-12 gene namea,dN (average),dS (average),HTGb,H-NS bindingc,H-NS binding (excluded genes in which H-NS-bound regions were restricted at the 3' end and length is less than 10% of total gene length)d,Genes included in transcriptional units H-NS bounde,Transcription unit namef
341,ybhP,0.001436681,0.061100423,x,FALSE,FALSE,FALSE, 
342,ybhS,0.001159408,0.08178203,L,FALSE,FALSE,FALSE, 
343,ybiH,0.000942706,0.097448203,N,FALSE,FALSE,FALSE, 
344,dinG,0.001339535,0.101364165,x,FALSE,FALSE,FALSE, 
345,ybiB,0.004169239,0.04988129,x,FALSE,FALSE,FALSE, 
346,ybiC,0.00538351,0.067880867,x,FALSE,FALSE,FALSE, 
347,ybiN,0.003622833,0.07122611,n,FALSE,FALSE,FALSE, 
348,glnP,0.000186469,0.043380761,x,FALSE,FALSE,FALSE, 
349,glnH,8.18E-05,0.027749789,x,FALSE,FALSE,FALSE, 
350,dps,0.000230867,0.021864693,x,TRUE,TRUE,TRUE,dps
351,ompX,0.000118182,0.01547685,x,FALSE,FALSE,FALSE, 
352,mntR,0.001055814,0.043854651,n,FALSE,FALSE,FALSE, 
353,ybiR,0.005751691,0.090340592,x,FALSE,FALSE,FALSE, 
354,ybiV,0.006999154,0.052199471,x,FALSE,FALSE,FALSE, 
355,fsaA,0.008561205,0.073879387,x,FALSE,FALSE,FALSE, 
356,moeB,0.007400846,0.141997569,x,FALSE,FALSE,FALSE, 
357,yliA,0.004168922,0.044760148,x,FALSE,FALSE,FALSE, 
358,yliC,0.000713531,0.041292918,x,FALSE,FALSE,FALSE, 
359,yliD,0.001943658,0.046527907,l/n,TRUE,TRUE,TRUE,iaaA-gsiABCD
360,yliF,0.004095349,0.077501797,L/N,TRUE,TRUE,TRUE,yliEF
361,yliG,0.000520085,0.03586649,l/n,TRUE,FALSE,FALSE, 
362,yliJ,0.00062315,0.02428203,x,FALSE,FALSE,FALSE, 
363,dacC,0.000774207,0.038059408,x,FALSE,FALSE,FALSE, 
364,deoR,0.001708879,0.05435666,x,FALSE,FALSE,FALSE, 
365,ybjG,0.002831607,0.040765222,x,FALSE,FALSE,TRUE,ybjG
366,cmr,0.001761628,0.053903594,x,FALSE,FALSE,TRUE,cmr
367,ybjI,0.004763002,0.07069704,x,FALSE,FALSE,FALSE, 
368,ybjK,0.004654017,0.046122516,x,FALSE,FALSE,FALSE, 
369,ybjL,7.91E-05,0.053060994,n,TRUE,TRUE,TRUE,ybjL
370,grxA,0.004963425,0.0261574,L/n,FALSE,FALSE,FALSE, 
371,ybjC,0.007835835,0.024538584,l,FALSE,FALSE,FALSE, 
372,nfsA,0.007186681,0.032560677,x,FALSE,FALSE,FALSE, 
373,rimK,0.000897146,0.024877801,n,FALSE,FALSE,FALSE, 
374,ybjN,0.00025444,0.026844503,N,FALSE,FALSE,FALSE, 
375,potF,0.002201374,0.170394926,n,FALSE,FALSE,FALSE, 
376,potG,0.002709302,0.144121459,x,FALSE,FALSE,FALSE, 
377,potI,0.003317336,0.108154863,x,FALSE,FALSE,FALSE, 
378,ybjO,0.000263636,0.043208562,x,FALSE,FALSE,FALSE, 
379,rumB,0.005997674,0.119211416,x,FALSE,FALSE,FALSE, 
380,artM,0.000186469,0.095194292,x,FALSE,FALSE,FALSE, 
381,artQ,0.003230761,0.067941226,x,FALSE,FALSE,FALSE, 
382,artI,0.002347674,0.142047252,x,FALSE,FALSE,FALSE, 
383,artP,0.000323996,0.022500846,x,FALSE,FALSE,FALSE, 
384,ybjQ,0.003428118,0.130498732,x,FALSE,FALSE,FALSE, 
385,ybjR,0.005018816,0.063621142,x,FALSE,FALSE,FALSE, 
386,ybjT,0.008587315,0.140516068,x,FALSE,FALSE,FALSE, 
387,hcp,0.001314588,0.084289218,x,FALSE,FALSE,FALSE, 
388,ybjE,0.002459408,0.075158351,x,FALSE,FALSE,FALSE, 
389,aqpZ,0.001702008,0.078152431,x,FALSE,FALSE,TRUE,aqpZ
390,ybjD,0.001391755,0.085874101,x,TRUE,TRUE,TRUE,ybjD
391,ybjX,0.00263055,0.045698097,x,FALSE,FALSE,FALSE, 
392,macA,0.003007611,0.039962262,x,FALSE,FALSE,FALSE, 
393,clpS,0.000363742,0.012648203,x,FALSE,FALSE,FALSE, 
394,cydC,0.003410571,0.051735624,x,FALSE,FALSE,FALSE, 
395,trxB,0.001646723,0.071697146,x,FALSE,FALSE,FALSE, 
396,lrp,0,0.021263108,x,FALSE,FALSE,FALSE, 
397,lolA,0.000190909,0.025930127,x,FALSE,FALSE,FALSE, 
398,ycaJ,0.00102759,0.059101691,x,FALSE,FALSE,FALSE, 
399,dmsB,0.001274207,0.097501691,x,FALSE,FALSE,FALSE, 
400,dmsC,0.005792283,0.077241438,x,FALSE,FALSE,FALSE, 
401,ycaD,0.002954545,0.065358034,n,FALSE,FALSE,FALSE, 
402,pflA,0.000393129,0.063804545,l/n,FALSE,FALSE,FALSE, 
403,focA,0.000142072,0.047101691,x,TRUE,TRUE,TRUE,focA-pflB
404,ycaO,0.002234355,0.112686575,x,FALSE,FALSE,FALSE, 
405,ycaP,0.002582875,0.088546195,x,FALSE,FALSE,FALSE, 
406,serC,0.004035729,0.136199049,x,FALSE,FALSE,FALSE, 
407,aroA,0.005399471,0.103665962,x,FALSE,FALSE,FALSE, 
408,ycaL,0.00575,0.113136998,x,FALSE,FALSE,FALSE, 
409,cmk,2.11E-06,0.042675159,x,FALSE,FALSE,FALSE, 
410,rpsA,0,0.006792389,x,FALSE,FALSE,FALSE, 
411,msbA,0.001630655,0.05817759,n,FALSE,FALSE,FALSE, 
412,kdsB,0.004640803,0.085196195,x,FALSE,FALSE,FALSE, 
413,ycbJ,0.00139778,0.038628753,x,FALSE,FALSE,FALSE, 
414,ycbC,0.00069926,0.067094397,x,FALSE,FALSE,FALSE, 
415,smtA,0.001685412,0.026661099,x,FALSE,FALSE,FALSE, 
416,mukF,0.001459831,0.055976427,x,FALSE,FALSE,FALSE, 
417,mukE,0.0015963,0.058127907,x,FALSE,FALSE,FALSE, 
418,ycbB,0.003225899,0.047263953,x,FALSE,FALSE,FALSE, 
419,ycbK,0,0.033334144,x,FALSE,FALSE,FALSE, 
420,ycbL,0.003099471,0.036239746,x,FALSE,FALSE,FALSE, 
421,aspC,0.001937104,0.043650529,x,FALSE,FALSE,FALSE, 
422,asnS,0.000537844,0.045551586,x,FALSE,FALSE,FALSE, 
423,pepN,0.00267611,0.110537632,x,FALSE,FALSE,FALSE, 
424,ssuB,0.014695772,0.148030021,x,FALSE,FALSE,FALSE, 
425,ssuC,0.00258351,0.10054778,x,FALSE,FALSE,FALSE, 
426,pyrD,0.001289746,0.052866385,n,TRUE,TRUE,TRUE,pyrD
427,ycbW,0.003358774,0.082060677,N,TRUE,TRUE,TRUE,zapC
428,ycbX,0.00589778,0.063833298,n,FALSE,FALSE,FALSE, 
429,ycbY,0.002821247,0.065341543,x,FALSE,FALSE,FALSE, 
430,uup,0.002207188,0.087248203,n,FALSE,FALSE,FALSE, 
431,pqiA,0.000884249,0.035786047,N,FALSE,FALSE,FALSE, 
432,pqiB,0.000987738,0.036762051,n,FALSE,FALSE,FALSE, 
433,ymbA,0.004182664,0.064745349,l/n,FALSE,FALSE,FALSE, 
434,fabA,0.001639429,0.074448626,l/n,FALSE,FALSE,FALSE, 
435,ycbZ,0.003713636,0.027550317,n,FALSE,FALSE,FALSE, 
436,ycbG,0.002314271,0.052547357,N,FALSE,FALSE,FALSE, 
437,ompA,0.008991332,0.059758245,n,FALSE,FALSE,FALSE, 
438,yccF,0.010253911,0.030980444,x,FALSE,FALSE,FALSE, 
439,helD,0.00309704,0.044616385,x,FALSE,FALSE,FALSE, 
440,mgsA,0.001682981,0.048065222,x,FALSE,FALSE,FALSE, 
441,yccU,0.002351163,0.091008034,h,FALSE,FALSE,FALSE, 
442,yccV,0,0.017655074,H,FALSE,FALSE,FALSE, 
443,yccW,0.003627273,0.067049577,h,FALSE,FALSE,FALSE, 
444,yccK,0.002604651,0.090244715,x,FALSE,FALSE,FALSE, 
445,yccA,0.001081924,0.048212474,x,FALSE,FALSE,FALSE, 
446,hyaA,0.001332664,0.074857717,x,FALSE,FALSE,FALSE, 
447,hyaC,0.002210571,0.078392283,x,FALSE,FALSE,FALSE, 
448,hyaD,0.010334144,0.116804651,x,FALSE,FALSE,FALSE, 
449,hyaE,0.004887844,0.105488901,x,FALSE,FALSE,FALSE, 
450,hyaF,0.007387209,0.05276649,x,FALSE,FALSE,FALSE, 
451,appB,0.001258457,0.073915751,n,FALSE,FALSE,FALSE, 
452,appA,0.008388055,0.056997569,N,FALSE,FALSE,FALSE, 
453,yccM,0.012174313,0.037231607,H/N,TRUE,TRUE,TRUE,yccM
454,torS,0.011545032,0.089139746,h/n,FALSE,FALSE,FALSE, 
455,torT,0.006567125,0.075264588,x,FALSE,FALSE,FALSE, 
456,torR,0.001614799,0.07570518,x,FALSE,FALSE,FALSE, 
457,torC,0.001943023,0.069528541,x,FALSE,FALSE,FALSE, 
458,torD,0.019171987,0.069789535,x,FALSE,FALSE,FALSE, 
459,cbpA,0.003031818,0.036590592,l/n,TRUE,TRUE,TRUE,cbpAM
460,ycdH,0.003879387,0.064428436,N,FALSE,FALSE,FALSE, 
461,ycdI,0.010368605,0.070742072,n,FALSE,FALSE,FALSE, 
462,rarA,0.009349049,0.033590909,x,FALSE,FALSE,FALSE, 
463,ycdC,0.00260074,0.072984038,x,FALSE,FALSE,FALSE, 
464,putP,0.001539746,0.099875899,x,FALSE,FALSE,FALSE, 
465,ycdO,0.003892918,0.078468816,x,FALSE,FALSE,FALSE, 
466,ycdB,0.005272833,0.110861099,n,FALSE,FALSE,FALSE, 
467,ymdB,0.001360782,0.037224419,h/L/N,TRUE,TRUE,TRUE,ymdBC
468,ymdC,0.003264799,0.061569133,l/N,TRUE,TRUE,TRUE,ymdBC
469,mdoG,0.000123044,0.0388074,n,TRUE,TRUE,TRUE,mdoGH
470,mdoH,0.000683404,0.052475053,x,FALSE,FALSE,TRUE,mdoGH
471,msyB,0.005332135,0.060238584,x,FALSE,FALSE,FALSE, 
472,lpxL,0.001115751,0.025330021,x,FALSE,FALSE,FALSE, 
473,yceA,0.003696089,0.065318393,x,TRUE,FALSE,FALSE, 
474,yceI,0.002442918,0.086659514,n,TRUE,TRUE,TRUE,yceI
475,yceJ,0.005616913,0.044760359,l/N,TRUE,TRUE,TRUE,yceJI
476,solA,0.004014905,0.052912685,l/n,TRUE,TRUE,TRUE,solA-yceO
477,yceP,0.003026638,0.00164482,N,TRUE,TRUE,TRUE,bssS
478,dinI,0.000245455,0.029924313,n,TRUE,TRUE,TRUE,dinI
479,pyrC,0.00320296,0.081744609,x,FALSE,FALSE,FALSE, 
480,yceB,0.001395666,0.043786575,x,FALSE,FALSE,FALSE, 
481,grxB,0.000486047,0.029242812,x,FALSE,FALSE,FALSE, 
482,rimJ,0.001038584,0.019260782,x,FALSE,FALSE,FALSE, 
483,yceH,0.004878436,0.079090698,x,FALSE,FALSE,FALSE, 
484,mviN,0.000742918,0.052655391,x,FALSE,FALSE,FALSE, 
485,flgN,0.007260359,0.036989218,n,FALSE,FALSE,FALSE, 
486,flgM,0.003373467,0.051090486,N,FALSE,FALSE,FALSE, 
487,flgA,0.007834461,0.06067167,N,FALSE,FALSE,FALSE, 
488,flgB,0.003748943,0.027254863,n,FALSE,FALSE,FALSE, 
489,flgC,0.000455814,0.060891226,x,FALSE,FALSE,FALSE, 
490,flgD,0.002283721,0.071961099,x,FALSE,FALSE,FALSE, 
491,flgF,0.004130867,0.08019334,x,FALSE,FALSE,FALSE, 
492,flgG,0.00038277,0.048747992,x,FALSE,FALSE,FALSE, 
493,flgH,0.000757188,0.040302008,x,FALSE,FALSE,FALSE, 
494,flgJ,0.003716068,0.07433055,x,FALSE,FALSE,FALSE, 
495,flgK,0.003776216,0.051288795,x,FALSE,FALSE,FALSE, 
496,flgL,0.006968288,0.095007188,x,FALSE,FALSE,FALSE, 
497,rne,0.004777061,0.062747992,n,FALSE,FALSE,FALSE, 
498,rluC,0.001000423,0.060318922,n,FALSE,FALSE,FALSE, 
499,yceF,0.001497146,0.03064852,n,FALSE,FALSE,FALSE, 
500,fabH,0.000574207,0.041904651,n,FALSE,FALSE,FALSE, 
501,fabD,0.001520085,0.037133298,x,FALSE,FALSE,FALSE, 
502,fabF,0.000193023,0.021805814,x,FALSE,FALSE,FALSE, 
503,pabC,0.006669345,0.030226427,x,FALSE,FALSE,FALSE, 
504,yceG,0.001794397,0.043159408,x,FALSE,FALSE,FALSE, 
505,tmk,0.003424524,0.080967442,x,FALSE,FALSE,FALSE, 
506,holB,0.004390275,0.042880867,x,FALSE,FALSE,FALSE, 
507,ycfH,0.000364799,0.03218129,x,FALSE,FALSE,FALSE, 
508,ptsG,0.000270613,0.013597357,x,FALSE,FALSE,FALSE, 
509,hinT,0.001610042,0.034102431,n,FALSE,FALSE,FALSE, 
510,ycfM,0.000281924,0.052208562,n,FALSE,FALSE,FALSE, 
511,ycfN,0.005433404,0.019299366,N,FALSE,FALSE,FALSE, 
512,nagZ,0.004327801,0.098686258,n,FALSE,FALSE,FALSE, 
513,ndh,0.001836047,0.071365116,x,FALSE,FALSE,FALSE, 
514,ycfJ,0.001757505,0.039122622,n,FALSE,FALSE,FALSE, 
515,ycfQ,0.0039537,0.055669556,N,FALSE,FALSE,FALSE, 
516,ycfR,0.000568288,0.027379281,n,FALSE,FALSE,FALSE, 
517,ycfS,0.002150211,0.068542812,x,FALSE,FALSE,FALSE, 
518,lolD,0.001991755,0.113559197,x,FALSE,FALSE,FALSE, 
519,potD,0.001921247,0.08662537,n,TRUE,TRUE,TRUE,potD
520,potC,0.000235412,0.055800317,x,FALSE,FALSE,FALSE, 
521,potB,0.005081712,0.071002326,x,FALSE,FALSE,FALSE, 
522,ycfD,0.001193869,0.084251903,x,FALSE,FALSE,FALSE, 
523,minE,0,0.029198097,L,TRUE,TRUE,TRUE,minE
524,minD,0,0.023811734,L/n,FALSE,FALSE,TRUE,minCDE
525,minC,0.001419873,0.028760994,L/N,TRUE,TRUE,TRUE,minCDE
526,ycgJ,0.010682452,0.038704545,L/N,TRUE,TRUE,TRUE,ycgJ
527,ycgL,0.002312156,0.038264905,L/N,TRUE,TRUE,TRUE,ycgL
528,ycgM,0.001019027,0.046816808,l/n,FALSE,FALSE,FALSE, 
529,ycgN,0.001801163,0.024234355,l/n,TRUE,TRUE,TRUE,ycgN
530,fadR,0,0.053248203,x,FALSE,FALSE,FALSE, 
531,ycgB,0.000763425,0.047157611,x,FALSE,FALSE,FALSE, 
532,dadA,0.000763953,0.062826321,x,FALSE,FALSE,FALSE, 
533,dadX,0.004619767,0.051888372,x,FALSE,FALSE,FALSE, 
534,ldcA,0.00762685,0.049661734,x,FALSE,FALSE,FALSE, 
535,ychH,0,0.023537104,x,FALSE,FALSE,FALSE, 
536,ychM,0.000889958,0.054433192,x,FALSE,FALSE,FALSE, 
537,lolB,0.002306448,0.098232347,n,FALSE,FALSE,FALSE, 
538,hemA,0.005894926,0.151148203,x,FALSE,FALSE,FALSE, 
539,prfA,0.000218182,0.057664482,x,FALSE,FALSE,FALSE, 
540,prmC,0.005434038,0.054316808,x,FALSE,FALSE,FALSE, 
541,ychQ,0.00634334,0.025832347,x,FALSE,FALSE,FALSE, 
542,ychA,0.001006342,0.035609091,x,FALSE,FALSE,FALSE, 
543,kdsA,0.000614376,0.055468393,x,FALSE,FALSE,FALSE, 
544,chaA,0.002687632,0.043454017,x,TRUE,TRUE,TRUE,chaA
545,chaC,0.003386047,0.03232833,x,FALSE,FALSE,FALSE, 
546,ychN,0.00311723,0.033165116,x,FALSE,FALSE,FALSE, 
547,ychP,0.002561205,0.053871882,x,FALSE,FALSE,FALSE, 
548,narJ,0.004413848,0.079084672,x,FALSE,FALSE,TRUE,narGHJI
549,narI,0.000508562,0.087703488,l/n,FALSE,FALSE,TRUE,narGHJI
550,rssA,0.000707188,0.052440275,l/n,FALSE,FALSE,FALSE, 
551,galU,0.00025518,0.041313953,x,TRUE,TRUE,TRUE,galU
552,hns,0.000429598,0.018909831,l/n,TRUE,TRUE,TRUE,hns
553,tdk,0.003049683,0.028032135,L/N,TRUE,TRUE,TRUE,tdk
554,ychE,0.000109937,0.039242178,l/n,TRUE,TRUE,TRUE,ychE
555,oppC,0.000810254,0.046605285,x,FALSE,FALSE,TRUE,oppABCDF
556,oppD,0.001751374,0.057476744,x,FALSE,FALSE,TRUE,oppABCDF
557,oppF,0.000929387,0.068999894,n,FALSE,FALSE,TRUE,oppABCDF
558,yciU,0.000803911,0.028814799,N,FALSE,FALSE,TRUE,cls-yciU
559,tonB,0.003099049,0.051816913,l/N,FALSE,FALSE,FALSE, 
560,yciA,0.000803911,0.067956554,L/n,FALSE,FALSE,FALSE, 
561,yciB,0.00132537,0.044879598,l,FALSE,FALSE,TRUE,yciCB
562,ompW,0.021067759,0.156850846,l,TRUE,TRUE,TRUE,ompW
563,trpA,0.00572759,0.128491966,l/n,FALSE,FALSE,TRUE,yciVOQ
564,trpD,0.001525159,0.111233615,x,FALSE,FALSE,TRUE,yciVOQ
565,yciV,0.003636892,0.057827273,N,FALSE,FALSE,FALSE, 
566,yciO,0.000191015,0.087461099,n,FALSE,FALSE,FALSE, 
567,rluB,0.000952854,0.098395032,n,FALSE,FALSE,FALSE, 
568,btuR,0.005571882,0.123787844,x,FALSE,FALSE,FALSE, 
569,yciK,0.004638795,0.058733298,x,FALSE,FALSE,FALSE, 
570,sohB,0.002284989,0.080059091,x,FALSE,FALSE,FALSE, 
571,yciN,0.000236364,0.041349471,x,FALSE,FALSE,FALSE, 
572,topA,0.000863214,0.057599894,x,TRUE,FALSE,FALSE, 
573,cysB,0.00018203,0.0613574,x,TRUE,TRUE,TRUE,cysB
574,ribA,0.000937209,0.019606448,n,FALSE,FALSE,FALSE, 
575,pgpB,0.004749683,0.034720719,N,FALSE,FALSE,FALSE, 
576,yciM,0.000491332,0.070607188,x,FALSE,FALSE,FALSE, 
577,yciH,0.007212685,0.055039006,L,TRUE,TRUE,TRUE,yciSM-pyrF-yciH
578,rnb,0.001922622,0.035221459,n,FALSE,FALSE,FALSE, 
579,yciW,0.01433055,0.046973996,N,FALSE,FALSE,FALSE, 
580,fabI,0.00064334,0.026528013,n,FALSE,FALSE,FALSE, 
581,sapF,0.000517548,0.057662896,n,FALSE,FALSE,FALSE, 
582,sapD,5.91E-05,0.059277061,x,FALSE,FALSE,FALSE, 
583,sapC,0.000510359,0.06539334,x,FALSE,FALSE,FALSE, 
584,sapB,0.002712579,0.041911839,x,FALSE,FALSE,FALSE, 
585,sapA,0.002530655,0.092455074,x,FALSE,FALSE,FALSE, 
586,pspF,0.003771459,0.10474408,x,FALSE,FALSE,FALSE, 
587,pspA,0.004473044,0.075951586,x,FALSE,FALSE,FALSE, 
588,pspC,0.002928541,0.042208457,x,FALSE,FALSE,FALSE, 
589,pspE,0.003740803,0.038331501,n,TRUE,TRUE,TRUE,pspABCDE
590,ycjX,0.002762791,0.154938478,l,FALSE,FALSE,FALSE, 
591,tpx,0.00108129,0.019927167,x,FALSE,FALSE,FALSE, 
592,ynaI,0.002564799,0.061408245,L/N,TRUE,TRUE,TRUE,ynaI
593,uspE,0.000378436,0.039280127,x,FALSE,FALSE,FALSE, 
594,ydaL,0.003742178,0.059652326,x,FALSE,FALSE,FALSE, 
595,ydaN,0.000253594,0.053836258,x,FALSE,FALSE,TRUE,ydaN
596,dbpA,0.003889429,0.058191543,x,FALSE,FALSE,FALSE, 
597,ydaO,0.001769027,0.061142283,h/l/n,FALSE,FALSE,FALSE, 
598,uspF,0.001962896,0.018478858,l/n,TRUE,TRUE,TRUE,uspF
599,ydbK,0.0027037,0.077485307,x,TRUE,FALSE,FALSE, 
600,hslJ,0.012326427,0.039001903,x,FALSE,FALSE,FALSE, 
601,ydeP,0.002686364,0.06080148,H/L/N,TRUE,TRUE,TRUE,ydeP
602,yneI,0.004670402,0.065673784,x,FALSE,FALSE,FALSE, 
603,ydeA,0.001225793,0.075649894,l/n,FALSE,FALSE,FALSE, 
604,marC,0.001975793,0.076364271,n,FALSE,FALSE,FALSE, 
605,marR,0.001735307,0.049945877,N,FALSE,FALSE,FALSE, 
606,ynfA,0.005310042,0.051610782,N,FALSE,FALSE,FALSE, 
607,ynfB,0.007808457,0.030147357,n,FALSE,FALSE,FALSE, 
608,speG,0.001383404,0.035305603,l/n,TRUE,TRUE,TRUE,ynfB-speG
609,ynfC,0.003334355,0.076422622,L/N,TRUE,TRUE,TRUE,ynfC
610,dmsD,0.005139641,0.040547674,x,FALSE,FALSE,FALSE, 
611,ynfK,0.007873996,0.026053805,x,FALSE,FALSE,FALSE, 
612,dgsA,0.000955074,0.064213108,x,FALSE,FALSE,FALSE, 
613,ynfL,0.004306025,0.049863848,x,FALSE,FALSE,FALSE, 
614,ynfM,0.001321564,0.061793975,l,FALSE,FALSE,FALSE, 
615,ydgD,0.00442685,0.063202431,l,FALSE,FALSE,FALSE, 
616,mdtI,0.000915328,0.028304968,h,TRUE,TRUE,TRUE,mdtJI
617,pntB,0.000352326,0.045053805,x,FALSE,FALSE,TRUE,pntAB
618,pntA,0.001938901,0.04072981,x,FALSE,FALSE,TRUE,pntAB
619,ydgH,0.001976427,0.035235835,x,FALSE,FALSE,FALSE, 
620,ydgI,0.000806554,0.043651691,x,FALSE,FALSE,FALSE, 
621,folM,0.006129175,0.044598626,x,FALSE,FALSE,FALSE, 
622,rstA,0.005252431,0.043790381,x,FALSE,FALSE,FALSE, 
623,tus,0.004055391,0.071041649,x,FALSE,FALSE,FALSE, 
624,fumC,0.002352431,0.069816385,x,FALSE,FALSE,FALSE, 
625,manA,0.006228964,0.082195243,x,FALSE,FALSE,FALSE, 
626,ydgA,0.003830233,0.063910571,n,FALSE,FALSE,FALSE, 
627,uidR,0.001283721,0.040863953,l/N,FALSE,FALSE,FALSE, 
628,hdhA,0.003002326,0.096238055,L/n,TRUE,TRUE,TRUE,hdhA
629,malI,0.002217442,0.044915433,l,TRUE,FALSE,FALSE, 
630,malY,0.004952326,0.075033932,x,FALSE,FALSE,FALSE, 
631,add,0.002802643,0.038678118,x,FALSE,FALSE,FALSE, 
632,ydgJ,0.002828753,0.064110465,x,TRUE,TRUE,TRUE,ydgJ
633,ydgK,0,0.034392706,x,TRUE,TRUE,TRUE,ydgK-rsxABCDGE-nth
634,rsxA,0.000899577,0.039968076,x,TRUE,TRUE,TRUE,ydgK-rsxABCDGE-nth
635,rsxB,0.002202431,0.025950634,x,FALSE,FALSE,TRUE,ydgK-rsxABCDGE-nth
636,rsxC,0.004841755,0.068648203,x,FALSE,FALSE,TRUE,ydgK-rsxABCDGE-nth
637,rsxD,0.004501057,0.042425899,x,FALSE,FALSE,TRUE,ydgK-rsxABCDGE-nth
638,rsxG,0.004619027,0.033358562,x,FALSE,FALSE,TRUE,ydgK-rsxABCDGE-nth
639,rsxE,0.005047357,0.022245983,x,FALSE,FALSE,TRUE,ydgK-rsxABCDGE-nth
640,nth,0.00213055,0.056480338,x,FALSE,FALSE,TRUE,ydgK-rsxABCDGE-nth
641,ydgR,0.001495349,0.041595772,x,FALSE,FALSE,TRUE,tppB
642,gst,0.002972093,0.047220719,x,FALSE,FALSE,FALSE, 
643,pdxY,0.001846512,0.050359408,x,FALSE,FALSE,FALSE, 
644,pdxH,0.002262156,0.051223467,x,FALSE,FALSE,FALSE, 
645,ydhA,0.008541015,0.105255814,x,FALSE,FALSE,FALSE, 
646,ydhH,0.002488266,0.052395983,x,FALSE,FALSE,FALSE, 
647,slyB,0.003911522,0.065771987,x,FALSE,FALSE,FALSE, 
648,slyA,0.001656977,0.030911311,n,TRUE,TRUE,TRUE,slyA
649,ydhK,0.004517865,0.053671987,n,FALSE,FALSE,FALSE, 
650,sodC,0.00254778,0.041618393,x,FALSE,FALSE,FALSE, 
651,ydhM,0.00757981,0.057887421,n,FALSE,FALSE,FALSE, 
652,gloA,0.001984884,0.036411522,x,FALSE,FALSE,FALSE, 
653,rnt,0.000691226,0.042410254,x,FALSE,FALSE,FALSE, 
654,ydhD,0,0.033357505,n,FALSE,FALSE,FALSE, 
655,sodB,0.000308774,0.033109302,n,FALSE,FALSE,FALSE, 
656,ydhP,0.002585729,0.04745222,x,FALSE,FALSE,FALSE, 
657,purR,0.000666173,0.054980233,x,FALSE,FALSE,FALSE, 
658,ydhB,0.001641543,0.064952326,x,FALSE,FALSE,FALSE, 
659,ydhC,0.001868922,0.053316068,x,FALSE,FALSE,FALSE, 
660,cfa,0.000951163,0.051540486,x,FALSE,FALSE,FALSE, 
661,ribC,0.000798943,0.059489641,x,FALSE,FALSE,FALSE, 
662,mdtK,0.001854545,0.056008985,x,FALSE,FALSE,FALSE, 
663,ydhQ,0.007484989,0.058966279,l,FALSE,FALSE,FALSE, 
664,ydhU,0.009675476,0.039055814,N,FALSE,FALSE,TRUE,ydhYVWXUT
665,ydhW,0.008320402,0.046227061,n,FALSE,FALSE,TRUE,ydhYVW
666,ydhY,0.000504545,0.013589323,N,TRUE,TRUE,TRUE,ydhYVW
667,pykF,0.000365856,0.040719345,x,TRUE,FALSE,TRUE,pykF
668,sufE,0.004964059,0.119769767,x,FALSE,FALSE,FALSE, 
669,sufS,0.003521036,0.106183932,x,FALSE,FALSE,FALSE, 
670,sufD,0.006539429,0.068302748,x,FALSE,FALSE,FALSE, 
671,sufC,0.003228224,0.063178436,x,FALSE,FALSE,FALSE, 
672,ydiI,0.003966279,0.057342389,l,FALSE,FALSE,FALSE, 
673,ydiK,0.001590063,0.048457505,n,TRUE,FALSE,FALSE, 
674,ydiB,0.002441649,0.076997569,x,TRUE,TRUE,TRUE,ydiNB-aroD
675,aroD,0.004644292,0.042122093,x,TRUE,TRUE,TRUE,ydiNB-aroD
676,pps,0.00103351,0.065472516,x,TRUE,TRUE,TRUE,ppsA
677,ydiA,0.000360254,0.055469979,x,TRUE,TRUE,TRUE,ppsR
678,aroH,0.001297886,0.044811734,n,FALSE,FALSE,FALSE, 
679,nlpC,0.003552748,0.038931712,N,TRUE,TRUE,TRUE,nlpC
680,btuD,0.002181501,0.042582347,n,FALSE,FALSE,FALSE, 
681,btuE,0.006292495,0.063968499,x,FALSE,FALSE,FALSE, 
682,btuC,0.003447146,0.03109482,x,FALSE,FALSE,FALSE, 
683,pheS,0.000639429,0.048558668,x,FALSE,FALSE,TRUE,thrS-infC-rpmI-rplT-pheMST-ihfA
684,rplT,0,0.008840169,x,FALSE,FALSE,TRUE,thrS-infC-rpmI-rplT-pheMST-ihfA
685,thrS,0.000659302,0.036607082,n,TRUE,TRUE,TRUE,thrS-infC
686,pfkB,0.007160359,0.048989852,n,TRUE,TRUE,TRUE,pfkB
687,yniA,0.00187611,0.053675899,n,TRUE,FALSE,FALSE, 
688,yniC,0.00206723,0.064891438,n,FALSE,FALSE,FALSE, 
689,ydjM,0.001217019,0.048326744,N,FALSE,FALSE,FALSE, 
690,ydjN,0.00230666,0.058128224,l/n,FALSE,FALSE,FALSE, 
691,cedA,0.014403911,0.076729598,l/n,FALSE,FALSE,FALSE, 
692,katE,0.003158245,0.089538795,x,FALSE,FALSE,FALSE, 
693,chbF,0.004095137,0.073064588,x,TRUE,TRUE,TRUE,chbBCARFG
694,chbR,0.002028753,0.0418963,x,TRUE,TRUE,TRUE,chbBCARFG
695,chbB,0.000190909,0,H,TRUE,TRUE,TRUE,chbBCARFG
696,nadE,0.005126427,0.054575899,x,FALSE,FALSE,FALSE, 
697,ydjQ,0.009140275,0.101402114,n,FALSE,FALSE,FALSE, 
698,spy,0.00374482,0.017120085,n,TRUE,TRUE,TRUE,spy
699,astE,0.002734355,0.056619027,x,TRUE,TRUE,TRUE,astE
