acpH b0404
ftsI b0084
gpmB b4395
glpD b3426
gspE b3326
hcxB b0801
gutQ b2708
gspI b3330
gudP b2789
kbaZ b3132
kefB b3350
ldrC b4423
leuC b0072
lasT b4403
mgtL b4702
lrhA b2289
lldR b3604
livM b3456
menA b3930
mcrB b4346
marA b1531
mlaF b3195
mnmE b3706
murR b2427
murJ b1069
nanR b3226
narU b1469
allR b0506
artQ b0862
hcaB b2541
guaC b0104
gspM b3334
gss b2988 
hpt b0125 
ilvN b3670
insZ b4573
insD3 b199
insB3 b027
insB5 b189
iclR b4018
rdgB b2954
fadD b1805
livF b3454
malY b1622
menC b2261
moeA b0827
moaE b0785
moaA b0781
motB b1889
mukF b0922
dkgB b0207
dlgD b3575
emrK b2368
epmB b4146
yeiP b2171
eno b2779 
fadE b0221
fabI b1288
fliE b1937
folC b2315
flgD b1075
fimF b4318
gspH b3329
guaD b2883
hemD b3804
higA b3082
aat b0885 
pheM b1715
melR b4118
mak b0394 
mdtA b2074
malQ b3416
miaB b0661
mnmC b2324
moaD b0784
thrA b0002
arnE b4544
bamA b0177
bfr b3336 
bolA b0435
cynX b0341
deoB b4383
hrpB b0148
inaA b2237
insB2 b026
insL1 b001
intD b0537
ibpA b3687
ispA b0421
gmk b3648 
lgoR b4357
lptG b4262
luxS b2687
metK b2942
mreC b3250
msrQ b1972
mqo b2210 
yfdE b2371
aaeR b3243
aslA b3801
eutC b2440
fdoG b3894
fdoH b3893
glcD b2979
gfcC b0985
gntR b3438
gmhA b0222
gspG b3328
gstB b0838
gudD b2787
hofQ b3391
mhpE b0352
hscB b2527
yrfF b3398
iraM b1160
kduI b2843
kdgR b1827
mltD b0211
mngA b0731
mrdA b0635
elfD b0939
fbp b4232 
fepD b0590
fucK b2803
hisI b2026
ibaG b3190
cmk b0910 
lexA b4043
ldrD b4453
lolC b1116
marR b1530
malM b4037
maa b0459 
mltF b2558
mgsA b0963
mlaB b3191
mngR b0730
abgR b1339
allC b0516
amiC b2817
allD b0517
alaE b2670
dapE b2472
ddlA b0381
dcyD b1919
dcm b1961 
frlD b3374
gapA b1779
ftsW b0089
glgB b3432
glcC b2980
glaH b2659
grxA b0849
glrR b2554
glsA2 b152
glxK b0514
gmhB b0200
hicA b4532
hxpB b1727
intA b2622
ibsB b4668
iscS b2530
kup b3747 
cadA b4131
lldP b3603
lit b1139 
hybO b2997
azoR b1412
cbl b1987 
ggt b3447 
glpX b3925
greB b3406
gcvT b2905
gppA b3779
gpr b3001 
hdhA b1619
gspA b3323
guaA b2507
waaA b3633
kdsD b3197
kdsA b1215
yniA b1725
kgtP b2587
lgoD b4358
lysR b2839
lsrG b1518
ltaE b0870
marC b1529
mepM b1856
araD b0061
arsC b3503
gpmA b0755
glvG b4556
hisF b2025
hslU b3931
hslJ b1379
idnK b4268
ihfB b0912
insH1 b025
insD1 b036
insA1 b002
iscU b2529
leuL b0075
thrL b0001
lsrC b1514
mdlB b0449
mdlA b0448
mdfA b0842
arfB b0191
bepA b2494
atpI b3739
bluR b1162
dcrB b3472
degQ b3234
dicB b1575
gcvH b2904
gfcE b0983
hemC b3805
hisB b2022
hofO b3393
hokC b4412
intG b1936
insF4 b102
insH2 b055
insH4 b133
insE3 b054
insG b4278
insL2 b058
ivy b0220 
rsfS b0637
ldcC b0186
accC b3256
ydgI b1605
yahI b0323
argE b3957
amyA b1927
aroF b2601
btsR b2125
gfcB b0986
yggF b2930
gsiA b0829
hcaD b2542
yfdG b2350
hisA b2024
hldD b3619
hyaF b0977
hslV b3932
idnD b4267
insI1 b025
insF3 b054
insD4 b286
insE4 b102
insA9 b470
ibsE b4666
ibpB b3686
ispE b1208
ppa b4226 
astB b1745
arpA b4017
bioH b3412
basR b4113
ddpD b1484
polB b0060
emrA b2685
flgH b1079
gadX b3516
gfcD b0984
glcE b4468
hybE b2992
hyfJ b2490
hybB b2995
htrE b0139
ilvY b3773
intS b2349
insD8 b157
intQ b1579
intZ b2442
ycjT b1316
lptC b3199
aroB b3389
fecE b4287
flhB b1880
fliD b1924
fliL b1944
garD b3128
glpQ b2239
glnQ b0809
hemL b0154
hcxA b0599
hofB b0107
hycC b2723
holC b4259
idi b2889 
ilvB b3671
ilvD b3771
insA2 b026
insL3 b239
tmk b1098 
kdpA b0698
thrB b0003
fhuC b0151
fmt b3288 
fucI b2802
gatR b4498
ftsP b3017
ghoS b4128
glaR b2664
ghrB b3553
glpT b2240
ybiW b0823
ybhK b0780
gndA 
gltJ b0654
hcaE b2538
gyrA b2231
hdeD b3511
yfdH b2351
hiuH b1970
hisP b2306
hsrA b3754
hslR b3400
iadA b4328
iraD b4326
ispD b2747
iraP b0382
kefC b0047
accB b3255
gadC b1492
fxsA b4140
ftsZ b0095
glk b2388 
glyA b2551
gnsB b1550
hcaF b2539
gspB b3322
gshA b2688
hflD b1132
hemW b2955
hemY b3802
hyfC b2483
hslO b3401
infB b3168
gsk b0477 
ilvM b3769
insC4 b286
insH7 b203
agaI b3141
arfA b4550
dsbG b0604
efp b4147 
sbcB b2011
erfK b1990
fecB b4290
fecD b4288
fliT b1926
flgF b1077
garR b3125
fimZ b0535
frdA b4154
hypB b2727
hokD b1562
hydN b2713
hokE b4415
holD b4372
insH21 b47
insH10 b32
kdsC b3198
kdgK b3526
bioB b0775
fadK b1701
eutP b2461
ettA b4391
flk b2321 
fliG b1939
fliO b1947
fucR b2805
galR b2837
fumC b1611
zwf b1852 
ftsL b0083
glgC b3430
glnB b2553
htpG b0473
holE b1842
hyfA b2481
hybA b2996
hyfI b2489
ilvH b0078
ilvI b0077
ilvA b3772
insF5 b208
insH8 b219
insA7 b429
intR b1345
insJ b3557
ampD b0110
agaR b3131
pepN b0932
avtA b3572
dctA b3528
dgcP b1794
dmsC b0896
emrB b2686
tufA b3339
fabZ b0180
flhE b1878
fliA b1922
fliS b1925
flgC b1074
fimA b4314
fsaB b3946
hflK b4174
hycF b2720
ilvE b3770
ilvX b4669
insA4 b451
insN1 b025
speG b1584
betI b0313
ccmH b2194
cmoB b1871
glnP b0810
hcr b0872 
hdeA b3510
hdeB b3509
hprR b1969
hpf b3203 
hyaE b0976
hypE b2730
hofN b3394
hyfH b2488
htpX b1829
hscC b0650
ihfA b1712
alkB b2212
cecR b0796
citG b0613
cspC b1823
gltB b3212
gspK b3332
gudX b2788
hflC b4175
hxpA b2293
hyfF b2486
ilvG b4488
ansP b1453
eda b1850 
araA b0062
atpE b3737
atpF b3736
cysB b1275
dpiA b0620
entF b0586
exbB b3006
fucA b2800
gabD b2661
galU b1236
gdx b4148 
hemN b3867
folK b0142
hscA b2526
hycB b2724
anmK b1640
mrp b2113 
arnD b2256
artJ b0860
aroC b2329
epd b2927 
ecnA b4410
dnaE b0184
elbB b3209
fadH b3081
fklB b4207
fumE b2929
ftsH b3178
glcA b2975
glnD b0167
grcA b2579
glpG b3424
acrB b0462
ariR b1166
bcsB b3532
ygbT b2755
cysD b2752
ddpB b1486
ddlB b0092
speF b0693
dusB b3260
gnsA b4517
gmm b2051 
gntT b3415
glpF b3927
hchA b1967
hflX b4173
croE b1146
dacD b2010
hupA b4000
degP b0161
dsdC b2364
dnaQ b0215
engB b3865
eutR b2437
fabG b1093
yggX b2962
flgL b1083
fliC b1923
fdoI b3892
flgI b1080
fiu b0805 
flgG b1078
fixA b0041
frdB b4153
fsaA b0825
ftsK b0890
glgX b3431
glf b2036 
glmU b3730
greA b3181
gloB b0212
cobC b0638
clcB b1592
clpA b0882
csdA b2810
crp b3357 
cohE b1145
dicC b1569
efeU b4490
dnaX b0470
elaD b2269
elyC b0920
fhuB b0153
fis b3261 
fdhD b3895
frdC b4152
fumA b1612
fucP b2801
gatZ b2095
frlC b4474
gatD b2091
glpB b2242
glnH b0811
aaeA b3241
ybbW b0511
abrB b0715
alaA b2290
ampC b4150
pepA b4260
acrF b3266
arsR b3501
btsS b2126
bioD2 b159
coaA b3974
cspB b1557
cyaA b3806
cydB b0734
cynR b0338
cusB b0574
dcuS b4125
gmd b2053 
artM b0861
dnaA b3702
dgcC b0385
epmA b4155
fabD b1092
xseA b2509
eutJ b2454
fliH b1940
fliR b1950
fepE b0587
fepA b0584
fimH b4320
fur b0683 
frmA b0356
gadE b3512
ybdK b0581
glpE b3425
gltL b0652
hcp b0873 
yfhM b2520
alsK b4084
alr b4053 
aqpZ b0875
erpA b0156
fliZ b1921
fixC b0043
fnr b1334 
fliM b1945
fes b0585 
gadW b3515
ghxP b4064
gpsA b3608
pflD b3951
ccmB b2200
can b0126 
cra b0080 
cyoB b0431
gcvR b2479
ghoT b4559
ghxQ b4464
glsA1 b048
gltP b4077
grxD b1654
gltF b3214
gsiC b0831
hdfR b4480
dlsT b3110
emrY b2367
envC b3613
gpmI b3612
glrK b2556
gltS b3653
allS b0504
pepP b2908
aslB b3800
astA b1747
aroP b0112
def b3287 
dinQ b4613
dnaJ b0015
fabA b0954
fdnG b1474
fhuF b4367
fhuA b0150
fpr b3924 
fic b3361 
fimB b4312
fhuE b1102
frmR b0357
ftsY b3464
ftsN b3933
mutM b3635
glgS b3049
gfcA b0987
deoC b4381
dgt b0160 
elfC b0940
entS b0591
fadR b1187
flhA b1879
fliK b1943
galF b2042
frlB b3371
arnF b2258
cspD b0880
eamB b2578
ecpE b0289
dppA b3544
eaeH b0297
dsbC b2893
dsbA b3860
entB b0595
exbD b3005
fadL b2344
fdrA b0518
fepG b0589
fldB b2895
fumB b4122
frsA b0239
gcvA b2808
grxC b3610
acpT b3475
dcuR b4124
decR b0447
gadA b3517
dgoR b4479
dmlR b1799
dhaK b1200
dsbB b1185
entC b0593
fabR b3963
fecI b4293
flgK b1082
flgJ b1081
fkpA b3347
feoC b3410
feoA b3408
fbpC b0262
frdD b4151
gabT b2662
apaH b0049
dcuA b4138
dmsD b1591
lpdA b0116
dsrB b1952
dpiB b0619
fecR b4292
fimG b4319
gatY b2096
fsr b0479 
pgi b4025 
ftsQ b0093
ycjM b1309
glcF b4467
glmM b3176
ahpC b0605
acpP b1094
dgcM b1341
djlA b0055
dtpA b1634
dtpB b3496
endA b2945
nei b0714 
elaB b2266
eutK b2438
fdx b2525 
focB b2492
fliJ b1942
fliP b1948
gabP b2663
galS b2151
ftnA b1905
aroM b0390
hupB b0440
gdhA b1761
dgcQ b1956
ysgA b3830
emrD b3673
entA b0596
evgS b2370
eutS b2462
etk b0981 
etp b0982 
fepB b0592
fdnI b1476
galP b2943
frvR b3897
frvX b3898
garL b3126
aldB b3588
adeQ b3664
cyoA b0432
cyoC b0430
dinG b0799
hemE b3997
ndh b1109 
dld b2133 
ebgC b3077
dxs b0420 
dut b3640 
dnaN b3701
dinB b0231
emtA b1193
envR b3264
entE b0594
btuB b3966
uidA b1617
bglH b3720
blc b4149 
bglJ b4366
bssS b1060
bsmA b4189
caiD b0036
citE b0616
cueO b0123
cusR b0571
cysZ b2413
cysW b2423
dacC b0839
tatC b3839
tadA b2559
tolQ b0737
thiD b2103
trkH b3849
tusA b3470
tus b1610 
tolC b3035
trkG b1363
truB b3166
sgrT b4662
sdhA b0723
ssuB b0933
stfR b1372
leuS b0642
tdh b3616 
ttdA b3061
ttdT b3063
ytfQ b4227
ytfK b4217
yqgF b2949
yqcA b2790
ulaE b4197
ugpQ b3449
wcaC b2057
xylG b3567
wzb b2061 
yshB b4686
zntA b3469
zur b4046 
ytfT b4230
yeaD b1780
yafN b0232
ybhL b0786
yeaL b1789
yafW b0246
yagH b0271
ybhQ b0791
yahF b0320
yccJ b1003
ybiT b0820
yagE b0268
yahK b0325
ybjC b0850
yecJ b4537
ybjJ b0845
yecM b1875
yajI b0412
yecR b1904
yajO b0419
yajQ b0426
ydiY b1722
yceQ b1085
ydjH b1772
ydjL b1776
yejA b2177
ydcZ b1447
ydcK b1428
yejG b2181
yeeT b2003
ydfB b1572
ydfZ b1541
ycgZ b1164
ydhR b1667
ybaQ b0483
ycjX b1321
ybcK b0544
ycjO b1311
yhaC b3121
ybdL b0600
ygiQ b4469
ymfA b1122
ygcO b2767
ypjK b2635
ygcW b2774
yjbE b4026
yjfK b4183
yneJ b1526
yjeO b4158
ymfS b1155
yicS b4555
ylcI b4589
yjgR b4263
yjgM b4256
yjhP b4306
ynfH b1590
yghO b2981
yfgD b2495
yjiM b4335
ynfU b4776
ynfG b1589
yhdV b3267
yihY b3886
yoeF b4538
yfbP b2275
yiiM b3910
yidP b3684
yidK b3679
yhiI b3487
ykiA b0392
yhiJ b3488
yigZ b3848
yoaC b1810
yniB b1726
yfcQ b2334
yfdO b2358
yqgG b4784
yrhD b4612
yrbN b4685
ysaE b4793
yqiA b3031
xisE b1141
xylE b4031
wcaF b2054
wecE b3791
wzc b2060 
wbbI b2034
yqeB b2875
ynbC b1410
yqcG b4682
yojI b2211
yidH b3676
yhfS b3376
ykgE b0306
yqaA b2689
yoaJ b4675
yhjC b3521
yfdV b2372
yrbG b3196
zntB b1342
skp b0178 
sixA b2340
syd b2793 
metG b2114
thiL b0417
ybfD b0706
yaeP b4406
yaeH b0163
ycaK b0901
yafP b0234
yagJ b0276
yahE b0319
ybiU b0821
yceA b1055
yahN b0328
ydiS b1699
yaaY b0024
yadW b4728
ydfE b1577
yehW b2128
ydhK b1645
ybeT b0647
ybeL b0643
ycjW b1320
ypdE b2384
ycjP b1312
yhaL b3107
yhbP b3154
ymdF b4518
yjbG b4028
yphA b2543
ygiN b3029
yjbT b4620
yjbL b4047
yicC b3644
ymfI b1143
yncP b4774
ygeP b2862
yjdM b4108
ylbH b0499
yqcE b2775
yfiM b2586
yiaT b3584
yqfE b2915
yqfA b2899
yhdJ b3262
yrhA b3443
yrbL b3207
ydhI b1643
ytfE b4209
ykfH b4504
ykiE b4801
yhhT b3474
yfcA b2327
yhiY b4790
ynjH b1760
ysaB b4553
ytfB b4206
yqiK b3051
add b1623 
ahr b4269 
arnB b2253
csrD b3252
cpxP b4484
ddpX b1488
dinI b1061
djlC b0649
ecpB b0292
dppF b3540
fkpB b0028
fepC b0588
folX b2303
alaC b2379
aer b3072 
malS b3571
astC b1748
ddpF b1483
ddpA b1487
dinF b4044
entD b0583
fabH b1091
fabF b1095
exuT b3093
exuR b3094
fecC b4289
flhD b1892
fimI b4315
aaeB b3240
asnA b3744
dinD b3645
dgoK b3693
diaA b3149
dusC b2140
epmC b2326
envY b0566
fabB b2323
eutE b2455
folB b3058
abgA b1338
metL b3940
acuI b3253
atoB b2224
copA b0484
nth b1633 
eutG b2453
evgA b2369
feaR b1384
exoX b1844
fixB b0042
adiC b4115
appB b0979
dcp b1538 
eamA b1533
ebgR b3075
eco b2209 
dsbE b2195
entH b0597
elfA b0938
xthA b1749
fadB b3846
eutA b2451
acnA b1276
ydjG b1771
nudF b3034
flu b2000 
cutA b4137
cysE b3607
deaD b3162
dinJ b0226
gcd b0124 
dgcJ b1786
dgcF b1522
dhaM b1198
dxr b0173 
tag b3549 
birA b3973
atoE b2223
blr b4409 
carB b0033
dcuD b3227
dnaG b3066
eptB b3546
fadI b2342
eutQ b2460
alkA b2068
ygfA b2912
argK b2918
cutC b1874
dacB b3182
ddpC b1485
sdhD b0722
ecpD b0290
dosC b1490
btuE b1710
cmoM b0921
crcB b0624
dgoT b3691
dnaC b4361
dgcN b2604
efeO b1018
dppD b3541
dsdX b2365
era b2566 
arcC b0521
apaG b0050
dedA b2317
dnaB b4052
folP b3177
dmsA b0894
djlB b0646
ecpA b0293
edd b1851 
dusA b4049
emrE b0543
nfo b2159 
tsf b0170 
evgL b4781
ada b2213 
clsC b1046
codB b0336
cycA b4208
dps b0812 
adeP b3714
atoC b2220
ccmF b2196
cmoA b1870
creD b4400
corC b0658
cpdA b3032
dauA b1206
deoR b0840
gadB b1493
asd b3433 
dmlA b1800
dksA b0145
aaaT b3441
amn b1982 
agaA b3135
alsC b4086
agp b1002 
atpB b3738
cspH b0989
cydA b0733
dcd b2065 
dnaK b0014
ligA b2411
mglB b2150
dgcI b0834
dgcZ b1535
dmsB b0895
accD b2316
alx b3088 
appX b4592
cytR b3934
cusC b0572
cusS b0570
cysP b2425
deoD b4384
dam b3387 
dicA b1570
sdhC b0721
der b2511 
fusA b3340
asmA b2064
ccmC b2199
cdgI b1785
coaE b0103
cynT b0339
cstA b0598
yfaS b4500
aaeX b3242
yfbR b2291
corA b3816
cusF b0573
curA b1449
digH b1491
dhaR b1201
dosP b1489
dtd b3887 
ecpR b0294
folA b0048
dppB b3543
dppC b3542
bcsA b3533
katE b1732
csqR b3884
dcuC b0621
dhaL b1199
ecpC b0291
ecnB b4411
polA b3863
alsA b4087
fbaA b2925
araB b0063
ansB b2957
atpH b3735
cdaR b0162
clpP b0437
cobU b1993
cof b0446 
cynS b0340
cusA b0575
cysU b2424
cysM b2421
aroD b1693
ebgA b3076
mgtA b4242
chiQ b0682
csgG b1037
cysQ b4214
dacA b0632
bamD b2595
speC b2965
dedD b2314
damX b3388
dgoA b4477
ygeX b2871
dgoD b4478
dkgA b3012
amtB b0451
arpB b4494
cheA b1888
yfaY b2249
cheR b1884
cydC b0886
cysK b2414
cysG b3368
yqfB b2900
acnB b0118
appY b0564
arsB b3502
bssR b0836
cpxR b3912
codA b0337
cueR b0487
cyaY b3807
yqeA b2874
asnB b0674
caiT b0040
ygcB b2761
casD b2757
cbrB b3716
cdsA b0175
clpB b2592
gltA b0720
citC b0618
creA b4397
csgA b1042
cydX b4515
cbtA b2005
cfa b1661 
chaC b1218
crfC b4109
cyoD b0429
dadA b1189
argP b2916
araF b1901
bioD1 b077
beeE b1151
chiA b3338
cheW b1887
clpX b0438
cyoE b0428
hyaC b0974
cysI b2763
apbE b2214
lacZ b0344
cbrC b3717
caiC b0037
groS b4142
chaA b1216
cnu b1625 
creB b4398
casA b2760
csgE b1039
csgF b1038
cpoB b0742
cpxA b3911
cysN b2751
araH b4460
bioF b0776
bluF b1163
cbeA b2004
cadB b4132
ccmE b2197
chiP b0681
cdd b2143 
casB b2759
bioA b0774
bcsG b3538
ppc b3956 
caiB b0038
chpB b4225
cnoX b0492
cspF b1558
creC b4399
alsB b4088
adiA b4117
ycjG b1325
basS b4112
chbR b1735
cdh b3918 
clsA b1249
cspI b1552
csdE b2811
crl b0240 
acs b4069 
arnT b2257
bax b3570 
carA b0032
rne b1084 
roxA b1128
rpsK b3297
rraA b3929
rpsC b3314
rssA b1234
rssB b1235
sapD b1291
thiC b3994
thiG b3991
ubiJ b3834
ubiK b3042
ulaG b4192
usg b2319 
uspA b3495
ygdG b2798
wcaJ b2047
waaU b3623
ydgA b1614
yaaU b0045
ydhS b1668
ydiB 
ydhY b1674
ydhU b1670
yciY b4595
ybcI b0527
ycjF b1322
ybaP b0482
yciQ b1268
yjcF b4066
ygdR b2833
ymfD b1137
yncI b1459
yjcS b4083
yggE b2922
ymgA b1165
yneL b1506
yjhF b4296
yhjY b3548
yffL b2443
yjiN b4336
ymgJ b4594
yjjY b4402
yfgI b2506
ymjC b4525
yfjR b2634
yjjP b4364
ynaK b1365
yhdY b3270
yibL b3602
yhdX b3269
yidZ b3711
ynaE b1375
ykgV b4729
yhdT b3257
yhgP b4789
yhiL b4660
yhhH b3483
yigI b3820
yhhW b3439
ynjA b1753
nadB b2574
nrdI b2674
nrfB b4071
nrfC b4072
ompG b1319
pflA b0902
phoR b0400
plaP b2014
pfkA b3916
pepB b2523
ppnN b2795
puuD b1298
puuP b1296
srlE b2703
spy b1743 
soxS b4062
srlR b2707
sxy b0959 
wcaA b2059
wcaK b2045
xylB b3564
wecA b3784
xdhD b2881
ybgA b0707
ybfF b0686
ycaO b0905
ycbF b0944
yagU b0287
ybhH b0769
yaiS b0364
yebT b1834
ycfT b1115
yehI b2118
yehX b2129
yciE b1257
yhaK b3106
ycjS b1315
ybbJ b0488
yhaH b3103
yphG b2549
yhcG b3220
ypjI b4644
ygaQ b4462
ygcP b2768
ygiS b3020
ygbA b2732
ygbN b2740
yjeI b4144
ygfZ b2898
yncE b1452
yjfY b4199
yicN b3663
yldA b4734
yjdP b4487
ylbF b0520
yjcE b4065
yjgA b4234
yidA b3697
ylcJ b4733
yneK b1527
yjhD b4281
yjfL b4184
yghB b3009
yjiE b4327
yjiS b4341
ynfD b1586
yfeZ b2433
yfeW b2430
ynfO b4533
ynfQ b4724
yffO b2446
yffQ b2448
yffB b2471
ymgI b4593
ymiA b4522
yjjW b4379
ymiB b4672
yfhR b2534
yqeF b2844
yoeB b4539
yiiE b3889
yidQ b3688
yihO b3876
yidE b3685
yrhB b3446
yobH b4536
ysaA b3573
zupT b3040
nanS b4309
narJ b1226
nrfF b4075
opgE b0815
argF b0273
pbl b2854
potE b0692
potB b1125
prpB b0331
psuT b2164
purK b0522
puuA b1297
ptsP b2829
cmtB b2934
purE b0523
rplU b3186
rpmI b1717
rlmC b0859
rpsE b3303
sgbH b3581
serC b0907
speD b0120
sodB b1656
stfE b1157
ycgN b1181
ydhL b1648
ydhP b1657
yciC b1255
yciW b1287
ypdK b4680
ypeC b2390
yhbY b3180
yphE b2547
yjbF b4027
yphB b2544
yjbQ b4056
ygaM b2672
yjbM b4048
ygiD b3039
ypjB b2649
yicL b3660
yjcO b4078
ygdB b2824
yncJ b1436
ygfB b2909
yncL b4598
yggN b2958
yjhX b4566
yhjR b3535
yjhU b4295
yjhV b4286
yjhI b4299
yjiA b4352
yfeY b2432
ynhG b1678
yjjU b4377
yfiE b2577
yjiQ b4339
ypaA b4543
yfjP b2632
yihM b3873
yjjQ b4365
yqfH b4753
yhfA b3356
yohF b2137
yfaQ b2226
yihG b3862
ytiB b4767
ytiC b4720
yraJ b3144
yraH b3142
yqiJ b3050
yqjA b3095
yqjK b3100
rpoC b3988
rpsQ b3311
rpsO b3165
rspB b1580
sbcD b0398
sgcQ b4303
yihU b3882
srmB b2576
sohB b1272
thiP b0067
trmD b2607
ytcA b4622
ytfH b4212
ytfL b4218
ytfR b4485
ytgA b4800
zapC b0946
zipA b2412
ptsN b3204
frvA b3900
rnd b1804 
rnr b4179 
rpe b3386 
rpoS b2741
rpsS b3316
sgcA b4302
srkA b3859
slt b4392 
slyX b3348
ssuD b0935
sufA b1684
sufD b1681
cysS b0526
tcyL b1918
tauD b0368
tehB b1430
tamB b4221
tyrS b1637
thiM b2104
ygjP b3085
uspB b3494
uspC b1895
ulaA b4193
xerD b2894
ybfE b0685
ybjX b0877
ybgS b0753
yafD b0209
yagN b0280
yebF b1847
yebO b1825
yecN b1869
yecF b1915
yceM b1068
ydjJ b1774
ydjX b1750
ydaT b1358
yeiQ b2172
yceO b1058
yedD b1928
yeeY b2015
ydeS b1504
ydfJ b1543
yegJ b2071
yegL b2073
yadG b0127
yaaJ b0007
yehM b2120
ydgJ b1624
yehK b4541
yehY b2130
yeiB b2152
ybbC b0498
yhaJ b3105
ycjR b1314
yhbE b3184
yhbO b3153
ypfJ b2475
ymdA b1044
yjaH b4001
ypfG b2466
yhcC b3211
yhcA b3215
ypfH b2473
yhcO b3239
ygaY b2681
ygcU b4463
ygjR b3087
yjfI b4181
yjdJ b4127
yneG b1523
yggP b4465
yggR b2950
yhdN b3293
yfiF b2581
yibA b3594
yqgC b2940
yfiR b2603
yqcC b2792
yfaL b2233
yfaZ b2250
yfjD b4461
yiaA b3562
yfbM b2272
yfcU b4661
yfdY b2377
yobA b1841
yobF b1824
ythB b4802
yqjC b3097
yqiI b3048
yrdA b3279
yqhJ b4786
zapA b2910
znuB b1859
ytfP b4222
znuC b1858
yhhQ b3471
queE b2777
rapA b0059
rluB b1269
frr b0172 
rpsN b3307
rseD b4725
selD b1764
sufS b1680
thyA b2827
ulaR b4191
uppP b3057
uvrD b3813
ves b1742 
yaeI b0164
ybfI b4636
ybfB b0702
yaeQ b0190
ybjQ b0866
ybhD b0768
ybgU b4735
ybgV b4768
ybhA b0766
ybiO b0808
yahB b0316
yagK b0277
ycbV b0943
yagL b0278
yecT b1877
yceK b1050
ydcF b1414
ydjY b1751
yciA b1253
yacG b0101
ydcR b1439
yeiL b2163
yddA b1496
yedL b1932
yddB b1495
yeeE b2013
yadM b0138
yeeR b2001
ycfH b1100
yadI b0129
ydgU b4601
ycgB b1188
ydfW b1567
ygcR b2770
ygfM b2880
ygeF b2850
yjfZ b4204
yjfN b4188
ynfA b1582
yjhG b4297
yfeK b2419
yfgJ b2510
yibD b3615
yfjK b2627
ynbB b1409
ykfF b0249
ykgH b0310
yhfT b3377
yhiM b3491
yoaE b1816
yfcG b2302
yfdX b2375
yhhX b3440
yfcH b2304
yigF b3817
yoaH b1811
yfcP b2333
yqaB b2690
proY b0402
purU b1232
crr b2417 
purF b2312
rho b3783 
rhsD b0497
rhtA b0813
rplA b3984
rpmH b3703
rng b3247 
rraB b4255
rpoZ b3649
rpsP b2609
rsgA b4161
rutB b1011
rzpD b0556
safA b1500
sgcC b4304
setC b3659
sfmF b0534
sfmA b0530
sdaB b2797
ssb b4059 
sspA b3229
smf b4473 
alaS b2697
asnS b0930
tauC b0367
hsdR b4350
secF b0409
lysS b2890
tnaA b3708
ybfQ b4514
ybjP b0865
ycaL b0909
ycaM b0899
yafE b0210
yafX b0248
yccT b0964
ybhI b0770
yaiT b4580
ybiX b0804
yaiW b0378
yecD b1867
yaiZ b0380
yagF b0269
yahV b4730
ydiF b1694
ybjO b0858
yceH b1067
ychO b1220
ydaY b1366
ydaU b1359
ydcL b1431
ydcS b1440
yejL b2187
yejM b2188
yehS b2124
ybbV b0510
ybcJ b0528
ybfA b0699
ybdZ b4511
ybcN b0547
ycjQ b1313
yhcB b3233
ypfN b4547
yidD b4557
yjbB b4020
yphH b2550
ygcN b2766
ygfI b2921
ymgC b1167
yjfC b4186
yjdN b4107
ygeO b2859
ygjH b3074
ygdD b2807
ygeH b2852
yjeN b4157
yicJ b3657
yggT b2952
yggU b2953
yhjV b3539
yghT b2986
yjhE b4282
yhjG b3524
yjjB b4363
yjiL b4334
yfgG b2504
yjiX b4353
yffP b2447
ymgL b4739
yodD b1953
yheS b3352
yfcC b2298
ykiD b4732
yfbV b2295
yigL b3826
yfcF b2301
yfcD b2299
yhhI b3484
ykgF b0307
ynjF b1758
yihI b3866
ynjI b1762
ytiA b4715
zapE b3232
tauA b0365
tam b1519 
hsdM b4349
lacA b0342
tig b0436 
tldD b3244
tpx b1324 
torI b4501
ttdB b3062
deoA b4382
tusE b0969
truA b2318
ugd b2028 
uspD b3923
xdhA b2866
ycaC b0897
ybhG b0795
yafU b0218
ycbU b0942
yccF b0961
yahC b0317
yahD b0318
yeaY b1806
ycbX b0947
yebW b1837
yahM b0327
yebQ b1828
ydiL b1689
ybhR b0792
yebZ b1840
yajG b0434
yceI b1056
ychS b1228
yedR b1963
yedK b1931
yedM b1935
yeeA b2008
ycfL b1104
yadS b0157
yefM b2017
ydfC b1573
ydfX b1568
yphD b2546
yjdF b4121
yjfF b4231
ynfC b1585
yghD b2968
yghE b2969
ymgM b4740
yiaG b3555
yiaO b3579
yfiB b2605
yihP b3877
ynaM b4744
yqfG b4684
yqeG b2845
yidF b3674
yfjI b2625
yfjJ b2626
yieP b3755
yidJ b3678
yojO b4604
yoaF b1793
yhgO b4788
yhiN b3492
yfdK b2354
yfcV b2339
zraP b4002
yehC b2110
yzgL b3427
ytfF b4210
thiI b0423
thrC b0004
thiS b4407
treC b4239
trmO b0195
trpE b1264
ubiX b2311
ubiU b3158
uvrB b0779
ubiF b0662
uxuR b4324
wcaB b2058
ybjS b0868
yafK b0224
ycaQ b0916
ybgD b0719
yeaE b1781
yafO b0233
ybiI b0803
yebY b1839
yajD b0410
ybiJ b0802
yebS b1833
ybjM b0848
ydaF b4527
ydbJ b4529
ydaG b1355
ydiZ b1724
ydaQ b1346
ydbD b1407
ydcU b1442
yeiW b4502
yeiH b2158
ydcO b1433
yeiS b2145
yedE b1929
ydeJ b1537
