qseqid	sseqid	A_gene	B_gene
sp|P0AD30|YFCA_ECOLI	sp|P0AD30|YFCA_ECOLI	yfcA	yfcA
sp|P0AD33|YFCZ_ECOLI	sp|P0AD33|YFCZ_ECOLI	yfcZ	yfcZ
sp|P0AD35|YFDO_ECOLI	sp|P0AD35|YFDO_ECOLI	yfdO	yfdO
sp|P0AD37|YFEC_ECOLI	sp|P0AD37|YFEC_ECOLI	yfeC	yfeC
sp|P0AD40|YPEB_ECOLI	sp|P0AD40|YPEB_ECOLI	ypeB	ypeB
sp|P0AD42|PGPC_ECOLI	sp|P0AD42|PGPC_ECOLI	pgpC	pgpC
sp|P0AD44|YFHG_ECOLI	sp|P0AD44|YFHG_ECOLI	yfhG	yfhG
sp|P0AD47|YPHA_ECOLI	sp|P0AD47|YPHA_ECOLI	yphA	yphA
sp|P0AD49|YFIA_ECOLI	sp|P0AD49|YFIA_ECOLI	raiA	raiA
sp|P0AD53|YGAC_ECOLI	sp|P0AD53|YGAC_ECOLI	ygaC	ygaC
sp|P0AD57|ISPB_ECOLI	sp|P0AD57|ISPB_ECOLI	ispB	ispB
sp|P0AD59|IVY_ECOLI	sp|P0AD59|IVY_ECOLI	ivy	ivy
sp|P0AD61|KPYK1_ECOLI	sp|P0AD61|KPYK1_ECOLI	pykF	pykF
sp|P0AD65|MRDA_ECOLI	sp|P0AD65|MRDA_ECOLI	mrdA	mrdA
sp|P0AD68|FTSI_ECOLI	sp|P0AD68|FTSI_ECOLI	ftsI	ftsI
sp|P0AD70|AMPH_ECOLI	sp|P0AD70|AMPH_ECOLI	ampH	ampH
sp|P0AD72|LPF_ECOLI	sp|P0AD72|LPF_ECOLI	pheL	pheL
sp|P0AD74|LPF2_ECOLI	sp|P0AD74|LPF2_ECOLI	pheM	pheM
sp|P0AD79|LPL_ECOLI	sp|P0AD79|LPL_ECOLI	leuL	leuL
sp|P0AD83|LPPY_ECOLI	sp|P0AD83|LPPY_ECOLI	pyrL	pyrL
sp|P0AD86|LPT_ECOLI	sp|P0AD86|LPT_ECOLI	thrL	thrL
sp|P0AD89|LPTN_ECOLI	sp|P0AD89|LPTN_ECOLI	tnaC	tnaC
sp|P0AD92|LPW_ECOLI	sp|P0AD92|LPW_ECOLI	trpL	trpL
sp|P0AD96|LIVJ_ECOLI	sp|P0AD96|LIVJ_ECOLI	livJ	livJ
sp|P0AD99|BRNQ_ECOLI	sp|P0AD99|BRNQ_ECOLI	brnQ	brnQ
sp|P0ADA1|TESA_ECOLI	sp|P0ADA1|TESA_ECOLI	tesA	tesA
sp|P0ADA3|NLPD_ECOLI	sp|P0ADA3|NLPD_ECOLI	nlpD	nlpD
sp|P0ADA5|YAJG_ECOLI	sp|P0ADA5|YAJG_ECOLI	yajG	yajG
sp|P0ADA7|OSMB_ECOLI	sp|P0ADA7|OSMB_ECOLI	osmB	osmB
sp|P0ADB1|OSME_ECOLI	sp|P0ADB1|OSME_ECOLI	osmE	osmE
sp|P0ADB4|ECNA_ECOLI	sp|P0ADB4|ECNA_ECOLI	ecnA	ecnA
sp|P0ADB7|ECNB_ECOLI	sp|P0ADB7|ECNB_ECOLI	ecnB	ecnB
sp|P0ADC1|LPTE_ECOLI	sp|P0ADC1|LPTE_ECOLI	lptE	lptE
sp|P0ADC3|LOLC_ECOLI	sp|P0ADC3|LOLC_ECOLI	lolC	lolC
sp|P0ADC6|LPTG_ECOLI	sp|P0ADC6|LPTG_ECOLI	lptG	lptG
sp|P0ADC8|YJIX_ECOLI	sp|P0ADC8|YJIX_ECOLI	yjiX	yjiX
sp|P0ADD2|YJJB_ECOLI	sp|P0ADD2|YJJB_ECOLI	yjjB	yjjB
sp|P0ADD5|YJJP_ECOLI	sp|P0ADD5|YJJP_ECOLI	yjjP	yjjP
sp|P0ADD7|YJJQ_ECOLI	sp|P0ADD7|YJJQ_ECOLI	yjjQ	yjjQ
sp|P0ADD9|YJJY_ECOLI	sp|P0ADD9|YJJY_ECOLI	yjjY	yjjY
sp|P0ADE2|YTFK_ECOLI	sp|P0ADE2|YTFK_ECOLI	ytfK	ytfK
sp|P0ADE4|TAMA_ECOLI	sp|P0ADE4|TAMA_ECOLI	tamA	tamA
sp|P0ADE6|KBP_ECOLI	sp|P0ADE6|KBP_ECOLI	kbp	kbp
sp|P0ADE8|YGFZ_ECOLI	sp|P0ADE8|YGFZ_ECOLI	ygfZ	ygfZ
sp|P0ADF3|LPRH_ECOLI	sp|P0ADF3|LPRH_ECOLI	rhoL	rhoL
sp|P0ADF6|EDD_ECOLI	sp|P0ADF6|EDD_ECOLI	edd	edd
sp|P0ADF8|ILVN_ECOLI	sp|P0ADF8|ILVN_ECOLI	ilvN	ilvN
sp|P0ADG1|ILVM_ECOLI	sp|P0ADG1|ILVM_ECOLI	ilvM	ilvM
sp|P0ADG4|SUHB_ECOLI	sp|P0ADG4|SUHB_ECOLI	suhB	suhB
sp|P0ADG7|IMDH_ECOLI	sp|P0ADG7|IMDH_ECOLI	guaB	guaB
sp|P0ADH5|FIMB_ECOLI	sp|P0ADH5|FIMB_ECOLI	fimB	fimB
sp|P0ADH7|FIME_ECOLI	sp|P0ADH7|FIME_ECOLI	fimE	fimE
sp|P0ADI0|PINR_ECOLI	sp|P0ADI0|PINR_ECOLI	pinR	pinR
sp|P0ADI4|ENTB_ECOLI	sp|P0ADI4|ENTB_ECOLI	entB	entB
sp|P0ADI7|YECD_ECOLI	sp|P0ADI7|YECD_ECOLI	yecD	yecD
sp|P0ADI9|YHHN_ECOLI	sp|P0ADI9|YHHN_ECOLI	yhhN	yhhN
sp|P0ADJ3|YHJR_ECOLI	sp|P0ADJ3|YHJR_ECOLI	yhjR	yhjR
sp|P0ADJ5|BCSF_ECOLI	sp|P0ADJ5|BCSF_ECOLI	bcsF	bcsF
sp|P0ADJ8|YIAA_ECOLI	sp|P0ADJ8|YIAA_ECOLI	yiaA	yiaA
sp|P0ADK0|YIAF_ECOLI	sp|P0ADK0|YIAF_ECOLI	yiaF	yiaF
sp|P0ADK4|YIAW_ECOLI	sp|P0ADK4|YIAW_ECOLI	yiaW	yiaW
sp|P0ADK6|YIBA_ECOLI	sp|P0ADK6|YIBA_ECOLI	yibA	yibA
sp|P0ADK8|YIBL_ECOLI	sp|P0ADK8|YIBL_ECOLI	yibL	yibL
sp|P0ADL1|NEPI_ECOLI	sp|P0ADL1|NEPI_ECOLI	nepI	nepI
sp|P0ADL3|YICN_ECOLI	sp|P0ADL3|YICN_ECOLI	yicN	yicN
sp|P0ADL6|YIDG_ECOLI	sp|P0ADL6|YIDG_ECOLI	yidG	yidG
sp|P0ADM0|YIDH_ECOLI	sp|P0ADM0|YIDH_ECOLI	yidH	yidH
sp|P0ADM4|YIDQ_ECOLI	sp|P0ADM4|YIDQ_ECOLI	yidQ	yidQ
sp|P0ADM6|YIDX_ECOLI	sp|P0ADM6|YIDX_ECOLI	yidX	yidX
sp|P0ADM8|YIEE_ECOLI	sp|P0ADM8|YIEE_ECOLI	yieE	yieE
sp|P0ADN0|VIAA_ECOLI	sp|P0ADN0|VIAA_ECOLI	viaA	viaA
sp|P0ADN2|YIFE_ECOLI	sp|P0ADN2|YIFE_ECOLI	yifE	yifE
sp|P0ADN6|YIFL_ECOLI	sp|P0ADN6|YIFL_ECOLI	yifL	yifL
sp|P0ADP0|YIGB_ECOLI	sp|P0ADP0|YIGB_ECOLI	yigB	yigB
sp|P0ADP2|YIGI_ECOLI	sp|P0ADP2|YIGI_ECOLI	yigI	yigI
sp|P0ADP5|BIOP_ECOLI	sp|P0ADP5|BIOP_ECOLI	bioP	bioP
sp|P0ADP7|UBIJ_ECOLI	sp|P0ADP7|UBIJ_ECOLI	ubiJ	ubiJ
sp|P0ADP9|YIHD_ECOLI	sp|P0ADP9|YIHD_ECOLI	yihD	yihD
sp|P0ADQ2|YIID_ECOLI	sp|P0ADQ2|YIID_ECOLI	yiiD	yiiD
sp|P0ADQ5|YIIE_ECOLI	sp|P0ADQ5|YIIE_ECOLI	yiiE	yiiE
sp|P0ADQ7|YGAM_ECOLI	sp|P0ADQ7|YGAM_ECOLI	ygaM	ygaM
sp|P0ADR0|YQAA_ECOLI	sp|P0ADR0|YQAA_ECOLI	yqaA	yqaA
sp|P0ADR2|YGDD_ECOLI	sp|P0ADR2|YGDD_ECOLI	ygdD	ygdD
sp|P0ADR6|RLMM_ECOLI	sp|P0ADR6|RLMM_ECOLI	rlmM	rlmM
sp|P0ADR8|PPNN_ECOLI	sp|P0ADR8|PPNN_ECOLI	ppnN	ppnN
sp|P0ADS2|ZAPA_ECOLI	sp|P0ADS2|ZAPA_ECOLI	zapA	zapA
sp|P0ADS6|YGGE_ECOLI	sp|P0ADS6|YGGE_ECOLI	yggE	yggE
sp|P0ADS9|YGGN_ECOLI	sp|P0ADS9|YGGN_ECOLI	yggN	yggN
sp|P0ADT2|YGIB_ECOLI	sp|P0ADT2|YGIB_ECOLI	ygiB	ygiB
sp|P0ADT5|YGIC_ECOLI	sp|P0ADT5|YGIC_ECOLI	ygiC	ygiC
sp|P0ADT8|YGIM_ECOLI	sp|P0ADT8|YGIM_ECOLI	ygiM	ygiM
sp|P0ADU2|YGIN_ECOLI	sp|P0ADU2|YGIN_ECOLI	ygiN	ygiN
sp|P0ADU5|YGIW_ECOLI	sp|P0ADU5|YGIW_ECOLI	ygiW	ygiW
sp|P0ADU7|YQIB_ECOLI	sp|P0ADU7|YQIB_ECOLI	yqiB	yqiB
sp|P0ADV1|LPTA_ECOLI	sp|P0ADV1|LPTA_ECOLI	lptA	lptA
sp|P0ADV5|YHBW_ECOLI	sp|P0ADV5|YHBW_ECOLI	yhbW	yhbW
sp|P0ADV7|MLAC_ECOLI	sp|P0ADV7|MLAC_ECOLI	mlaC	mlaC
sp|P0ADV9|LPTC_ECOLI	sp|P0ADV9|LPTC_ECOLI	lptC	lptC
sp|P0ADW3|YHCB_ECOLI	sp|P0ADW3|YHCB_ECOLI	yhcB	yhcB
sp|P0ADW6|YHCC_ECOLI	sp|P0ADW6|YHCC_ECOLI	yhcC	yhcC
sp|P0ADW8|YHEV_ECOLI	sp|P0ADW8|YHEV_ECOLI	yheV	yheV
sp|P0ADX1|YHFA_ECOLI	sp|P0ADX1|YHFA_ECOLI	yhfA	yhfA
sp|P0ADX5|YHFG_ECOLI	sp|P0ADX5|YHFG_ECOLI	yhfG	yhfG
sp|P0ADX7|YHHA_ECOLI	sp|P0ADX7|YHHA_ECOLI	yhhA	yhhA
sp|P0ADX9|RSMD_ECOLI	sp|P0ADX9|RSMD_ECOLI	rsmD	rsmD
sp|P0ADY1|PPID_ECOLI	sp|P0ADY1|PPID_ECOLI	ppiD	ppiD
sp|P0ADY3|RL14_ECOLI	sp|P0ADY3|RL14_ECOLI	rplN	rplN
sp|P0ADY7|RL16_ECOLI	sp|P0ADY7|RL16_ECOLI	rplP	rplP
sp|P0ADZ0|RL23_ECOLI	sp|P0ADZ0|RL23_ECOLI	rplW	rplW
sp|P0ADZ4|RS15_ECOLI	sp|P0ADZ4|RS15_ECOLI	rpsO	rpsO
sp|P0ADZ7|YAJC_ECOLI	sp|P0ADZ7|YAJC_ECOLI	yajC	yajC
sp|P0AE01|TRMJ_ECOLI	sp|P0AE01|TRMJ_ECOLI	trmJ	trmJ
sp|P0AE06|ACRA_ECOLI	sp|P0AE06|ACRA_ECOLI	acrA	acrA
sp|P0AE08|AHPC_ECOLI	sp|P0AE08|AHPC_ECOLI	ahpC	ahpC
sp|P0AE12|AMN_ECOLI	sp|P0AE12|AMN_ECOLI	amn	amn
sp|P0AE14|AMPE_ECOLI	sp|P0AE14|AMPE_ECOLI	ampE	ampE
sp|P0AE16|AMPG_ECOLI	sp|P0AE16|AMPG_ECOLI	ampG	ampG
sp|P0AE18|MAP1_ECOLI	sp|P0AE18|MAP1_ECOLI	map	map
sp|P0AE22|APHA_ECOLI	sp|P0AE22|APHA_ECOLI	aphA	aphA
sp|P0AE24|ARAE_ECOLI	sp|P0AE24|ARAE_ECOLI	araE	araE
sp|P0AE26|ARAH_ECOLI	sp|P0AE26|ARAH_ECOLI	araH	araH
sp|P0AE28|AROM_ECOLI	sp|P0AE28|AROM_ECOLI	aroM	aroM
sp|P0AE30|ARTM_ECOLI	sp|P0AE30|ARTM_ECOLI	artM	artM
sp|P0AE34|ARTQ_ECOLI	sp|P0AE34|ARTQ_ECOLI	artQ	artQ
sp|P0AE37|ASTA_ECOLI	sp|P0AE37|ASTA_ECOLI	astA	astA
sp|P0AE39|YPDB_ECOLI	sp|P0AE39|YPDB_ECOLI	ypdB	ypdB
sp|P0AE42|YQAE_ECOLI	sp|P0AE42|YQAE_ECOLI	yqaE	yqaE
sp|P0AE45|YTFL_ECOLI	sp|P0AE45|YTFL_ECOLI	ytfL	ytfL
sp|P0AE48|YTFP_ECOLI	sp|P0AE48|YTFP_ECOLI	ytfP	ytfP
sp|P0AE52|BCP_ECOLI	sp|P0AE52|BCP_ECOLI	bcp	bcp
sp|P0AE56|BFD_ECOLI	sp|P0AE56|BFD_ECOLI	bfd	bfd
sp|P0AE58|CAIF_ECOLI	sp|P0AE58|CAIF_ECOLI	caiF	caiF
sp|P0AE60|CEDA_ECOLI	sp|P0AE60|CEDA_ECOLI	cedA	cedA
sp|P0AE63|CHAB_ECOLI	sp|P0AE63|CHAB_ECOLI	chaB	chaB
sp|P0AE67|CHEY_ECOLI	sp|P0AE67|CHEY_ECOLI	cheY	cheY
sp|P0AE70|MAZF_ECOLI	sp|P0AE70|MAZF_ECOLI	mazF	mazF
sp|P0AE72|MAZE_ECOLI	sp|P0AE72|MAZE_ECOLI	mazE	mazE
sp|P0AE74|CITT_ECOLI	sp|P0AE74|CITT_ECOLI	citT	citT
sp|P0AE76|COBU_ECOLI	sp|P0AE76|COBU_ECOLI	cobU	cobU
sp|P0AE78|CORC_ECOLI	sp|P0AE78|CORC_ECOLI	corC	corC
sp|P0AE82|CPXA_ECOLI	sp|P0AE82|CPXA_ECOLI	cpxA	cpxA
sp|P0AE85|CPXP_ECOLI	sp|P0AE85|CPXP_ECOLI	cpxP	cpxP
sp|P0AE88|CPXR_ECOLI	sp|P0AE88|CPXR_ECOLI	cpxR	cpxR
sp|P0AE91|CREA_ECOLI	sp|P0AE91|CREA_ECOLI	creA	creA
sp|P0AE95|CSGE_ECOLI	sp|P0AE95|CSGE_ECOLI	csgE	csgE
sp|P0AE98|CSGF_ECOLI	sp|P0AE98|CSGF_ECOLI	csgF	csgF
sp|P0AEA2|CSGG_ECOLI	sp|P0AEA2|CSGG_ECOLI	csgG	csgG
sp|P0AEA5|CYOE_ECOLI	sp|P0AEA5|CYOE_ECOLI	cyoE	cyoE
sp|P0AEA8|CYSG_ECOLI	sp|P0AEA8|CYSG_ECOLI	cysG	cysG
sp|P0AEB0|CYSW_ECOLI	sp|P0AEB0|CYSW_ECOLI	cysW	cysW
sp|P0AEB2|DACA_ECOLI	sp|P0AEB2|DACA_ECOLI	dacA	dacA
sp|P0AEB5|YNAI_ECOLI	sp|P0AEB5|YNAI_ECOLI	ynaI	ynaI
sp|P0AEB7|YOAB_ECOLI	sp|P0AEB7|YOAB_ECOLI	yoaB	yoaB
sp|P0AEC0|YOAE_ECOLI	sp|P0AEC0|YOAE_ECOLI	yoaE	yoaE
sp|P0AEC3|ARCB_ECOLI	sp|P0AEC3|ARCB_ECOLI	arcB	arcB
sp|P0AEC5|BARA_ECOLI	sp|P0AEC5|BARA_ECOLI	barA	barA
sp|P0AEC8|DCUS_ECOLI	sp|P0AEC8|DCUS_ECOLI	dcuS	dcuS
sp|P0AED0|USPA_ECOLI	sp|P0AED0|USPA_ECOLI	uspA	uspA
sp|P0AED5|UVRY_ECOLI	sp|P0AED5|UVRY_ECOLI	uvrY	uvrY
sp|P0AED7|DAPE_ECOLI	sp|P0AED7|DAPE_ECOLI	dapE	dapE
sp|P0AED9|DCM_ECOLI	sp|P0AED9|DCM_ECOLI	dcm	dcm
sp|P0AEE1|DCRB_ECOLI	sp|P0AEE1|DCRB_ECOLI	dcrB	dcrB
sp|P0AEE3|DEGS_ECOLI	sp|P0AEE3|DEGS_ECOLI	degS	degS
sp|P0AEE5|DGAL_ECOLI	sp|P0AEE5|DGAL_ECOLI	mglB	mglB
sp|P0AEE8|DMA_ECOLI	sp|P0AEE8|DMA_ECOLI	dam	dam
sp|P0AEF0|DNAC_ECOLI	sp|P0AEF0|DNAC_ECOLI	dnaC	dnaC
sp|P0AEF4|DPIA_ECOLI	sp|P0AEF4|DPIA_ECOLI	dpiA	dpiA
sp|P0AEF8|DPPB_ECOLI	sp|P0AEF8|DPPB_ECOLI	dppB	dppB
sp|P0AEG1|DPPC_ECOLI	sp|P0AEG1|DPPC_ECOLI	dppC	dppC
sp|P0AEG4|DSBA_ECOLI	sp|P0AEG4|DSBA_ECOLI	dsbA	dsbA
sp|P0AEG6|DSBC_ECOLI	sp|P0AEG6|DSBC_ECOLI	dsbC	dsbC
sp|P0AEG8|DSRB_ECOLI	sp|P0AEG8|DSRB_ECOLI	dsrB	dsrB
sp|P0AEH1|RSEP_ECOLI	sp|P0AEH1|RSEP_ECOLI	rseP	rseP
sp|P0AEH3|ELAA_ECOLI	sp|P0AEH3|ELAA_ECOLI	elaA	elaA
sp|P0AEH5|ELAB_ECOLI	sp|P0AEH5|ELAB_ECOLI	elaB	elaB
sp|P0AEH8|YJIG_ECOLI	sp|P0AEH8|YJIG_ECOLI	yjiG	yjiG
sp|P0AEI1|MIAB_ECOLI	sp|P0AEI1|MIAB_ECOLI	miaB	miaB
sp|P0AEI4|RIMO_ECOLI	sp|P0AEI4|RIMO_ECOLI	rimO	rimO
sp|P0AEI6|NUDJ_ECOLI	sp|P0AEI6|NUDJ_ECOLI	nudJ	nudJ
sp|P0AEJ0|EMRB_ECOLI	sp|P0AEJ0|EMRB_ECOLI	emrB	emrB
sp|P0AEJ2|ENTC_ECOLI	sp|P0AEJ2|ENTC_ECOLI	entC	entC
sp|P0AEJ4|ENVZ_ECOLI	sp|P0AEJ4|ENVZ_ECOLI	envZ	envZ
sp|P0AEJ6|EUTB_ECOLI	sp|P0AEJ6|EUTB_ECOLI	eutB	eutB
sp|P0AEJ8|EUTN_ECOLI	sp|P0AEJ8|EUTN_ECOLI	eutN	eutN
sp|P0AEK0|EXOX_ECOLI	sp|P0AEK0|EXOX_ECOLI	exoX	exoX
sp|P0AEK2|FABG_ECOLI	sp|P0AEK2|FABG_ECOLI	fabG	fabG
sp|P0AEK4|FABI_ECOLI	sp|P0AEK4|FABI_ECOLI	fabI	fabI
sp|P0AEK7|FDNI_ECOLI	sp|P0AEK7|FDNI_ECOLI	fdnI	fdnI
sp|P0AEL0|FDOI_ECOLI	sp|P0AEL0|FDOI_ECOLI	fdoI	fdoI
sp|P0AEL3|FEOA_ECOLI	sp|P0AEL3|FEOA_ECOLI	feoA	feoA
sp|P0AEL6|FEPB_ECOLI	sp|P0AEL6|FEPB_ECOLI	fepB	fepB
sp|P0AEL8|FIMZ_ECOLI	sp|P0AEL8|FIMZ_ECOLI	fimZ	fimZ
sp|P0AEM0|FKBX_ECOLI	sp|P0AEM0|FKBX_ECOLI	fkpB	fkpB
sp|P0AEM4|FLGM_ECOLI	sp|P0AEM4|FLGM_ECOLI	flgM	flgM
sp|P0AEM6|FLIA_ECOLI	sp|P0AEM6|FLIA_ECOLI	fliA	fliA
sp|P0AEM9|TCYJ_ECOLI	sp|P0AEM9|TCYJ_ECOLI	tcyJ	tcyJ
sp|P0AEN1|FRE_ECOLI	sp|P0AEN1|FRE_ECOLI	fre	fre
sp|P0AEN4|FTSL_ECOLI	sp|P0AEN4|FTSL_ECOLI	ftsL	ftsL
sp|P0AEN8|FUCM_ECOLI	sp|P0AEN8|FUCM_ECOLI	fucU	fucU
sp|P0AEP1|GALP_ECOLI	sp|P0AEP1|GALP_ECOLI	galP	galP
sp|P0AEP3|GALU_ECOLI	sp|P0AEP3|GALU_ECOLI	galU	galU
sp|P0AEP7|GCL_ECOLI	sp|P0AEP7|GCL_ECOLI	gcl	gcl
sp|P0AEP9|GLCD_ECOLI	sp|P0AEP9|GLCD_ECOLI	glcD	glcD
sp|P0AEQ1|GLCG_ECOLI	sp|P0AEQ1|GLCG_ECOLI	glcG	glcG
sp|P0AEQ3|GLNH_ECOLI	sp|P0AEQ3|GLNH_ECOLI	glnH	glnH
sp|P0AEQ6|GLNP_ECOLI	sp|P0AEQ6|GLNP_ECOLI	glnP	glnP
sp|P0AER0|GLPF_ECOLI	sp|P0AER0|GLPF_ECOLI	glpF	glpF
sp|P0AER3|GLTJ_ECOLI	sp|P0AER3|GLTJ_ECOLI	gltJ	gltJ
sp|P0AER5|GLTK_ECOLI	sp|P0AER5|GLTK_ECOLI	gltK	gltK
sp|P0AER8|GLTS_ECOLI	sp|P0AER8|GLTS_ECOLI	gltS	gltS
sp|P0AES0|GSP_ECOLI	sp|P0AES0|GSP_ECOLI	gss	gss
sp|P0AES2|GUDD_ECOLI	sp|P0AES2|GUDD_ECOLI	gudD	gudD
sp|P0AES4|GYRA_ECOLI	sp|P0AES4|GYRA_ECOLI	gyrA	gyrA
sp|P0AES6|GYRB_ECOLI	sp|P0AES6|GYRB_ECOLI	gyrB	gyrB
sp|P0AES9|HDEA_ECOLI	sp|P0AES9|HDEA_ECOLI	hdeA	hdeA
sp|P0AET2|HDEB_ECOLI	sp|P0AET2|HDEB_ECOLI	hdeB	hdeB
sp|P0AET5|HDED_ECOLI	sp|P0AET5|HDED_ECOLI	hdeD	hdeD
sp|P0AET8|HDHA_ECOLI	sp|P0AET8|HDHA_ECOLI	hdhA	hdhA
sp|P0AEU0|HISJ_ECOLI	sp|P0AEU0|HISJ_ECOLI	hisJ	hisJ
sp|P0AEU3|HISM_ECOLI	sp|P0AEU3|HISM_ECOLI	hisM	hisM
sp|P0AEU7|SKP_ECOLI	sp|P0AEU7|SKP_ECOLI	skp	skp
sp|P0AEV1|RSSB_ECOLI	sp|P0AEV1|RSSB_ECOLI	rssB	rssB
sp|P0AEV4|HYCA_ECOLI	sp|P0AEV4|HYCA_ECOLI	hycA	hycA
sp|P0AEV7|HYCH_ECOLI	sp|P0AEV7|HYCH_ECOLI	hycH	hycH
sp|P0AEV9|HYCI_ECOLI	sp|P0AEV9|HYCI_ECOLI	hycI	hycI
sp|P0AEW1|HYFE_ECOLI	sp|P0AEW1|HYFE_ECOLI	hyfE	hyfE
sp|P0AEW4|CPDA_ECOLI	sp|P0AEW4|CPDA_ECOLI	cpdA	cpdA
sp|P0AEW6|INGK_ECOLI	sp|P0AEW6|INGK_ECOLI	gsk	gsk
sp|P0AEW9|K1PF_ECOLI	sp|P0AEW9|K1PF_ECOLI	fruK	fruK
sp|P0AEX3|KGTP_ECOLI	sp|P0AEX3|KGTP_ECOLI	kgtP	kgtP
sp|P0AEX5|KPPR_ECOLI	sp|P0AEX5|KPPR_ECOLI	prkB	prkB
sp|P0AEX7|LIVH_ECOLI	sp|P0AEX7|LIVH_ECOLI	livH	livH
sp|P0AEX9|MALE_ECOLI	sp|P0AEX9|MALE_ECOLI	malE	malE
sp|P0AEY1|MARC_ECOLI	sp|P0AEY1|MARC_ECOLI	marC	marC
sp|P0AEY3|MAZG_ECOLI	sp|P0AEY3|MAZG_ECOLI	mazG	mazG
sp|P0AEY5|MDAB_ECOLI	sp|P0AEY5|MDAB_ECOLI	mdaB	mdaB
sp|P0AEY8|MDFA_ECOLI	sp|P0AEY8|MDFA_ECOLI	mdfA	mdfA
sp|P0AEZ1|METF_ECOLI	sp|P0AEZ1|METF_ECOLI	metF	metF
sp|P0AEZ3|MIND_ECOLI	sp|P0AEZ3|MIND_ECOLI	minD	minD
sp|P0AEZ7|MLTD_ECOLI	sp|P0AEZ7|MLTD_ECOLI	mltD	mltD
sp|P0AEZ9|MOAB_ECOLI	sp|P0AEZ9|MOAB_ECOLI	moaB	moaB
sp|P0AF01|MODB_ECOLI	sp|P0AF01|MODB_ECOLI	modB	modB
sp|P0AF03|MOG_ECOLI	sp|P0AF03|MOG_ECOLI	mog	mog
sp|P0AF06|MOTB_ECOLI	sp|P0AF06|MOTB_ECOLI	motB	motB
sp|P0AF08|APBC_ECOLI	sp|P0AF08|APBC_ECOLI	mrp	mrp
sp|P0AF10|MTLR_ECOLI	sp|P0AF10|MTLR_ECOLI	mtlR	mtlR
sp|P0AF12|MTNN_ECOLI	sp|P0AF12|MTNN_ECOLI	mtnN	mtnN
sp|P0AF16|MURJ_ECOLI	sp|P0AF16|MURJ_ECOLI	murJ	murJ
sp|P0AF18|NAGA_ECOLI	sp|P0AF18|NAGA_ECOLI	nagA	nagA
sp|P0AF20|NAGC_ECOLI	sp|P0AF20|NAGC_ECOLI	nagC	nagC
sp|P0AF24|NAGD_ECOLI	sp|P0AF24|NAGD_ECOLI	nagD	nagD
sp|P0AF26|NARJ_ECOLI	sp|P0AF26|NARJ_ECOLI	narJ	narJ
sp|P0AF28|NARL_ECOLI	sp|P0AF28|NARL_ECOLI	narL	narL
sp|P0AF32|NARV_ECOLI	sp|P0AF32|NARV_ECOLI	narV	narV
sp|P0AF34|YIIR_ECOLI	sp|P0AF34|YIIR_ECOLI	yiiR	yiiR
sp|P0AF36|ZAPB_ECOLI	sp|P0AF36|ZAPB_ECOLI	zapB	zapB
sp|P0AF40|YIJD_ECOLI	sp|P0AF40|YIJD_ECOLI	yijD	yijD
sp|P0AF43|YJBB_ECOLI	sp|P0AF43|YJBB_ECOLI	yjbB	yjbB
sp|P0AF45|YJBE_ECOLI	sp|P0AF45|YJBE_ECOLI	yjbE	yjbE
sp|P0AF48|YJBQ_ECOLI	sp|P0AF48|YJBQ_ECOLI	yjbQ	yjbQ
sp|P0AF50|YJBR_ECOLI	sp|P0AF50|YJBR_ECOLI	yjbR	yjbR
sp|P0AF52|GHXP_ECOLI	sp|P0AF52|GHXP_ECOLI	ghxP	ghxP
sp|P0AF54|YJCH_ECOLI	sp|P0AF54|YJCH_ECOLI	yjcH	yjcH
sp|P0AF56|YJCO_ECOLI	sp|P0AF56|YJCO_ECOLI	yjcO	yjcO
sp|P0AF59|YJDI_ECOLI	sp|P0AF59|YJDI_ECOLI	yjdI	yjdI
sp|P0AF61|GHOS_ECOLI	sp|P0AF61|GHOS_ECOLI	ghoS	ghoS
sp|P0AF63|NSRR_ECOLI	sp|P0AF63|NSRR_ECOLI	nsrR	nsrR
sp|P0AF67|TSAE_ECOLI	sp|P0AF67|TSAE_ECOLI	tsaE	tsaE
sp|P0AF70|YJEI_ECOLI	sp|P0AF70|YJEI_ECOLI	yjeI	yjeI
sp|P0AF73|YJET_ECOLI	sp|P0AF73|YJET_ECOLI	yjeT	yjeT
sp|P0AF76|YJFI_ECOLI	sp|P0AF76|YJFI_ECOLI	yjfI	yjfI
sp|P0AF78|YJFJ_ECOLI	sp|P0AF78|YJFJ_ECOLI	yjfJ	yjfJ
sp|P0AF80|YJFL_ECOLI	sp|P0AF80|YJFL_ECOLI	yjfL	yjfL
sp|P0AF82|YJFN_ECOLI	sp|P0AF82|YJFN_ECOLI	yjfN	yjfN
sp|P0AF86|YJFY_ECOLI	sp|P0AF86|YJFY_ECOLI	yjfY	yjfY
sp|P0AF90|RRAB_ECOLI	sp|P0AF90|RRAB_ECOLI	rraB	rraB
sp|P0AF93|RIDA_ECOLI	sp|P0AF93|RIDA_ECOLI	ridA	ridA
sp|P0AF96|TABA_ECOLI	sp|P0AF96|TABA_ECOLI	tabA	tabA
sp|P0AF98|LPTF_ECOLI	sp|P0AF98|LPTF_ECOLI	lptF	lptF
sp|P0AFA2|NARX_ECOLI	sp|P0AFA2|NARX_ECOLI	narX	narX
sp|P0AFA5|NFRB_ECOLI	sp|P0AFA5|NFRB_ECOLI	nfrB	nfrB
