Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Annotation	Gene names  (primary )	Gene names  (ordered locus )
P0AFP5	YBBO_ECOL6	reviewed	Uncharacterized oxidoreductase YbbO (EC 1.-.-.-)	ybbO c0614	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	269	2 out of 5	ybbO	c0614
A0A0H2V5L2	A0A0H2V5L2_ECOL6	unreviewed	Thioredoxin domain-containing protein	ybbN c0613	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	296	1 out of 5	ybbN	c0613
A0A0H2V4Y5	A0A0H2V4Y5_ECOL6	unreviewed	Hypothetical ABC transporter ATP-binding protein ybbL	ybbL c0611	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	226	1 out of 5	ybbL	c0611
A0A0H2V713	A0A0H2V713_ECOL6	unreviewed	NfeD domain-containing protein	ybbJ c0609	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	152	1 out of 5	ybbJ	c0609
A0A0H2V4Y9	A0A0H2V4Y9_ECOL6	unreviewed	Hypothetical ABC transporter ATP-binding protein ybbA	ybbA c0616	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	228	1 out of 5	ybbA	c0616
A0A0H2V4Y2	A0A0H2V4Y2_ECOL6	unreviewed	DNA_binding_1 domain-containing protein	ybaZ c0573	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	136	1 out of 5	ybaZ	c0573
A0A0H2V4W4	A0A0H2V4W4_ECOL6	unreviewed	Uncharacterized protein	ybaY c0572	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	190	1 out of 5	ybaY	c0572
A0A0H2V6X1	A0A0H2V6X1_ECOL6	unreviewed	Uncharacterized protein	ybaW c0559	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	132	1 out of 5	ybaW	c0559
A0A0H2V4X2	A0A0H2V4X2_ECOL6	unreviewed	Uncharacterized protein	ybaV c0558	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	123	1 out of 5	ybaV	c0558
A0A0H2V4Y4	A0A0H2V4Y4_ECOL6	unreviewed	Hypothetical transport protein ybaT	ybaT c0606	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	430	1 out of 5	ybaT	c0606
A0A0H2V5K6	A0A0H2V5K6_ECOL6	unreviewed	Copper-transporting P-type ATPase (EC 3.6.3.4)	ybaR c0604	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	834	2 out of 5	ybaR	c0604
P0A9T7	YBAQ_ECOL6	reviewed	Uncharacterized HTH-type transcriptional regulator YbaQ	ybaQ c0603	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	113	2 out of 5	ybaQ	c0603
A0A0H2V4Y0	A0A0H2V4Y0_ECOL6	unreviewed	Uncharacterized protein	ybaP c0602	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	264	1 out of 5	ybaP	c0602
A0A0H2V4Z1	A0A0H2V4Z1_ECOL6	unreviewed	Inner membrane protein	ybaN c0587	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	125	1 out of 5	ybaN	c0587
A0A0H2V5J5	A0A0H2V5J5_ECOL6	unreviewed	Uncharacterized protein	ybaM c0585	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	53	1 out of 5	ybaM	c0585
A0A0H2V5J8	A0A0H2V5J8_ECOL6	unreviewed	RCK N-terminal domain-containing protein	ybaL c0598	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	558	2 out of 5	ybaL	c0598
A0A0H2V708	A0A0H2V708_ECOL6	unreviewed	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase (EC 4.2.-.-)	ybaK c0601	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	159	2 out of 5	ybaK	c0601
A0A0H2V4U9	A0A0H2V4U9_ECOL6	unreviewed	Uncharacterized protein	ybaE c0561	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	571	1 out of 5	ybaE	c0561
P0A8B6	YBAB_ECOL6	reviewed	Nucleoid-associated protein YbaB	ybaB c0591	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	109	2 out of 5	ybaB	c0591
P0AAQ7	YBAA_ECOL6	reviewed	Uncharacterized protein YbaA	ybaA c0574	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	117	1 out of 5	ybaA	c0574
A0A0H2V4T7	A0A0H2V4T7_ECOL6	unreviewed	Hypothetical transport protein yajR	yajR c0538	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	520	1 out of 5	yajR	c0538
P0A8E8	YAJQ_ECOL6	reviewed	UPF0234 protein YajQ	yajQ c0537	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	163	1 out of 5	yajQ	c0537
A0A0H2V5H6	A0A0H2V5H6_ECOL6	unreviewed	Hypothetical oxidoreductase yajO (EC 1.-.-.-)	yajO c0530	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	324	1 out of 5	yajO	c0530
A0A0H2V4U4	A0A0H2V4U4_ECOL6	unreviewed	Hypothetical lipoprotein yajI	yajI c0522	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	199	1 out of 5	yajI	c0522
P0ADA6	YAJG_ECOL6	reviewed	Uncharacterized lipoprotein YajG	yajG c0546	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	192	2 out of 5	yajG	c0546
P0AAQ3	YAJD_ECOL6	reviewed	Putative HNH nuclease YajD (EC 3.1.-.-)	yajD c0520	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	115	2 out of 5	yajD	c0520
P0ADZ8	YAJC_ECOL6	reviewed	Sec translocon accessory complex subunit YajC	yajC c0517	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	110	2 out of 5	yajC	c0517
P0AAQ1	YAIZ_ECOL6	reviewed	Uncharacterized protein YaiZ	yaiZ c0486	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	70	2 out of 5	yaiZ	c0486
P0AAP8	YAIY_ECOL6	reviewed	Inner membrane protein YaiY	yaiY c0484	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	102	2 out of 5	yaiY	c0484
A0A0H2V5F1	A0A0H2V5F1_ECOL6	unreviewed	Uncharacterized protein	yaiW c0483	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	364	1 out of 5	yaiW	c0483
A0A0H2V4R9	A0A0H2V4R9_ECOL6	unreviewed	Inhibitor of hydrogen peroxide resistance	yaiV iprA c0479	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	222	2 out of 5	yaiV	c0479
A0A0H2V6S1	A0A0H2V6S1_ECOL6	unreviewed	Uncharacterized protein	yaiL c0462	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	185	1 out of 5	yaiL	c0462
P0A8D4	YAII_ECOL6	reviewed	UPF0178 protein YaiI	yaiI c0494	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	152	1 out of 5	yaiI	c0494
A0A0H2V4S6	A0A0H2V4S6_ECOL6	unreviewed	Penicillin-binding protein ampH	yaiH c0480	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	385	1 out of 5	yaiH	c0480
P0AAN6	YAIA_ECOL6	reviewed	Uncharacterized protein YaiA	yaiA c0496	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	63	1 out of 5	yaiA	c0496
A0A0H2V6R1	A0A0H2V6R1_ECOL6	unreviewed	DUF1471 domain-containing protein	yahO c0449	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	91	1 out of 5	yahO	c0449
A0A0H2V4Q3	A0A0H2V4Q3_ECOL6	unreviewed	Uncharacterized protein	yahN c0448	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	224	1 out of 5	yahN	c0448
A0A0H2V4P7	A0A0H2V4P7_ECOL6	unreviewed	Hypothetical zinc-type alcohol dehydrogenase-like protein yahK	yahK c0447	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	349	1 out of 5	yahK	c0447
A0A0H2V4N0	A0A0H2V4N0_ECOL6	unreviewed	Amidohydro_3 domain-containing protein	yahJ c0445	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	460	1 out of 5	yahJ	c0445
A0A0H2V4P3	A0A0H2V4P3_ECOL6	unreviewed	Uncharacterized protein	yahE c0440	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	287	1 out of 5	yahE	c0440
A0A0H2V5B2	A0A0H2V5B2_ECOL6	unreviewed	Hypothetical ANK-repeats protein yahD	yahD c0439	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	201	1 out of 5	yahD	c0439
A0A0H2V6P8	A0A0H2V6P8_ECOL6	unreviewed	Uncharacterized protein	yahC c0437	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	165	1 out of 5	yahC	c0437
A0A0H2V4P6	A0A0H2V4P6_ECOL6	unreviewed	Hypothetical transcriptional regulator yahB	yahB c0436	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	310	1 out of 5	yahB	c0436
A0A0H2V4L6	A0A0H2V4L6_ECOL6	unreviewed	Uncharacterized protein	yagU c0399	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	204	1 out of 5	yagU	c0399
A0A0H2V4I3	A0A0H2V4I3_ECOL6	unreviewed	CN hydrolase domain-containing protein	yafV c0369	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	259	1 out of 5	yafV	c0369
A0A0H2V4A5	A0A0H2V4A5_ECOL6	unreviewed	Methyltransf_11 domain-containing protein	yafS c0250	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	246	1 out of 5	yafS	c0250
A0A0H2V6I9	A0A0H2V6I9_ECOL6	unreviewed	Hypothetical acetyltransferase yafP (EC 2.3.1.-)	yafP c0380	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	150	1 out of 5	yafP	c0380
A0A0H2V569	A0A0H2V569_ECOL6	unreviewed	Hypothetical lipoprotein yafL	yafL c0376	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	230	1 out of 5	yafL	c0376
A0A0H2V6I4	A0A0H2V6I4_ECOL6	unreviewed	YkuD domain-containing protein	yafK c0374	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	246	1 out of 5	yafK	c0374
A0A0H2V4K7	A0A0H2V4K7_ECOL6	unreviewed	Glutamine amidotransferase type-2 domain-containing protein	yafJ c0373	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	260	1 out of 5	yafJ	c0373
A0A0H2V4J9	A0A0H2V4J9_ECOL6	unreviewed	Acyl-coenzyme A dehydrogenase (EC 1.3.99.-)	yafH c0371	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	840	1 out of 5	yafH	c0371
A0A0H2V4A6	A0A0H2V4A6_ECOL6	unreviewed	Methyltransf_11 domain-containing protein	yafE c0247	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	256	1 out of 5	yafE	c0247
P0A8U3	YAFD_ECOL6	reviewed	UPF0294 protein YafD	yafD c0246	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	266	1 out of 5	yafD	c0246
A0A0H2V4V8	A0A0H2V4V8_ECOL6	unreviewed	Hypothetical transcriptional regulator yafC	yafC c0245	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	304	1 out of 5	yafC	c0245
A0A0H2V494	A0A0H2V494_ECOL6	unreviewed	2,5-diketo-D-gluconic acid reductase B (EC 1.1.1.-)	yafB c0244	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	267	2 out of 5	yafB	c0244
A0A0H2V642	A0A0H2V642_ECOL6	unreviewed	VOC domain-containing protein	yaeR c0225	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	138	1 out of 5	yaeR	c0225
A0A0H2V4V0	A0A0H2V4V0_ECOL6	unreviewed	Uncharacterized protein	yaeQ c0229	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	181	1 out of 5	yaeQ	c0229
Q8FKZ8	YAEP_ECOL6	reviewed	UPF0253 protein YaeP	yaeP c0228	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	66	1 out of 5	yaeP	c0228
A0A0H2V484	A0A0H2V484_ECOL6	unreviewed	Rof protein	yaeO c0227	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	86	1 out of 5	yaeO	c0227
A0A0H2V4U5	A0A0H2V4U5_ECOL6	unreviewed	Zinc metalloprotease (EC 3.4.24.-)	yaeL c0213	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	465	2 out of 5	yaeL	c0213
A0A0H2V496	A0A0H2V496_ECOL6	unreviewed	RF_PROK_I domain-containing protein	yaeJ c0230	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	140	1 out of 5	yaeJ	c0230
P62770	YAEH_ECOL6	reviewed	UPF0325 protein YaeH	yaeH c0200	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	128	1 out of 5	yaeH	c0200
A0A0H2V486	A0A0H2V486_ECOL6	unreviewed	Carbohydrate diacid regulator	yaeG c0199	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	391	1 out of 5	yaeG	c0199
A0A0H2V4V4	A0A0H2V4V4_ECOL6	unreviewed	Hypothetical lipoprotein yaeF	yaeF c0234	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	277	1 out of 5	yaeF	c0234
A0A0H2V652	A0A0H2V652_ECOL6	unreviewed	D-methionine transport system permease protein metI	yaeE c0239	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	217	1 out of 5	yaeE	c0239
A0A0H2V4A0	A0A0H2V4A0_ECOL6	unreviewed	Lipoprotein	yaeC c0238	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	270	1 out of 5	yaeC	c0238
A0A0H2V4A1	A0A0H2V4A1_ECOL6	unreviewed	TsaA-like domain-containing protein	yaeB c0236	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	235	1 out of 5	yaeB	c0236
P0AFP1	YADS_ECOL6	reviewed	UPF0126 inner membrane protein YadS	yadS c0193	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	207	2 out of 5	yadS	c0193
A0A0H2V4S8	A0A0H2V4S8_ECOL6	unreviewed	RNA 2',3'-cyclic phosphodiesterase (RNA 2',3'-CPDase) (EC 3.1.4.58)	yadP thpR c0180	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	179	2 out of 5	yadP	c0180
A0A0H2V473	A0A0H2V473_ECOL6	unreviewed	Hypothetical fimbrial-like protein yadN	yadN c0172	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	204	1 out of 5	yadN	c0172
A0A0H2V622	A0A0H2V622_ECOL6	unreviewed	Fimbrial domain-containing protein	yadM c0169	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	188	1 out of 5	yadM	c0169
A0A0H2V469	A0A0H2V469_ECOL6	unreviewed	Fimbrial domain-containing protein	yadL c0168	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	204	1 out of 5	yadL	c0168
A0A0H2V468	A0A0H2V468_ECOL6	unreviewed	Protein yadK	yadK c0167	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	198	1 out of 5	yadK	c0167
A0A0H2V4R3	A0A0H2V4R3_ECOL6	unreviewed	Putative PTS system IIA component yadI (EC 2.7.1.69)	yadI c0158	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	146	1 out of 5	yadI	c0158
P0AFN7	YADH_ECOL6	reviewed	Inner membrane transport permease YadH	yadH c0157	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	256	2 out of 5	yadH	c0157
A0A0H2V455	A0A0H2V455_ECOL6	unreviewed	Hypothetical ABC transporter ATP-binding protein yadG	yadG c0156	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	308	1 out of 5	yadG	c0156
A0A0H2V607	A0A0H2V607_ECOL6	unreviewed	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	yadF c0155	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	220	2 out of 5	yadF	c0155
A0A0H2V463	A0A0H2V463_ECOL6	unreviewed	NodB homology domain-containing protein	yadE c0159	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	409	1 out of 5	yadE	c0159
A0A0H2V616	A0A0H2V616_ECOL6	unreviewed	Transposase_31 domain-containing protein	yadD c0162	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	314	1 out of 5	yadD	c0162
A0A0H2V4R8	A0A0H2V4R8_ECOL6	unreviewed	Hypothetical fimbrial-like protein yadC	yadC c0166	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	429	1 out of 5	yadC	c0166
Q8FL40	YACL_ECOL6	reviewed	UPF0231 protein YacL	yacL c0148	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	120	1 out of 5	yacL	c0148
A0A0H2V447	A0A0H2V447_ECOL6	unreviewed	Blue copper oxidase cueO	yacK c0152	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	529	1 out of 5	yacK	c0152
A0A0H2V430	A0A0H2V430_ECOL6	unreviewed	Uncharacterized protein	yacH c0146	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	593	1 out of 5	yacH	c0146
Q8FL57	YACG_ECOL6	reviewed	DNA gyrase inhibitor YacG	yacG c0121	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	65	2 out of 5	yacG	c0121
P0AA96	YACC_ECOL6	reviewed	Uncharacterized protein YacC	yacC c0151	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	115	1 out of 5	yacC	c0151
A0A0H2V5U8	A0A0H2V5U8_ECOL6	unreviewed	Thiamine transport system permease protein thiP	yabK c0083	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	536	1 out of 5	yabK	c0083
A0A0H2V418	A0A0H2V418_ECOL6	unreviewed	Uncharacterized protein	yabI c0081	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	254	1 out of 5	yabI	c0081
A0A0H2V3X0	A0A0H2V3X0_ECOL6	unreviewed	Uncharacterized protein	yaaY c0028	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	72	1 out of 5	yaaY	c0028
A0A0H2V4G3	A0A0H2V4G3_ECOL6	unreviewed	Uncharacterized protein	yaaX c0007	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	98	1 out of 5	yaaX	c0007
A0A0H2V3Z0	A0A0H2V3Z0_ECOL6	unreviewed	DUF3944 domain-containing protein	yaaW c0016	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	237	1 out of 5	yaaW	c0016
A0A0H2V4I1	A0A0H2V4I1_ECOL6	unreviewed	Hypothetical metabolite transport protein yaaU	yaaU c0055	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	443	1 out of 5	yaaU	c0055
A0A0H2V5R8	A0A0H2V5R8_ECOL6	unreviewed	Putative transporter yaaJ	yaaJ c0011	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	476	1 out of 5	yaaJ	c0011
Q8CWE7	YAAI_ECOL6	reviewed	UPF0412 protein YaaI	yaaI c0017	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	134	1 out of 5	yaaI	c0017
A0A0H2V3Y5	A0A0H2V3Y5_ECOL6	unreviewed	Uncharacterized protein	yaaH c0015	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	188	1 out of 5	yaaH	c0015
Q8FLD3	YAAA_ECOL6	reviewed	UPF0246 protein YaaA	yaaA c0010	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	258	1 out of 5	yaaA	c0010
P0ACI4	XYLR_ECOL6	reviewed	Xylose operon regulatory protein	xylR c4389	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	392	2 out of 5	xylR	c4389
P0AGI5	XYLH_ECOL6	reviewed	Xylose transport system permease protein XylH	xylH c4388	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	393	2 out of 5	xylH	c4388
Q8FCE2	XYLG_ECOL6	reviewed	Xylose import ATP-binding protein XylG (EC 7.5.2.10)	xylG c4387	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	513	3 out of 5	xylG	c4387
A0A0H2VBY8	A0A0H2VBY8_ECOL6	unreviewed	D-xylose-binding periplasmic protein	xylF c4386	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	356	1 out of 5	xylF	c4386
A0A0H2VEL7	A0A0H2VEL7_ECOL6	unreviewed	Xylulose kinase (Xylulokinase) (EC 2.7.1.17)	xylB c4384	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	484	2 out of 5	xylB	c4384
Q8FCE3	XYLA_ECOL6	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA c4385	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	440	3 out of 5	xylA	c4385
A0A0H2VA25	A0A0H2VA25_ECOL6	unreviewed	Exodeoxyribonuclease III (EC 3.1.11.2)	xthA c2150	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	272	1 out of 5	xthA	c2150
P0A8H0	EX7S_ECOL6	reviewed	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit)	xseB c0533	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	80	2 out of 5	xseB	c0533
Q8FF64	EX7L_ECOL6	reviewed	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)	xseA c3028	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	458	2 out of 5	xseA	c3028
Q8FEF2	XNI_ECOL6	reviewed	Flap endonuclease Xni (FEN) (EC 3.1.-.-)	xni ygdG c3366	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	251	3 out of 5	xni	c3366
A0A0H2V6F9	A0A0H2V6F9_ECOL6	unreviewed	Putative excisionase for prophage	xisN c1401	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	92	1 out of 5	xisN	c1401
P0A8P9	XERD_ECOL6	reviewed	Tyrosine recombinase XerD	xerD c3474	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	298	3 out of 5	xerD	c3474
P0A8P7	XERC_ECOL6	reviewed	Tyrosine recombinase XerC	xerC c4732	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	298	3 out of 5	xerC	c4732
A0A0H2VBP6	A0A0H2VBP6_ECOL6	unreviewed	Xanthosine operon Regulatory protein	xapR c2937	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	299	1 out of 5	xapR	c2937
A0A0H2VAS3	A0A0H2VAS3_ECOL6	unreviewed	Xanthosine permease	xapB c2939	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	418	1 out of 5	xapB	c2939
A0A0H2V990	A0A0H2V990_ECOL6	unreviewed	Purine nucleoside phosphorylase (EC 2.4.2.1) (Inosine-guanosine phosphorylase)	xapA c2940	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	277	2 out of 5	xapA	c2940
P67445	XANQ_ECOL6	reviewed	Xanthine permease XanQ	xanQ c3460	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	466	2 out of 5	xanQ	c3460
P0AGN0	XANP_ECOL6	reviewed	Xanthine permease XanP	xanP c4479	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	463	2 out of 5	xanP	c4479
A0A0H2VCU6	A0A0H2VCU6_ECOL6	unreviewed	ECA polysaccharide chain length modulation protein	wzzE c4705	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	349	2 out of 5	wzzE	c4705
A0A0H2VAY8	A0A0H2VAY8_ECOL6	unreviewed	Chain length determinant protein	wzzB c2554	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	337	1 out of 5	wzzB	c2554
Q8FBP8	WZYE_ECOL6	reviewed	Probable ECA polymerase	wzyE wzy c4715	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	450	2 out of 5	wzyE	c4715
A0A0H2VCK8	A0A0H2VCK8_ECOL6	unreviewed	Lipid III flippase	wzxE c4713	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	416	2 out of 5	wzxE	c4713
A0A0H2V8Q9	A0A0H2V8Q9_ECOL6	unreviewed	Lipopolysaccharide biosynthesis protein wzxC	wzxC c2571	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	492	1 out of 5	wzxC	c2571
Q8FBP7	WECG_ECOL6	reviewed	UDP-N-acetyl-D-mannosaminuronic acid transferase (UDP-ManNAcA transferase) (EC 2.4.1.180)	wecG rffM c4716	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	246	2 out of 5	wecG	c4716
Q8FBP9	WECF_ECOL6	reviewed	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase (EC 2.4.1.325) (4-alpha-L-fucosyltransferase) (TDP-Fuc4NAc:lipid II Fuc4NAc transferase) (Fuc4NAc transferase)	wecF rffT c4714	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	359	2 out of 5	wecF	c4714
A0A0H2VCU9	A0A0H2VCU9_ECOL6	unreviewed	dTDP-4-amino-4,6-dideoxygalactose transaminase (EC 2.6.1.59)	wecE c4711	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	376	2 out of 5	wecE	c4711
Q8FBQ3	WECD_ECOL6	reviewed	dTDP-fucosamine acetyltransferase (EC 2.3.1.210) (TDP-fucosamine acetyltransferase) (dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase)	wecD c4710	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	224	4 out of 5	wecD	c4710
A0A0H2VCK2	A0A0H2VCK2_ECOL6	unreviewed	UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336) (UDP-ManNAc 6-dehydrogenase)	wecC c4707	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	420	3 out of 5	wecC	c4707
A0A0H2VF94	A0A0H2VF94_ECOL6	unreviewed	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14) (UDP-GlcNAc-2-epimerase)	wecB c4706	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	390	3 out of 5	wecB	c4706
